date,offset,statistical_unc,systematic_unc_numerator,systematic_unc_denominator
2025-01-16,-97.6135726,1.1928144931105527,2.589254833353713,1.0742794287878108
2025-01-24,-94.2889667,1.319611958827306,2.6239840338010807,1.0541175522014328
2025-02-04,-101.80648719999999,1.0002155943043285,2.6837954345715467,1.058907986220269
2025-02-06,-100.30507739999999,1.2805887699916592,2.649066234124179,1.056352681944473
2025-02-27,-104.23544700000001,1.0911274145671561,2.625913433825934,1.0563044952604819
2025-02-28,-99.7506615,1.135108444053079,2.6046900335525436,1.0543245093925402
2025-03-04,-100.9064652,1.0099699395240467,2.6124076336519577,1.1682330464730224
2025-03-06,-104.0891853,1.2324889436817033,2.5931136334034206,1.404025875711624
2025-03-07,-99.836377,1.3119931725633094,2.596972433453128,1.1772529646124426
2025-03-13,-103.72889339999999,1.1355500955187767,2.5931136334034206,1.1120990287280008
2025-03-18,-101.5996545,1.2330329358642027,2.5931136334034206,1.0451606799220998
2025-03-20,-104.0181025,0.9304646996080002,2.650995634149033,1.1479382271731273
2025-03-21,-104.95637860000001,1.1256022357916384,2.596972433453128,1.268960876738835
