# Readme Information 
# Data taken on 250320, analyzed on 21-Mar-2025 by script Saveshifts_forTara_v3_250320.m.
# Gravitational Redshift Corrected to Marker on floor of 1G104 labeled 811G104 
# Frequencies units of Hz. Maser ST008 references all synthesizers.
# v_yb_ideal=2*v_comb+f_shift 
# f_shift includes: Blackbody radation based on real time temperature measurement (avg shift = -1.2273), 2nd order zeeman based on real time B field measurement by atoms (avg shift = -Inf), background gas collisions (avg shift = -0.0016), lattice AC stark shift (avg shift = -0.0007), probe AC stark shift (avg shift = 0.0000), graviational red shift (avg shift = 0.0803), and AOMs between atoms and combs (shift of 63000000)
# Run Duration 1.693045e+04 s, uptime fraction 9.793365e-01. 
t_mjd	   f_shift [Hz]  	IS_GOOD
   6.0754769996969997e+04	   6.3000000341001585e+07	   1.0000000000000000e+00	
   6.0754770007140003e+04	   6.3000000341284975e+07	   1.0000000000000000e+00	
   6.0754770017310002e+04	   6.3000000346182682e+07	   1.0000000000000000e+00	
   6.0754770027480001e+04	   6.3000000351181097e+07	   1.0000000000000000e+00	
   6.0754770037670001e+04	   6.3000000354417995e+07	   1.0000000000000000e+00	
   6.0754770047830003e+04	   6.3000000357382767e+07	   1.0000000000000000e+00	
   6.0754770058000002e+04	   6.3000000361813091e+07	   1.0000000000000000e+00	
   6.0754770068179998e+04	   6.3000000365104266e+07	   1.0000000000000000e+00	
   6.0754770078369998e+04	   6.3000000369637191e+07	   1.0000000000000000e+00	
   6.0754770088530000e+04	   6.3000000373051375e+07	   1.0000000000000000e+00	
   6.0754770098720001e+04	   6.3000000377014391e+07	   1.0000000000000000e+00	
   6.0754770108889999e+04	   6.3000000375026986e+07	   1.0000000000000000e+00	
   6.0754770119059998e+04	   6.3000000366462134e+07	   1.0000000000000000e+00	
   6.0754770129229997e+04	   6.3000000363449946e+07	   1.0000000000000000e+00	
   6.0754770139400003e+04	   6.3000000366822913e+07	   1.0000000000000000e+00	
   6.0754770149579999e+04	   6.3000000371446840e+07	   1.0000000000000000e+00	
   6.0754770159749998e+04	   6.3000000378252104e+07	   1.0000000000000000e+00	
   6.0754770169939999e+04	   6.3000000382961929e+07	   1.0000000000000000e+00	
   6.0754770180109997e+04	   6.3000000386959434e+07	   1.0000000000000000e+00	
   6.0754770190269999e+04	   6.3000000385702491e+07	   1.0000000000000000e+00	
   6.0754770200460000e+04	   6.3000000391505770e+07	   1.0000000000000000e+00	
   6.0754770210620001e+04	   6.3000000393733948e+07	   1.0000000000000000e+00	
   6.0754770220790000e+04	   6.3000000398028769e+07	   1.0000000000000000e+00	
   6.0754770230970003e+04	   6.3000000405317590e+07	   1.0000000000000000e+00	
   6.0754770241140002e+04	   6.3000000414638452e+07	   1.0000000000000000e+00	
   6.0754770251319998e+04	   6.3000000423106313e+07	   1.0000000000000000e+00	
   6.0754770261480000e+04	   6.3000000427011900e+07	   1.0000000000000000e+00	
   6.0754770271679998e+04	   6.3000000431909285e+07	   1.0000000000000000e+00	
   6.0754770281839999e+04	   6.3000000429453723e+07	   1.0000000000000000e+00	
   6.0754770292009998e+04	   6.3000000431156196e+07	   1.0000000000000000e+00	
   6.0754770302170000e+04	   6.3000000428655431e+07	   1.0000000000000000e+00	
   6.0754770312369998e+04	   6.3000000427269012e+07	   1.0000000000000000e+00	
   6.0754770322520002e+04	   6.3000000423692100e+07	   1.0000000000000000e+00	
   6.0754770332699998e+04	   6.3000000416903347e+07	   1.0000000000000000e+00	
   6.0754770342889999e+04	   6.3000000408055760e+07	   1.0000000000000000e+00	
   6.0754770353050000e+04	   6.3000000400365502e+07	   1.0000000000000000e+00	
   6.0754770363219999e+04	   6.3000000388478056e+07	   1.0000000000000000e+00	
   6.0754770373400002e+04	   6.3000000374258645e+07	   1.0000000000000000e+00	
   6.0754770383570001e+04	   6.3000000358695976e+07	   1.0000000000000000e+00	
   6.0754770393740000e+04	   6.3000000347567283e+07	   1.0000000000000000e+00	
   6.0754770403909999e+04	   6.3000000341014348e+07	   1.0000000000000000e+00	
   6.0754770414099999e+04	   6.3000000336692676e+07	   1.0000000000000000e+00	
   6.0754770424260001e+04	   6.3000000337309875e+07	   1.0000000000000000e+00	
   6.0754770434430000e+04	   6.3000000346824884e+07	   1.0000000000000000e+00	
   6.0754770444599999e+04	   6.3000000365181297e+07	   1.0000000000000000e+00	
   6.0754770454789999e+04	   6.3000000384603277e+07	   1.0000000000000000e+00	
   6.0754770464959998e+04	   6.3000000401879042e+07	   1.0000000000000000e+00	
   6.0754770475140002e+04	   6.3000000408489086e+07	   1.0000000000000000e+00	
   6.0754770485310000e+04	   6.3000000409023128e+07	   1.0000000000000000e+00	
   6.0754770495470002e+04	   6.3000000411842957e+07	   1.0000000000000000e+00	
   6.0754770505649998e+04	   6.3000000416233011e+07	   1.0000000000000000e+00	
   6.0754770515819997e+04	   6.3000000413401596e+07	   1.0000000000000000e+00	
   6.0754770525990003e+04	   6.3000000404973097e+07	   1.0000000000000000e+00	
   6.0754770536190001e+04	   6.3000000396999270e+07	   1.0000000000000000e+00	
   6.0754770546360000e+04	   6.3000000398383625e+07	   1.0000000000000000e+00	
   6.0754770556520001e+04	   6.3000000406009376e+07	   1.0000000000000000e+00	
   6.0754770566699997e+04	   6.3000000416877575e+07	   1.0000000000000000e+00	
   6.0754770576870003e+04	   6.3000000422671594e+07	   1.0000000000000000e+00	
   6.0754770587040002e+04	   6.3000000425679021e+07	   1.0000000000000000e+00	
   6.0754770597219998e+04	   6.3000000422287554e+07	   1.0000000000000000e+00	
   6.0754770607400002e+04	   6.3000000418725841e+07	   1.0000000000000000e+00	
   6.0754770617560003e+04	   6.3000000413416915e+07	   1.0000000000000000e+00	
   6.0754770627739999e+04	   6.3000000408223987e+07	   1.0000000000000000e+00	
   6.0754770637920003e+04	   6.3000000400689535e+07	   1.0000000000000000e+00	
   6.0754770648099999e+04	   6.3000000396808766e+07	   1.0000000000000000e+00	
   6.0754770658269998e+04	   6.3000000392846093e+07	   1.0000000000000000e+00	
   6.0754770668459998e+04	   6.3000000390228212e+07	   1.0000000000000000e+00	
   6.0754770678620000e+04	   6.3000000394381098e+07	   1.0000000000000000e+00	
   6.0754770688780001e+04	   6.3000000398339085e+07	   1.0000000000000000e+00	
   6.0754770698990003e+04	   6.3000000406286806e+07	   1.0000000000000000e+00	
   6.0754770709140001e+04	   6.3000000409468196e+07	   1.0000000000000000e+00	
   6.0754770719310000e+04	   6.3000000412372187e+07	   1.0000000000000000e+00	
   6.0754770729500000e+04	   6.3000000417018555e+07	   1.0000000000000000e+00	
   6.0754770739660002e+04	   6.3000000419162370e+07	   1.0000000000000000e+00	
   6.0754770749830001e+04	   6.3000000421143651e+07	   1.0000000000000000e+00	
   6.0754770760009997e+04	   6.3000000424491026e+07	   1.0000000000000000e+00	
   6.0754770770180003e+04	   6.3000000434008956e+07	   1.0000000000000000e+00	
   6.0754770780370003e+04	   6.3000000435215205e+07	   1.0000000000000000e+00	
   6.0754770790529998e+04	   6.3000000429010585e+07	   1.0000000000000000e+00	
   6.0754770800699996e+04	   6.3000000423577935e+07	   1.0000000000000000e+00	
   6.0754770810870003e+04	   6.3000000420826375e+07	   1.0000000000000000e+00	
   6.0754770821049999e+04	   6.3000000417332321e+07	   1.0000000000000000e+00	
   6.0754770831219997e+04	   6.3000000413731933e+07	   1.0000000000000000e+00	
   6.0754770841400001e+04	   6.3000000409971565e+07	   1.0000000000000000e+00	
   6.0754770851570000e+04	   6.3000000406215526e+07	   1.0000000000000000e+00	
   6.0754770861739999e+04	   6.3000000405572399e+07	   1.0000000000000000e+00	
   6.0754770871920002e+04	   6.3000000412765771e+07	   1.0000000000000000e+00	
   6.0754770882099998e+04	   6.3000000420744441e+07	   1.0000000000000000e+00	
   6.0754770892260000e+04	   6.3000000427567393e+07	   1.0000000000000000e+00	
   6.0754770902450000e+04	   6.3000000435347296e+07	   1.0000000000000000e+00	
   6.0754770912610002e+04	   6.3000000438443810e+07	   1.0000000000000000e+00	
   6.0754770922780001e+04	   6.3000000438475139e+07	   1.0000000000000000e+00	
   6.0754770932959997e+04	   6.3000000429887533e+07	   1.0000000000000000e+00	
   6.0754770943140000e+04	   6.3000000422696173e+07	   1.0000000000000000e+00	
   6.0754770953300002e+04	   6.3000000415713906e+07	   1.0000000000000000e+00	
   6.0754770963479998e+04	   6.3000000412582435e+07	   1.0000000000000000e+00	
   6.0754770973649996e+04	   6.3000000410392456e+07	   1.0000000000000000e+00	
   6.0754770983839997e+04	   6.3000000404559456e+07	   1.0000000000000000e+00	
   6.0754770994010003e+04	   6.3000000396439463e+07	   1.0000000000000000e+00	
   6.0754771004169997e+04	   6.3000000391950175e+07	   1.0000000000000000e+00	
   6.0754771014359998e+04	   6.3000000395746626e+07	   1.0000000000000000e+00	
   6.0754771024529997e+04	   6.3000000392684124e+07	   1.0000000000000000e+00	
   6.0754771034739999e+04	   6.3000000389878683e+07	   1.0000000000000000e+00	
   6.0754771044870002e+04	   6.3000000390057430e+07	   1.0000000000000000e+00	
   6.0754771055049998e+04	   6.3000000391682722e+07	   1.0000000000000000e+00	
