03/20/2025	10:40:23	(analyzed:  3/20/2025)
MJD	timer	SDR:frep_ErYb	fo_ErYb	fb_Si_ErYb	fb_Yb_ErYb	fb_Al_ErYb
60754.694741	42.000000	113927.228160	105000000.000300	100000000.000600	NaN	22737007.999820
60754.694753	1103.000000	113927.228095	105000000.001800	99999999.999200	NaN	22737007.999980
60754.694766	2161.000000	113927.228254	105000000.000700	100000000.000600	NaN	22737008.000130
60754.694778	3219.000000	113927.228193	105000000.000800	99999999.999100	NaN	22737007.999860
60754.694790	4275.000000	113927.228212	104999999.999500	99999999.999700	NaN	22737007.999980
60754.694802	5332.000000	113927.228375	105000000.002200	100000000.000600	NaN	22737008.000030
60754.694814	6388.000000	113927.228133	105000000.000500	99999999.999600	NaN	22737008.000110
60754.694827	7446.000000	113927.228077	104999999.999400	100000000.000500	NaN	22737008.000040
60754.694839	8502.000000	113927.228163	105000000.000300	99999999.998600	NaN	22737008.000140
60754.694851	9558.000000	113927.228189	105000000.000000	99999999.999900	NaN	22737007.999940
60754.694863	10616.000000	113927.228099	105000000.001500	100000000.000600	NaN	22737007.999970
60754.694876	11672.000000	113927.228183	104999999.998900	99999999.999100	NaN	22737008.000050
60754.694888	12727.000000	113927.228219	104999999.999700	100000000.000800	NaN	22737008.000110
60754.694900	13785.000000	113927.228137	105000000.001100	99999999.998400	NaN	22737007.999660
60754.694912	14841.000000	113927.227983	104999999.999500	100000000.000300	NaN	22737007.999950
60754.694925	15897.000000	113927.228260	105000000.000200	100000000.000700	NaN	22737008.000040
60754.694937	16954.000000	113927.228457	105000000.000500	99999999.999700	NaN	22737008.000000
60754.694949	18010.000000	113927.228107	105000000.001000	100000000.000500	NaN	22737007.999910
60754.694961	19068.000000	113927.228406	105000000.000500	99999999.998300	NaN	22737007.999930
60754.694973	20125.000000	113927.228047	104999999.999200	100000000.000200	NaN	22737008.000020
60754.694986	21181.000000	113927.228347	105000000.000600	100000000.000600	NaN	22737008.000140
60754.694998	22238.000000	113927.228310	105000000.002000	99999999.999500	NaN	22737007.999920
60754.695010	23294.000000	113927.228054	105000000.001300	100000000.001000	NaN	22737007.999950
60754.695022	24349.000000	113927.228184	104999999.999800	99999999.998200	NaN	22737008.000160
60754.695035	25406.000000	113927.228290	105000000.001100	99999999.999800	NaN	22737008.000160
60754.695047	26462.000000	113927.228170	104999999.998700	100000000.000400	NaN	22737007.999990
60754.695059	27521.000000	113927.228266	105000000.000500	99999999.999600	NaN	22737008.000030
60754.695071	28577.000000	113927.228298	105000000.000900	100000000.000600	NaN	22737007.999980
60754.695084	29633.000000	113927.228268	105000000.000900	99999999.998600	NaN	22737007.999860
60754.695096	30691.000000	113927.228164	105000000.000700	100000000.000500	NaN	22737008.000080
60754.695108	31748.000000	113927.228019	105000000.000600	100000000.000600	NaN	22737008.000000
60754.695120	32805.000000	113927.228028	105000000.001600	99999999.999800	NaN	22737007.999820
60754.695132	33863.000000	113927.228281	104999999.999200	100000000.000600	NaN	22737008.000110
60754.695145	34919.000000	113927.228150	105000000.000100	99999999.998200	NaN	22737008.000120
60754.695157	35978.000000	113927.228065	105000000.000300	100000000.000500	NaN	22737008.000010
60754.695169	37036.000000	113927.228036	104999999.999600	100000000.000400	NaN	22737007.999900
60754.695181	38094.000000	113927.228255	105000000.001200	99999999.999900	NaN	22737007.999990
60754.695194	39152.000000	113927.228226	105000000.001200	100000000.001100	NaN	22737008.000100
60754.695206	40209.000000	113927.228210	104999999.999000	99999999.998600	NaN	22737007.999940
60754.695218	41267.000000	113927.228040	105000000.000900	99999999.999900	NaN	22737008.000180
60754.695230	42324.000000	113927.228293	105000000.000600	100000000.000300	NaN	22737007.999820
60754.695243	43381.000000	113927.228118	104999999.999100	99999999.999500	NaN	22737007.999840
60754.695255	44437.000000	113927.227855	104999999.999700	100000000.000300	NaN	22737007.999880
60754.695267	45493.000000	113927.228397	105000000.001400	99999999.998100	NaN	22737008.000150
60754.695279	46550.000000	113927.228375	104999999.999500	100000000.000100	NaN	22737008.000020
60754.695292	47607.000000	113927.227804	104999999.999900	100000000.000300	NaN	22737007.999910
60754.695304	48662.000000	113927.228275	105000000.002000	99999999.999900	NaN	22737007.999930
60754.695316	49720.000000	113927.228498	105000000.000500	100000000.000700	NaN	22737007.999980
60754.695328	50777.000000	113927.228105	104999999.999400	99999999.998000	NaN	22737007.999810
60754.695340	51834.000000	113927.227773	104999999.999800	100000000.000500	NaN	22737008.000000
60754.695353	52892.000000	113927.228148	105000000.000100	99999999.999600	NaN	22737008.000200
60754.695365	53947.000000	113927.228318	105000000.001900	99999999.999600	NaN	22737007.999860
60754.695377	55005.000000	113927.228464	104999999.999900	100000000.001000	NaN	22737008.000040
60754.695389	56059.000000	113927.228002	105000000.001600	99999999.999000	NaN	22737007.999870
60754.695402	57117.000000	113927.228123	104999999.999800	100000000.000300	NaN	22737007.999890
60754.695414	58173.000000	113927.228191	105000000.000000	99999999.999800	NaN	22737007.999970
60754.695426	59229.000000	113927.228173	105000000.000500	100000000.000000	NaN	22737008.000120
60754.695438	60287.000000	113927.228035	105000000.001000	100000000.000400	NaN	22737008.000060
60754.695451	61343.000000	113927.228130	105000000.000900	99999999.998400	NaN	22737008.000080
60754.695463	62401.000000	113927.228643	105000000.000800	100000000.000500	NaN	22737007.999820
60754.695475	63458.000000	113927.227967	105000000.001100	99999999.999500	NaN	22737008.000070
60754.695487	64514.000000	113927.228175	104999999.999700	99999999.999800	NaN	22737008.000010
60754.695500	65573.000000	113927.228241	104999999.999700	100000000.000600	NaN	22737007.999930
60754.695512	66630.000000	113927.227873	105000000.001400	99999999.999200	NaN	22737007.999910
60754.695524	67685.000000	113927.228226	105000000.002200	100000000.000200	NaN	22737008.000100
60754.695536	68742.000000	113927.228369	104999999.999600	99999999.999200	NaN	22737007.999890
60754.695548	69801.000000	113927.228081	104999999.999700	99999999.999900	NaN	22737008.000070
60754.695561	70858.000000	113927.228225	105000000.000500	100000000.000400	NaN	22737007.999910
60754.695573	71916.000000	113927.228409	105000000.000900	99999999.999300	NaN	22737007.999880
60754.695585	72973.000000	113927.228232	105000000.000900	100000000.000400	NaN	22737008.000120
60754.695597	74031.000000	113927.228349	104999999.999800	99999999.998800	NaN	22737008.000060
60754.695610	75087.000000	113927.228259	105000000.001000	100000000.000000	NaN	22737007.999950
60754.695622	76145.000000	113927.228014	105000000.000700	100000000.000300	NaN	22737008.000020
60754.695634	77201.000000	113927.228203	104999999.999200	99999999.999300	NaN	22737008.000070
60754.695646	78258.000000	113927.228291	105000000.001700	100000000.000400	NaN	22737008.000160
60754.695659	79314.000000	113927.228020	105000000.000700	99999999.998700	NaN	22737007.999990
60754.695671	80370.000000	113927.228382	104999999.999600	99999999.999900	NaN	22737007.999980
60754.695683	81426.000000	113927.227977	104999999.999800	100000000.000500	NaN	22737008.000100
60754.695695	82482.000000	113927.228293	104999999.999600	99999999.999400	NaN	22737007.999910
60754.695707	83538.000000	113927.228167	105000000.000400	100000000.000900	NaN	22737007.999990
60754.695720	84596.000000	113927.228121	105000000.001500	99999999.998500	NaN	22737008.000010
60754.695732	85653.000000	113927.228450	105000000.000800	100000000.000100	NaN	22737007.999870
60754.695744	86710.000000	113927.228126	104999999.999100	100000000.000700	NaN	22737007.999960
60754.695756	87767.000000	113927.228040	105000000.000100	99999999.999700	NaN	22737008.000100
60754.695769	88823.000000	113927.228377	105000000.002300	100000000.000300	NaN	22737007.999980
60754.695781	89879.000000	113927.228249	104999999.998800	99999999.998300	NaN	22737008.000030
60754.695793	90936.000000	113927.228231	104999999.999700	99999999.999900	NaN	22737007.999800
60754.695805	91993.000000	113927.227920	105000000.001000	100000000.000500	NaN	22737008.000160
60754.695818	93051.000000	113927.228243	104999999.999100	99999999.999800	NaN	22737008.000040
60754.695830	94106.000000	113927.228199	105000000.001100	100000000.000400	NaN	22737007.999840
60754.695842	95163.000000	113927.228045	105000000.000200	99999999.998400	NaN	22737008.000080
60754.695854	96219.000000	113927.228287	105000000.000400	100000000.000000	NaN	22737007.999960
60754.695866	97276.000000	113927.228176	105000000.000100	100000000.000200	NaN	22737008.000100
60754.695879	98334.000000	113927.228049	105000000.001500	100000000.000200	NaN	22737008.000090
60754.695891	99391.000000	113927.228252	104999999.998900	100000000.000800	NaN	22737007.999950
60754.695903	100447.000000	113927.228264	105000000.001100	99999999.998500	NaN	22737007.999910
60754.695915	101505.000000	113927.228171	105000000.000400	99999999.999900	NaN	22737007.999990
60754.695928	102564.000000	113927.228058	105000000.001200	100000000.000300	NaN	22737007.999950
60754.695940	103622.000000	113927.228195	104999999.999400	99999999.999200	NaN	22737008.000040
60754.695952	104678.000000	113927.228434	105000000.001100	100000000.000900	NaN	22737008.000120
60754.695964	105736.000000	113927.228139	104999999.999600	99999999.998500	NaN	22737007.999910
60754.695977	106793.000000	113927.228073	104999999.999600	100000000.000300	NaN	22737007.999980
