M	14
s1	1.02787582346
s2	1.09255511496
s3	1.00674379464
s4	1.05287183314
s5	1.54675342648
s6	1.07200737363
s7	1.23890923183
s8	1.13664797435
s9	1.02519722218
s10	1.03623010444
s11	1.00000014488
s12	1.04424333452
s13	60140.6317128
s14	0.743495745495
N	106
q82	nu8_over_nu12	1.20750703934333805	3.38E-16	[Pizzocaro2020b]
q83	nu8_over_nu12	1.20750703934333738	3.02E-16	[Pizzocaro2020b]
q84	nu7_over_nu12	1.495991618544900976	4.94E-16	[Riedel2020]
q85	nu7_over_nu12	1.495991618544901113	4.04E-16	[Riedel2020]
q86	nu7_over_nu12	1.495991618544900644	5.24E-16	[Riedel2020]
q87	nu7_over_nu12	1.495991618544900858	2.99E-16	[Riedel2020]
q88	nu13		411042129776400.41	0.46	[Huang2020,Uncertx2]
q89	nu8		518295836590863.54	0.259	[Kobayashi2020]
q90	nu12		429228004229873.082	0.0773	[Nemitz2020]
q91	nu12		429228004229873.13	0.4	[Grotti2018]
q92	nu7_over_nu12	1.495991618544900537	3.74E-17	[Dorscher2020]
q93	nu8_over_nu12	1.20750703934333858	4.95E-16	[Hisai2020]
q94	nu8_over_nu12	1.20750703934333782	7.49E-16	[Kobayashi2020]
q95	nu8_over_nu14	75833.197545114174	4.17E-11	[Kobayashi2020]
q96	nu12	429228004229873.19	1.50E-01	[Leopardi2020]
q97	nu4	1121015393207859.50	3.60E-01	[Leopardi2020]
q98	nu7	642121496772645.10	1.03E-01	[Lange2021-1.60E-16unc]
q99	nu6_over_nu7 	1.072007373634205469 	3.700000e-17 	[Lange2021inverted]
q100	nu7_over_nu12	1.495991618544900840	3.44E-16	[Riedel2020]
q101	nu7_over_nu12	1.495991618544900459	4.04E-16	[Riedel2020]
q102	nu8_over_nu12	1.2075070393433378482	8.20E-18	[Beloy2021]
q103	nu4_over_nu12	2.611701431781463025	2.10E-17	[Beloy2021]
q104	nu4_over_nu8	2.162887127516663703	1.30E-17	[Beloy2021]
q105	nu13	411042129776400.6	1.00E-00	[Huang2020,Uncertx2]
q106	nu8_over_nu14	75833.197545114192	3.30E-11	[McGrew2019]
NCorrCoeffs	0
