File ClockOutputData2020_7.dat generated using ClockLSA, version 1.0 on 17-Mar-2021 11:59:13 
Operator: Helen Margolis 

Input data:

Number of adjusted frequency ratios = 14 
Starting values: 
s1 	1.02787582346 
s2 	1.09255511496 
s3 	1.00674379464 
s4 	1.05287183314 
s5 	1.54675342648 
s6 	1.07200737363 
s7 	1.23890923183 
s8 	1.13664797435 
s9 	1.02519722218 
s10 	1.03623010444 
s11 	1.00000014488 
s12 	1.04424333452 
s13 	60140.6317128 
s14 	0.743495745495 

Number of measured frequency ratios = 106 
ID 	Type 		Value 			Uncertainty 	Reference
q74 	nu1 		1267402452901040.1 	3.240000e+00 	[Ohtsubo2020,Uncertx3]
q75 	nu8 		518295836590863.71 	1.100000e-01 	[McGrew2019]
q76 	nu8 		518295836590863.61 	1.300000e-01 	[Pizzocaro2020]
q77 	nu11_over_nu12 	1.000000144883682831 	2.800000e-17 	[Origlia2018]
q78 	nu1_over_nu12 	2.9527487498748633 	6.810000e-15 	[Ohtsubo2020,Uncertx3]
q79 	nu3_over_nu8 	2.17747319413456507 	1.920000e-16 	[Ohmae2020]
q80 	nu8_over_nu12 	1.20750703934333790 	7.000000e-16 	[Fujieda2018]
q81 	nu8_over_nu12 	1.20750703934333841 	3.400000e-16 	[Grotti2018]
q82 	nu8_over_nu12 	1.20750703934333805 	3.380000e-16 	[Pizzocaro2020b]
q83 	nu8_over_nu12 	1.20750703934333738 	3.020000e-16 	[Pizzocaro2020b]
q84 	nu7_over_nu12 	1.495991618544900976 	4.940000e-16 	[Riedel2020]
q85 	nu7_over_nu12 	1.495991618544901113 	4.040000e-16 	[Riedel2020]
q86 	nu7_over_nu12 	1.495991618544900644 	5.240000e-16 	[Riedel2020]
q87 	nu7_over_nu12 	1.495991618544900858 	2.990000e-16 	[Riedel2020]
q88 	nu13 		411042129776400.41 	4.600000e-01 	[Huang2020,Uncertx2]
q89 	nu8 		518295836590863.54 	2.590000e-01 	[Kobayashi2020]
q90 	nu12 		429228004229873.082 	7.730000e-02 	[Nemitz2020]
q91 	nu12 		429228004229873.13 	4.000000e-01 	[Grotti2018]
q92 	nu7_over_nu12 	1.495991618544900537 	3.740000e-17 	[Dorscher2020]
q93 	nu8_over_nu12 	1.20750703934333858 	4.950000e-16 	[Hisai2020]
q94 	nu8_over_nu12 	1.20750703934333782 	7.490000e-16 	[Kobayashi2020]
q95 	nu8_over_nu14 	75833.197545114174 	4.170000e-11 	[Kobayashi2020]
q96 	nu12 		429228004229873.19 	1.500000e-01 	[Leopardi2020]
q97 	nu4 		1121015393207859.50 	3.600000e-01 	[Leopardi2020]
q98 	nu7 		642121496772645.10 	1.030000e-01 	[Lange2021-1.60E-16unc]
q99 	nu6_over_nu7 	1.072007373634205469 	3.700000e-17 	[Lange2021inverted]
q100 	nu7_over_nu12 	1.495991618544900840 	3.440000e-16 	[Riedel2020]
q101 	nu7_over_nu12 	1.495991618544900459 	4.040000e-16 	[Riedel2020]
q102 	nu8_over_nu12 	1.2075070393433378482 	8.200000e-18 	[Beloy2021]
q103 	nu4_over_nu12 	2.611701431781463025 	2.100000e-17 	[Beloy2021]
q104 	nu4_over_nu8 	2.162887127516663703 	1.300000e-17 	[Beloy2021]
q105 	nu13 		411042129776400.6 	1.000000e+00 	[Huang2020,Uncertx2]
q106 	nu8_over_nu14 	75833.197545114192 	3.300000e-11 	[McGrew2019]

Number of correlation coefficients = 483 
r(q3,q7) 	1.000000e-03 
r(q3,q25) 	4.000000e-03 
r(q3,q43) 	1.000000e-03 
r(q3,q48) 	1.100000e-02 
r(q3,q49) 	1.000000e-02 
r(q3,q50) 	2.000000e-03 
r(q3,q56) 	5.000000e-03 
r(q3,q58) 	5.000000e-03 
r(q3,q70) 	2.000000e-03 
r(q3,q71) 	4.000000e-03 
r(q3,q72) 	3.000000e-03 
r(q3,q73) 	1.600000e-02 
r(q3,q75) 	1.300000e-02 
r(q3,q76) 	8.000000e-03 
r(q3,q88) 	2.000000e-03 
r(q3,q89) 	4.000000e-03 
r(q3,q90) 	1.200000e-02 
r(q3,q96) 	9.000000e-03 
r(q3,q97) 	1.000000e-02 
r(q3,q98) 	1.300000e-02 
r(q7,q25) 	1.200000e-02 
r(q7,q32) 	3.000000e-03 
r(q7,q34) 	5.000000e-03 
r(q7,q35) 	4.000000e-03 
r(q7,q43) 	3.800000e-02 
r(q7,q46) 	1.770000e-01 
r(q7,q47) 	4.380000e-01 
r(q7,q50) 	3.200000e-02 
r(q7,q55) 	1.400000e-02 
r(q7,q56) 	5.000000e-02 
r(q7,q58) 	2.010000e-01 
r(q7,q70) 	6.000000e-03 
r(q7,q71) 	4.000000e-02 
r(q7,q72) 	1.000000e-02 
r(q7,q75) 	8.000000e-03 
r(q7,q76) 	2.900000e-02 
r(q7,q88) 	3.000000e-03 
r(q7,q89) 	8.000000e-03 
r(q7,q90) 	6.400000e-02 
r(q7,q96) 	8.000000e-03 
r(q7,q97) 	1.000000e-02 
r(q14,q56) 	9.000000e-03 
r(q18,q56) 	1.000000e-02 
r(q24,q32) 	1.100000e-02 
r(q24,q34) 	2.000000e-03 
r(q24,q35) 	2.000000e-03 
r(q24,q43) 	4.000000e-03 
r(q24,q50) 	6.000000e-03 
r(q24,q55) 	2.000000e-03 
r(q24,q56) 	1.900000e-02 
r(q24,q71) 	5.700000e-02 
r(q24,q72) 	6.000000e-03 
r(q24,q75) 	5.000000e-03 
r(q24,q90) 	2.500000e-02 
r(q24,q91) 	1.540000e-01 
r(q24,q96) 	2.000000e-03 
r(q24,q97) 	4.000000e-03 
r(q25,q32) 	2.000000e-03 
r(q25,q34) 	2.000000e-03 
r(q25,q35) 	1.000000e-03 
r(q25,q43) 	4.000000e-03 
r(q25,q46) 	9.000000e-03 
r(q25,q47) 	8.000000e-03 
r(q25,q48) 	6.700000e-02 
r(q25,q49) 	5.000000e-02 
r(q25,q50) 	7.000000e-03 
r(q25,q55) 	2.000000e-03 
r(q25,q56) 	2.300000e-02 
r(q25,q58) 	2.500000e-02 
r(q25,q70) 	1.300000e-02 
r(q25,q71) 	2.400000e-02 
r(q25,q72) 	1.700000e-02 
r(q25,q73) 	8.800000e-02 
r(q25,q74) 	4.000000e-03 
r(q25,q75) 	6.800000e-02 
r(q25,q76) 	4.100000e-02 
r(q25,q88) 	8.000000e-03 
r(q25,q89) 	2.000000e-02 
r(q25,q90) 	5.500000e-02 
r(q25,q96) 	5.000000e-02 
r(q25,q97) 	5.400000e-02 
r(q25,q98) 	6.600000e-02 
r(q32,q43) 	2.000000e-03 
r(q32,q46) 	2.000000e-03 
r(q32,q47) 	2.000000e-03 
r(q32,q48) 	2.000000e-03 
r(q32,q49) 	5.000000e-03 
r(q32,q50) 	3.000000e-03 
r(q32,q56) 	1.000000e-02 
r(q32,q58) 	3.000000e-03 
r(q32,q70) 	1.000000e-03 
r(q32,q71) 	6.000000e-03 
r(q32,q72) 	2.000000e-03 
r(q32,q73) 	5.000000e-03 
r(q32,q75) 	7.000000e-03 
r(q32,q76) 	5.000000e-03 
r(q32,q89) 	2.000000e-03 
r(q32,q90) 	1.000000e-02 
r(q32,q91) 	7.000000e-03 
r(q32,q96) 	4.000000e-03 
r(q32,q97) 	5.000000e-03 
r(q32,q98) 	6.000000e-03 
r(q34,q35) 	5.000000e-02 
r(q34,q43) 	2.000000e-03 
r(q34,q46) 	4.000000e-03 
r(q34,q47) 	3.000000e-03 
r(q34,q48) 	7.000000e-03 
r(q34,q49) 	6.000000e-03 
r(q34,q50) 	2.000000e-03 
r(q34,q56) 	4.000000e-03 
r(q34,q58) 	4.000000e-03 
r(q34,q70) 	1.000000e-03 
r(q34,q71) 	5.000000e-03 
r(q34,q72) 	2.000000e-03 
r(q34,q73) 	8.000000e-03 
r(q34,q75) 	7.000000e-03 
r(q34,q76) 	4.000000e-03 
r(q34,q89) 	2.000000e-03 
r(q34,q90) 	7.000000e-03 
r(q34,q91) 	2.000000e-03 
r(q34,q96) 	5.000000e-03 
r(q34,q97) 	5.000000e-03 
r(q34,q98) 	7.000000e-03 
r(q35,q43) 	1.000000e-03 
r(q35,q46) 	3.000000e-03 
r(q35,q47) 	2.000000e-03 
r(q35,q48) 	5.000000e-03 
r(q35,q49) 	4.000000e-03 
r(q35,q50) 	1.000000e-03 
r(q35,q56) 	3.000000e-03 
r(q35,q58) 	3.000000e-03 
r(q35,q70) 	1.000000e-03 
r(q35,q71) 	3.000000e-03 
r(q35,q72) 	1.000000e-03 
r(q35,q73) 	6.000000e-03 
r(q35,q75) 	5.000000e-03 
r(q35,q76) 	3.000000e-03 
r(q35,q89) 	2.000000e-03 
r(q35,q90) 	5.000000e-03 
r(q35,q91) 	1.000000e-03 
r(q35,q96) 	4.000000e-03 
r(q35,q97) 	4.000000e-03 
r(q35,q98) 	5.000000e-03 
r(q43,q46) 	2.800000e-02 
r(q43,q47) 	2.500000e-02 
r(q43,q48) 	3.000000e-03 
r(q43,q49) 	2.900000e-02 
r(q43,q50) 	1.100000e-02 
r(q43,q55) 	5.000000e-03 
r(q43,q56) 	2.200000e-02 
r(q43,q58) 	2.600000e-02 
r(q43,q70) 	5.000000e-03 
r(q43,q71) 	1.700000e-02 
r(q43,q72) 	4.000000e-03 
r(q43,q73) 	2.300000e-02 
r(q43,q74) 	1.000000e-03 
r(q43,q75) 	2.700000e-02 
r(q43,q76) 	1.900000e-02 
r(q43,q88) 	3.000000e-03 
r(q43,q89) 	7.000000e-03 
r(q43,q90) 	3.200000e-02 
r(q43,q91) 	2.000000e-03 
r(q43,q96) 	1.400000e-02 
r(q43,q97) 	1.400000e-02 
r(q43,q98) 	3.300000e-02 
r(q44,q50) 	1.100000e-02 
r(q44,q56) 	5.000000e-03 
r(q44,q71) 	1.900000e-02 
r(q44,q74) 	2.000000e-03 
r(q44,q75) 	3.200000e-02 
r(q44,q76) 	1.000000e-03 
r(q44,q88) 	6.000000e-03 
r(q44,q89) 	6.000000e-03 
r(q44,q90) 	2.100000e-02 
r(q44,q96) 	1.000000e-03 
r(q44,q97) 	1.000000e-03 
r(q44,q105) 	1.020000e-01 
r(q46,q50) 	2.900000e-02 
r(q46,q55) 	1.300000e-02 
r(q46,q56) 	4.400000e-02 
r(q46,q58) 	1.030000e-01 
r(q46,q70) 	1.400000e-02 
r(q46,q71) 	4.700000e-02 
r(q46,q72) 	7.000000e-03 
r(q46,q74) 	4.000000e-03 
r(q46,q75) 	1.700000e-02 
r(q46,q76) 	5.300000e-02 
r(q46,q88) 	1.200000e-02 
r(q46,q89) 	2.300000e-02 
r(q46,q90) 	8.400000e-02 
r(q46,q96) 	1.200000e-02 
r(q46,q97) 	1.200000e-02 
r(q47,q50) 	2.300000e-02 
r(q47,q55) 	1.100000e-02 
r(q47,q56) 	3.600000e-02 
r(q47,q58) 	3.050000e-01 
r(q47,q70) 	3.100000e-02 
r(q47,q71) 	3.400000e-02 
r(q47,q72) 	7.000000e-03 
r(q47,q74) 	8.000000e-03 
r(q47,q75) 	1.000000e-02 
r(q47,q76) 	9.100000e-02 
r(q47,q88) 	2.800000e-02 
r(q47,q89) 	5.300000e-02 
r(q47,q90) 	1.420000e-01 
r(q47,q96) 	8.000000e-03 
r(q47,q97) 	9.000000e-03 
r(q48,q49) 	2.310000e-01 
r(q48,q50) 	1.800000e-02 
r(q48,q55) 	4.000000e-03 
r(q48,q56) 	5.600000e-02 
r(q48,q58) 	9.600000e-02 
r(q48,q70) 	4.700000e-02 
r(q48,q71) 	9.500000e-02 
r(q48,q72) 	6.200000e-02 
r(q48,q73) 	3.760000e-01 
r(q48,q74) 	1.300000e-02 
r(q48,q75) 	2.610000e-01 
r(q48,q76) 	1.350000e-01 
r(q48,q88) 	2.800000e-02 
r(q48,q89) 	7.000000e-02 
r(q48,q90) 	1.550000e-01 
r(q48,q96) 	1.860000e-01 
r(q48,q97) 	2.080000e-01 
r(q48,q98) 	2.750000e-01 
r(q49,q50) 	3.000000e-02 
r(q49,q55) 	8.000000e-03 
r(q49,q56) 	7.400000e-02 
r(q49,q58) 	2.230000e-01 
r(q49,q70) 	5.800000e-02 
r(q49,q71) 	9.700000e-02 
r(q49,q72) 	4.600000e-02 
r(q49,q73) 	5.390000e-01 
r(q49,q74) 	1.500000e-02 
r(q49,q75) 	4.410000e-01 
r(q49,q76) 	2.180000e-01 
r(q49,q88) 	3.300000e-02 
r(q49,q89) 	7.400000e-02 
r(q49,q90) 	2.390000e-01 
r(q49,q96) 	2.150000e-01 
r(q49,q97) 	2.380000e-01 
r(q49,q98) 	6.140000e-01 
r(q50,q55) 	7.000000e-03 
r(q50,q56) 	2.400000e-02 
r(q50,q58) 	2.800000e-02 
r(q50,q70) 	6.000000e-03 
r(q50,q71) 	2.200000e-02 
r(q50,q72) 	7.000000e-03 
r(q50,q73) 	3.300000e-02 
r(q50,q74) 	2.000000e-03 
r(q50,q75) 	3.500000e-02 
r(q50,q76) 	2.300000e-02 
r(q50,q88) 	4.000000e-03 
r(q50,q89) 	1.000000e-02 
r(q50,q91) 	4.000000e-03 
r(q50,q96) 	2.000000e-02 
r(q50,q97) 	2.200000e-02 
r(q50,q98) 	3.500000e-02 
r(q50,q105) 	6.000000e-03 
r(q55,q56) 	9.000000e-03 
r(q55,q58) 	1.000000e-02 
r(q55,q70) 	2.000000e-03 
r(q55,q71) 	8.000000e-03 
r(q55,q72) 	2.000000e-03 
r(q55,q73) 	8.000000e-03 
r(q55,q75) 	1.000000e-02 
r(q55,q76) 	8.000000e-03 
r(q55,q88) 	1.000000e-03 
r(q55,q89) 	3.000000e-03 
r(q55,q90) 	1.300000e-02 
r(q55,q91) 	1.000000e-03 
r(q55,q96) 	6.000000e-03 
r(q55,q97) 	6.000000e-03 
r(q55,q98) 	9.000000e-03 
r(q56,q58) 	4.420000e-01 
r(q56,q70) 	1.700000e-02 
r(q56,q71) 	4.800000e-02 
r(q56,q72) 	2.000000e-02 
r(q56,q73) 	9.500000e-02 
r(q56,q74) 	5.000000e-03 
r(q56,q75) 	9.000000e-02 
r(q56,q76) 	6.000000e-02 
r(q56,q88) 	1.100000e-02 
r(q56,q89) 	2.500000e-02 
r(q56,q90) 	9.500000e-02 
r(q56,q91) 	1.100000e-02 
r(q56,q96) 	5.800000e-02 
r(q56,q97) 	6.100000e-02 
r(q56,q98) 	9.000000e-02 
r(q56,q105) 	3.000000e-03 
r(q58,q70) 	2.800000e-02 
r(q58,q71) 	6.700000e-02 
r(q58,q72) 	2.300000e-02 
r(q58,q73) 	2.250000e-01 
r(q58,q74) 	7.000000e-03 
r(q58,q75) 	1.940000e-01 
r(q58,q76) 	1.120000e-01 
r(q58,q88) 	1.700000e-02 
r(q58,q89) 	3.800000e-02 
r(q58,q90) 	1.320000e-01 
r(q58,q96) 	9.600000e-02 
r(q58,q97) 	1.060000e-01 
r(q58,q98) 	2.560000e-01 
r(q70,q71) 	2.000000e-02 
r(q70,q72) 	1.200000e-02 
r(q70,q73) 	9.500000e-02 
r(q70,q74) 	5.000000e-03 
r(q70,q75) 	6.400000e-02 
r(q70,q76) 	4.400000e-02 
r(q70,q88) 	1.100000e-02 
r(q70,q89) 	2.900000e-02 
r(q70,q90) 	5.600000e-02 
r(q70,q96) 	4.100000e-02 
r(q70,q97) 	4.400000e-02 
r(q70,q98) 	9.200000e-02 
r(q71,q72) 	2.400000e-02 
r(q71,q73) 	1.330000e-01 
r(q71,q74) 	6.000000e-03 
r(q71,q75) 	1.120000e-01 
r(q71,q76) 	6.500000e-02 
r(q71,q88) 	1.300000e-02 
r(q71,q89) 	3.000000e-02 
r(q71,q90) 	9.100000e-02 
r(q71,q91) 	3.100000e-02 
r(q71,q96) 	7.100000e-02 
r(q71,q97) 	7.800000e-02 
r(q71,q98) 	1.140000e-01 
r(q71,q105) 	1.100000e-02 
r(q72,q73) 	8.200000e-02 
r(q72,q74) 	3.000000e-03 
r(q72,q75) 	6.300000e-02 
r(q72,q76) 	3.700000e-02 
r(q72,q88) 	7.000000e-03 
r(q72,q89) 	1.800000e-02 
r(q72,q90) 	5.100000e-02 
r(q72,q91) 	4.000000e-03 
r(q72,q96) 	4.600000e-02 
r(q72,q97) 	5.000000e-02 
r(q72,q98) 	6.100000e-02 
r(q73,q74) 	2.500000e-02 
r(q73,q75) 	5.220000e-01 
r(q73,q76) 	2.720000e-01 
r(q73,q88) 	5.500000e-02 
r(q73,q89) 	1.270000e-01 
r(q73,q90) 	3.090000e-01 
r(q73,q96) 	3.010000e-01 
r(q73,q97) 	3.340000e-01 
r(q73,q98) 	7.290000e-01 
r(q74,q75) 	1.800000e-02 
r(q74,q76) 	1.300000e-02 
r(q74,q88) 	3.000000e-03 
r(q74,q89) 	8.000000e-03 
r(q74,q90) 	1.900000e-02 
r(q74,q96) 	1.100000e-02 
r(q74,q97) 	1.200000e-02 
r(q74,q98) 	2.300000e-02 
r(q74,q105) 	2.000000e-03 
r(q75,q76) 	2.280000e-01 
r(q75,q88) 	4.100000e-02 
r(q75,q89) 	9.100000e-02 
r(q75,q90) 	2.750000e-01 
r(q75,q91) 	3.000000e-03 
r(q75,q96) 	2.700000e-01 
r(q75,q97) 	2.880000e-01 
r(q75,q98) 	5.330000e-01 
r(q75,q105) 	4.300000e-02 
r(q76,q88) 	2.900000e-02 
r(q76,q89) 	6.500000e-02 
r(q76,q90) 	2.140000e-01 
r(q76,q96) 	1.350000e-01 
r(q76,q97) 	1.460000e-01 
r(q76,q98) 	2.760000e-01 
r(q76,q105) 	2.000000e-03 
r(q88,q89) 	2.100000e-02 
r(q88,q90) 	3.800000e-02 
r(q88,q96) 	2.500000e-02 
r(q88,q97) 	2.700000e-02 
r(q88,q98) 	5.200000e-02 
r(q88,q105) 	2.620000e-01 
r(q89,q90) 	8.700000e-02 
r(q89,q96) 	5.900000e-02 
r(q89,q97) 	6.400000e-02 
r(q89,q98) 	1.170000e-01 
r(q89,q105) 	8.000000e-03 
r(q90,q91) 	1.400000e-02 
r(q90,q96) 	1.660000e-01 
r(q90,q97) 	1.760000e-01 
r(q90,q98) 	3.100000e-01 
r(q90,q105) 	2.300000e-02 
r(q91,q96) 	1.000000e-03 
r(q91,q97) 	3.000000e-03 
r(q96,q97) 	2.040000e-01 
r(q96,q98) 	2.680000e-01 
r(q96,q105) 	2.000000e-03 
r(q97,q98) 	2.970000e-01 
r(q97,q105) 	1.000000e-03 
r(q14,q18) 	6.800000e-01 
r(q14,q63) 	5.070000e-01 
r(q18,q63) 	-1.800000e-02 
r(q19,q45) 	9.810000e-01 
r(q46,q47) 	3.240000e-01 
r(q73,q92) 	-6.000000e-02 
r(q92,q98) 	2.000000e-03 
r(q92,q99) 	-9.000000e-03 
