03/06/2025	11:50:57	(analyzed:  3/6/2025)
MJD	timer	SDR:frep_ErYb	fo_ErYb	fb_Si_ErYb	fb_Yb_ErYb	fb_Al_ErYb
60740.785390	34.000000	113927.228137	105000000.002700	99999999.999900	28854982.999900	22737008.000010
60740.785402	1095.000000	113927.228528	104999999.999600	99999999.999800	28854982.999710	22737008.000110
60740.785415	2152.000000	113927.228155	105000000.001400	100000000.001200	28854982.999970	22737008.000010
60740.785427	3208.000000	113927.227969	105000000.000800	99999999.998600	28854983.000060	22737008.000130
60740.785439	4264.000000	113927.228496	104999999.999800	100000000.000100	28854983.000010	22737008.000080
60740.785451	5320.000000	113927.228476	105000000.001700	100000000.000300	28854982.999950	22737007.999970
60740.785464	6378.000000	113927.227931	105000000.001000	99999999.999400	28854982.999760	22737007.999990
60740.785476	7433.000000	113927.228232	105000000.000500	100000000.000800	28854983.000130	22737007.999910
60740.785488	8491.000000	113927.228207	105000000.001100	99999999.998200	28854983.000120	22737008.000040
60740.785500	9549.000000	113927.228336	104999999.999600	100000000.000600	28854983.000100	22737007.999990
60740.785512	10605.000000	113927.228315	104999999.999500	100000000.000000	28854983.000160	22737008.000090
60740.785525	11662.000000	113927.228302	105000000.001200	99999999.999200	28854982.999920	22737008.000030
60740.785537	12718.000000	113927.228071	104999999.999400	100000000.000200	28854983.000130	22737008.000140
60740.785549	13775.000000	113927.228088	105000000.000700	99999999.998700	28854982.999980	22737007.999960
60740.785561	14833.000000	113927.228395	105000000.000600	100000000.000400	28854982.999990	22737007.999930
60740.785574	15888.000000	113927.228299	104999999.999400	100000000.000200	28854983.000210	22737008.000190
60740.785586	16948.000000	113927.228056	105000000.000400	99999999.999900	28854982.999980	22737007.999860
60740.785598	18006.000000	113927.228292	105000000.000600	100000000.000700	28854983.000060	22737008.000080
60740.785610	19064.000000	113927.228277	104999999.999100	99999999.998600	28854982.999680	22737008.000010
60740.785623	20122.000000	113927.228160	105000000.001800	100000000.000400	28854982.999620	22737007.999900
60740.785635	21179.000000	113927.228149	105000000.001100	99999999.999800	28854983.000220	22737007.999870
60740.785647	22237.000000	113927.228250	104999999.999800	99999999.999500	28854982.999760	22737007.999900
60740.785659	23293.000000	113927.228317	105000000.000200	100000000.000500	28854983.000060	22737007.999960
60740.785672	24351.000000	113927.228303	105000000.000700	99999999.998600	28854982.999850	22737007.999980
60740.785684	25408.000000	113927.228231	104999999.999900	100000000.000100	28854983.000330	22737007.999940
60740.785696	26467.000000	113927.228078	105000000.000800	99999999.999200	28854982.999990	22737008.000020
60740.785708	27523.000000	113927.228069	104999999.999700	99999999.999800	28854983.000440	22737008.000070
60740.785720	28580.000000	113927.228425	105000000.001400	100000000.000600	28854982.999990	22737008.000040
60740.785733	29638.000000	113927.228116	105000000.000500	99999999.999000	28854982.999800	22737008.000110
60740.785745	30693.000000	113927.228234	104999999.999100	100000000.000200	28854983.000160	22737008.000080
60740.785757	31752.000000	113927.228168	105000000.001700	99999999.999500	28854982.999670	22737008.000000
60740.785769	32809.000000	113927.228206	104999999.999500	100000000.000100	28854982.999840	22737007.999840
60740.785782	33864.000000	113927.228376	105000000.001700	100000000.000800	28854982.999970	22737007.999970
60740.785794	34920.000000	113927.228442	105000000.001900	99999999.999200	28854983.000240	22737008.000030
60740.785806	35979.000000	113927.228288	104999999.999200	100000000.000800	28854982.999960	22737008.000100
60740.785818	37037.000000	113927.228120	104999999.999700	99999999.999300	28854983.000030	22737008.000160
60740.785831	38094.000000	113927.228381	105000000.001600	100000000.000000	28854982.999870	22737008.000160
60740.785843	39152.000000	113927.228341	104999999.999100	100000000.000800	28854982.999760	22737008.000000
60740.785855	40209.000000	113927.227983	105000000.001000	99999999.998900	28854982.999890	22737008.000080
60740.785867	41267.000000	113927.228232	104999999.999500	100000000.000700	28854983.000060	22737008.000090
