01/16/2025	15:22:25	(analyzed:  1/17/2025)
MJD	timer	SDR:fb_Al_TiS	SDR:fb_Yb_TiS	SDR:frep_TiS	fo_TiS	fb_Si_TiS
60691.915162	80.000000	NaN	nan	NaN	NaN	NaN
60691.915175	1139.000000	43718615.009642	142220034.939362	379043.158067	9999999.999810	639999999.997000
60691.915187	2193.000000	43718615.010626	142220034.971875	379043.158181	9999999.999980	639999999.999000
60691.915199	3248.000000	43718615.015483	142220034.942193	379043.157710	10000000.000050	640000000.001000
60691.915211	4302.000000	43718615.012274	142220034.965632	379043.158159	9999999.999940	640000000.003000
60691.915224	5358.000000	43718615.008122	142220034.948558	379043.158466	9999999.999930	639999999.999000
60691.915236	6411.000000	43718615.012790	142220034.950073	379043.157912	10000000.000040	640000000.002000
60691.915248	7466.000000	43718615.009546	142220034.950561	379043.157901	9999999.999800	640000000.004000
60691.915260	8520.000000	43718615.010686	142220034.960646	379043.158164	10000000.000110	640000000.001000
60691.915272	9576.000000	43718615.011718	142220034.945947	379043.158169	9999999.999960	640000000.001000
60691.915285	10631.000000	43718615.007912	142220034.964124	379043.157939	9999999.999950	640000000.002000
60691.915297	11686.000000	43718615.017427	142220034.953241	379043.157807	10000000.000010	639999999.998000
60691.915309	12739.000000	43718615.010186	142220034.946819	379043.158394	9999999.999910	639999999.999000
60691.915321	13793.000000	43718615.010290	142220034.945117	379043.158051	9999999.999970	639999999.999000
60691.915333	14847.000000	43718615.011871	142220034.957584	379043.157887	10000000.000040	640000000.002000
60691.915346	15902.000000	43718615.009067	142220034.952256	379043.158004	10000000.000050	639999999.998000
60691.915358	16958.000000	43718615.009562	142220034.949016	379043.158156	9999999.999950	640000000.002000
60691.915370	18011.000000	43718615.010083	142220034.96466	379043.158107	9999999.999960	639999999.997000
60691.915382	19064.000000	43718615.013963	142220034.959417	379043.158138	10000000.000000	640000000.000000
60691.915394	20118.000000	43718615.010957	142220034.949043	379043.158149	10000000.000060	640000000.002000
60691.915407	21171.000000	43718615.012489	142220034.954589	379043.157782	10000000.000050	640000000.001000
60691.915419	22223.000000	43718615.015250	142220034.940552	379043.158211	10000000.000050	639999999.998000
60691.915431	23278.000000	43718615.007278	142220034.964052	379043.158268	10000000.000040	639999999.998000
60691.915443	24332.000000	43718615.010475	142220034.943859	379043.157849	10000000.000080	640000000.000000
60691.915455	25385.000000	43718615.012725	142220034.962506	379043.158011	10000000.000000	639999999.998000
60691.915468	26442.000000	43718615.011189	142220034.952332	379043.157905	9999999.999930	640000000.002000
60691.915480	27496.000000	43718615.010689	142220034.937858	379043.158017	10000000.000010	640000000.000000
60691.915492	28551.000000	43718615.014206	142220034.960418	379043.158160	9999999.999980	639999999.999000
60691.915504	29606.000000	43718615.006979	142220034.93875098	379043.158085	9999999.999970	639999999.999000
60691.915516	30661.000000	43718615.016389	142220034.966345	379043.157946	9999999.999920	639999999.998000
60691.915529	31717.000000	43718615.010888	142220034.93788	379043.157993	10000000.000060	640000000.007000
60691.915541	32772.000000	43718615.008629	142220034.96744698	379043.158194	10000000.000050	640000000.001000
60691.915553	33825.000000	43718615.012101	142220034.943961	379043.157878	9999999.999960	640000000.001000
60691.915565	34879.000000	43718615.010363	142220034.960471	379043.158184	9999999.999980	640000000.003000
60691.915577	35935.000000	43718615.011450	142220034.952362	379043.158074	9999999.999940	640000000.000000
60691.915590	36990.000000	43718615.008097	142220034.95761698	379043.157871	9999999.999960	640000000.001000
60691.915602	38046.000000	43718615.011417	142220034.952219	379043.158128	10000000.000100	640000000.000000
60691.915614	39101.000000	43718615.008915	142220034.972337	379043.158021	9999999.999980	640000000.003000
60691.915626	40156.000000	43718615.014287	142220034.93068302	379043.158049	9999999.999900	639999999.999000
60691.915639	41210.000000	43718615.014385	142220034.96619	379043.158081	10000000.000140	640000000.000000
60691.915651	42264.000000	43718615.011508	142220034.943669	379043.158227	10000000.000070	640000000.001000
60691.915663	43319.000000	43718615.011267	142220034.95919502	379043.157986	9999999.999980	640000000.000000
60691.915675	44373.000000	43718615.007116	142220034.928554	379043.157882	10000000.000090	639999999.999000
60691.915687	45428.000000	43718615.015152	142220034.975364	379043.157984	10000000.000050	640000000.003000
60691.915700	46483.000000	43718615.011839	142220034.944722	379043.158347	9999999.999910	639999999.996000
60691.915712	47537.000000	43718615.008636	142220034.96332198	379043.157956	9999999.999930	640000000.002000
60691.915724	48591.000000	43718615.006915	142220034.947858	379043.157897	9999999.999920	640000000.000000
60691.915736	49646.000000	43718615.015276	142220034.96762002	379043.158283	10000000.000050	640000000.001000
60691.915748	50700.000000	43718615.013969	142220034.94112	379043.157894	10000000.000030	640000000.001000
60691.915761	51757.000000	43718615.009981	142220034.949151	379043.158073	10000000.000060	639999999.995000
60691.915773	52810.000000	43718615.008751	142220034.945804	379043.158122	10000000.000080	640000000.002000
60691.915785	53862.000000	43718615.018751	142220034.96249402	379043.158151	10000000.000130	640000000.001000
60691.915797	54915.000000	43718615.005693	142220034.939591	379043.157912	10000000.000010	640000000.001000
60691.915809	55969.000000	43718615.008693	142220034.95328	379043.158144	9999999.999970	640000000.000000
60691.915822	57023.000000	43718615.011035	142220034.94722998	379043.158060	10000000.000000	639999999.997000
60691.915834	58078.000000	43718615.010708	142220034.933415	379043.157850	9999999.999980	639999999.998000
60691.915846	59134.000000	43718615.011816	142220034.972288	379043.158035	10000000.000050	640000000.001000
60691.915858	60187.000000	43718615.007668	142220034.93971	379043.158107	10000000.000020	640000000.002000
60691.915870	61240.000000	43718615.009636	142220034.955784	379043.158069	9999999.999990	640000000.001000
60691.915883	62294.000000	43718615.013646	142220034.961985	379043.157875	10000000.000140	640000000.005000
60691.915895	63349.000000	43718615.010456	142220034.943335	379043.158085	10000000.000120	640000000.003000
60691.915907	64403.000000	43718615.009328	142220034.955725	379043.157991	10000000.000000	640000000.002000
60691.915919	65458.000000	43718615.015836	142220034.95775	379043.158147	9999999.999960	639999999.999000
60691.915931	66511.000000	43718615.008738	142220034.95661598	379043.157943	10000000.000090	640000000.000000
60691.915944	67564.000000	43718615.008793	142220034.955356	379043.158089	10000000.000160	640000000.002000
60691.915956	68619.000000	43718615.013787	142220034.943389	379043.157958	9999999.999970	640000000.000000
60691.915968	69673.000000	43718615.013832	142220034.952528	379043.157718	10000000.000180	640000000.000000
60691.915980	70726.000000	43718615.009045	142220034.95660502	379043.158380	9999999.999950	640000000.000000
60691.915992	71781.000000	43718615.012113	142220034.949766	379043.157859	10000000.000050	640000000.001000
60691.916005	72836.000000	43718615.009236	142220034.94675	379043.158107	10000000.000140	640000000.003000
60691.916017	73889.000000	43718615.009126	142220034.952891	379043.158112	9999999.999920	640000000.000000
60691.916029	74944.000000	43718615.016313	142220034.967772	379043.157981	10000000.000000	639999999.999000
60691.916041	75998.000000	43718615.014200	142220034.968908	379043.157982	10000000.000210	640000000.002000
60691.916053	77052.000000	43718615.004778	142220034.953663	379043.157659	10000000.000030	639999999.997000
60691.916066	78108.000000	43718615.017116	142220034.954005	379043.158172	10000000.000110	640000000.000000
60691.916078	79162.000000	43718615.009051	142220034.959745	379043.158104	10000000.000180	640000000.001000
60691.916090	80216.000000	43718615.009710	142220034.947678	379043.158055	10000000.000100	639999999.997000
60691.916102	81269.000000	43718615.012614	142220034.94902098	379043.158016	10000000.000080	640000000.003000
60691.916114	82323.000000	43718615.011467	142220034.954629	379043.157924	10000000.000200	640000000.001000
60691.916127	83377.000000	43718615.014406	142220034.955906	379043.158280	10000000.000050	639999999.998000
60691.916139	84430.000000	43718615.012469	142220034.970591	379043.157791	9999999.999990	640000000.003000
60691.916151	85485.000000	43718615.010602	142220034.943215	379043.157952	10000000.000120	640000000.002000
60691.916163	86538.000000	43718615.010554	142220034.957133	379043.158090	10000000.000030	640000000.001000
60691.916175	87591.000000	43718615.009565	142220034.949797	379043.158023	10000000.000120	639999999.999000
60691.916188	88646.000000	43718615.013610	142220034.948501	379043.157859	10000000.000060	639999999.999000
60691.916200	89699.000000	43718615.008486	142220034.949043	379043.158223	9999999.999940	639999999.998000
60691.916212	90753.000000	43718615.010502	142220034.956326	379043.157905	9999999.999930	639999999.999000
60691.916224	91808.000000	43718615.013435	142220034.94746	379043.158127	10000000.000170	640000000.003000
60691.916236	92864.000000	43718615.013238	142220034.951521	379043.158322	10000000.000070	640000000.003000
60691.916249	93919.000000	43718615.008303	142220034.968856	379043.157639	10000000.000040	639999999.999000
60691.916261	94975.000000	43718615.016194	142220034.93717802	379043.157931	10000000.000120	640000000.003000
60691.916273	96030.000000	43718615.008231	142220034.953747	379043.158353	10000000.000010	639999999.996000
60691.916285	97085.000000	43718615.004958	142220034.975452	379043.157830	9999999.999820	640000000.001000
60691.916297	98140.000000	43718615.014817	142220034.928211	379043.157860	10000000.000220	639999999.997000
60691.916310	99195.000000	43718615.010614	142220034.96112502	379043.158262	10000000.000070	640000000.001000
60691.916322	100248.000000	43718615.011185	142220034.952704	379043.158179	10000000.000100	640000000.001000
60691.916334	101303.000000	43718615.013603	142220034.949998	379043.157902	10000000.000020	640000000.003000
60691.916346	102357.000000	43718615.013642	142220034.959064	379043.158022	10000000.000040	640000000.000000
60691.916358	103412.000000	43718615.007602	142220034.951065	379043.157883	10000000.000070	639999999.999000
60691.916371	104466.000000	43718615.008435	142220034.960762	379043.158122	10000000.000210	640000000.002000
60691.916383	105520.000000	43718615.011889	142220034.954939	379043.157870	9999999.999960	639999999.999000
60691.916395	106575.000000	43718615.010974	142220034.96159	379043.158029	9999999.999950	639999999.999000
60691.916407	107630.000000	43718615.016652	142220034.95063698	379043.158139	10000000.000220	639999999.999000
60691.916419	108684.000000	43718615.006250	142220034.946718	379043.158184	9999999.999990	640000000.002000
60691.916432	109738.000000	43718615.012144	142220034.961528	379043.157975	9999999.999970	640000000.002000
60691.916444	110790.000000	43718615.013740	142220034.962763	379043.157903	10000000.000170	640000000.005000
60691.916456	111844.000000	43718615.005825	142220034.932349	379043.158167	10000000.000020	640000000.000000
60691.916468	112897.000000	43718615.014184	142220034.96006	379043.158115	10000000.000010	639999999.999000
60691.916480	113951.000000	43718615.014850	142220034.939488	379043.158060	10000000.000160	639999999.999000
60691.916493	115007.000000	43718615.006726	142220034.959409	379043.158096	10000000.000060	639999999.999000
60691.916505	116061.000000	43718615.007708	142220034.948351	379043.158157	10000000.000090	639999999.997000
60691.916517	117115.000000	43718615.015506	142220034.947946	379043.158206	10000000.000190	639999999.998000
60691.916529	118174.000000	43718615.007289	142220034.94952	379043.157858	10000000.000020	640000000.001000
60691.916542	119230.000000	43718615.008134	142220034.954792	379043.157986	10000000.000100	639999999.997000
60691.916554	120284.000000	43718615.014845	142220034.94653702	379043.158115	10000000.000110	640000000.002000
60691.916566	121337.000000	43718615.009947	142220034.959314	379043.158132	10000000.000010	639999999.999000
60691.916578	122390.000000	43718615.013031	142220034.948324	379043.157947	9999999.999990	640000000.002000
60691.916590	123444.000000	43718615.010530	142220034.97677702	379043.158208	10000000.000150	640000000.002000
60691.916603	124498.000000	43718615.008140	142220034.931613	379043.157963	9999999.999990	640000000.001000
60691.916615	125553.000000	43718615.017157	142220034.96606898	379043.157850	10000000.000010	639999999.998000
60691.916627	126608.000000	43718615.008435	142220034.952701	379043.158059	10000000.000220	639999999.998000
60691.916639	127663.000000	43718615.014481	142220034.95359	379043.158167	10000000.000050	640000000.004000
60691.916651	128718.000000	43718615.009037	142220034.94832802	379043.158058	10000000.000020	639999999.998000
60691.916664	129771.000000	43718615.007567	142220034.95402	379043.158056	10000000.000220	640000000.000000
60691.916676	130824.000000	43718615.012991	142220034.954147	379043.157842	10000000.000010	640000000.003000
60691.916688	131879.000000	43718615.010882	142220034.962613	379043.158285	9999999.999860	639999999.998000
60691.916700	132934.000000	43718615.007644	142220034.951097	379043.158123	10000000.000120	640000000.003000
60691.916712	133989.000000	43718615.017215	142220034.962641	379043.157872	10000000.000210	640000000.000000
60691.916725	135042.000000	43718615.005816	142220034.954116	379043.158322	10000000.000010	640000000.003000
60691.916737	136096.000000	43718615.014246	142220034.96716	379043.157997	10000000.000170	639999999.998000
60691.916749	137150.000000	43718615.012907	142220034.949614	379043.157855	10000000.000080	639999999.999000
60691.916761	138203.000000	43718615.005985	142220034.952905	379043.157757	10000000.000050	640000000.000000
60691.916773	139257.000000	43718615.014709	142220034.946498	379043.158232	10000000.000130	639999999.996000
60691.916786	140312.000000	43718615.016991	142220034.956646	379043.158154	9999999.999950	640000000.002000
60691.916798	141366.000000	43718615.004219	142220034.96427798	379043.158142	9999999.999930	639999999.999000
60691.916810	142419.000000	43718615.017519	142220034.942391	379043.157794	10000000.000150	640000000.002000
60691.916822	143472.000000	43718615.007262	142220034.961358	379043.157941	10000000.000080	640000000.001000
60691.916834	144526.000000	43718615.010919	142220034.947434	379043.157934	10000000.000130	640000000.000000
60691.916847	145580.000000	43718615.015975	142220034.943646	379043.158334	10000000.000030	640000000.000000
60691.916859	146636.000000	43718615.004230	142220034.96534902	379043.158024	9999999.999960	640000000.005000
60691.916871	147691.000000	43718615.015365	142220034.933663	379043.157725	10000000.000060	639999999.999000
60691.916883	148746.000000	43718615.009469	142220034.944744	379043.158006	9999999.999980	640000000.000000
60691.916895	149800.000000	43718615.011489	142220034.986533	379043.158405	10000000.000130	640000000.000000
60691.916908	150854.000000	43718615.010529	142220034.934282	379043.158057	9999999.999940	640000000.001000
60691.916920	151906.000000	43718615.010437	142220034.955864	379043.157837	10000000.000200	640000000.004000
60691.916932	152959.000000	43718615.012871	142220034.967188	379043.158059	10000000.000050	640000000.001000
60691.916944	154015.000000	43718615.008401	142220034.940671	379043.158027	10000000.000040	639999999.997000
60691.916956	155069.000000	43718615.006941	142220034.95265	379043.157965	10000000.000040	639999999.998000
60691.916969	156122.000000	43718615.012552	142220034.949033	379043.158151	9999999.999880	640000000.005000
60691.916981	157177.000000	43718615.009916	142220034.962368	379043.158056	10000000.000050	640000000.003000
60691.916993	158232.000000	43718615.013764	142220034.941067	379043.157893	10000000.000100	640000000.001000
60691.917005	159286.000000	43718615.010095	142220034.967091	379043.157958	9999999.999980	640000000.002000
60691.917017	160340.000000	43718615.015074	142220034.943595	379043.158170	9999999.999940	640000000.001000
60691.917030	161395.000000	43718615.009610	142220034.966036	379043.158071	10000000.000070	639999999.998000
60691.917042	162449.000000	43718615.008592	142220034.951146	379043.158161	9999999.999870	639999999.998000
60691.917054	163501.000000	43718615.016091	142220034.952165	379043.157946	9999999.999970	640000000.000000
60691.917066	164555.000000	43718615.014656	142220034.94787198	379043.158042	10000000.000180	640000000.001000
60691.917078	165608.000000	43718615.002735	142220034.958222	379043.158063	10000000.000050	640000000.001000
60691.917091	166662.000000	43718615.018917	142220034.95595	379043.158052	9999999.999990	640000000.003000
60691.917103	167715.000000	43718615.006736	142220034.949807	379043.158015	10000000.000170	639999999.999000
60691.917115	168769.000000	43718615.008219	142220034.951556	379043.158197	10000000.000170	640000000.001000
60691.917127	169823.000000	43718615.013027	142220034.958909	379043.158070	10000000.000000	640000000.001000
60691.917139	170878.000000	43718615.011120	142220034.95302498	379043.158140	10000000.000050	640000000.000000
60691.917152	171932.000000	43718615.014533	142220034.952055	379043.158040	10000000.000070	639999999.998000
60691.917164	172985.000000	43718615.012390	142220034.95502	379043.157783	10000000.000130	640000000.002000
60691.917176	174040.000000	43718615.010502	142220034.951442	379043.158338	10000000.000210	640000000.001000
60691.917188	175093.000000	43718615.008402	142220034.958947	379043.157860	10000000.000000	640000000.001000
60691.917200	176147.000000	43718615.015939	142220034.951675	379043.158075	10000000.000060	640000000.000000
60691.917213	177202.000000	43718615.011974	142220034.95496	379043.158159	10000000.000150	640000000.000000
60691.917225	178256.000000	43718615.010677	142220034.967426	379043.158079	9999999.999950	639999999.999000
60691.917237	179308.000000	43718615.010828	142220034.95602798	379043.158049	9999999.999970	640000000.002000
60691.917249	180361.000000	43718615.011188	142220034.945311	379043.158097	10000000.000100	640000000.003000
60691.917261	181416.000000	43718615.008817	142220034.956799	379043.158077	9999999.999990	640000000.002000
60691.917273	182468.000000	43718615.015799	142220034.9425	379043.157958	10000000.000050	639999999.998000
60691.917286	183521.000000	43718615.007746	142220034.960208	379043.157804	10000000.000030	639999999.999000
60691.917298	184575.000000	43718615.009289	142220034.950641	379043.158043	10000000.000090	640000000.004000
60691.917310	185630.000000	43718615.014980	142220034.956186	379043.158386	10000000.000040	640000000.000000
60691.917322	186685.000000	43718615.013738	142220034.952149	379043.157896	10000000.000180	639999999.998000
60691.917334	187739.000000	43718615.004946	142220034.954424	379043.158026	10000000.000060	639999999.999000
60691.917347	188795.000000	43718615.013340	142220034.960149	379043.158045	9999999.999900	640000000.001000
60691.917359	189847.000000	43718615.009863	142220034.949966	379043.158143	10000000.000190	640000000.004000
60691.917371	190902.000000	43718615.012872	142220034.965878	379043.157827	10000000.000090	639999999.998000
60691.917383	191957.000000	43718615.012672	142220034.942084	379043.158204	10000000.000040	640000000.000000
60691.917396	193011.000000	43718615.011691	142220034.950925	379043.157859	10000000.000090	640000000.000000
60691.917408	194066.000000	43718615.012754	142220034.96156698	379043.158103	10000000.000070	639999999.999000
60691.917420	195120.000000	43718615.013756	142220034.966914	379043.157992	9999999.999960	639999999.999000
60691.917432	196172.000000	43718615.010229	142220034.949849	379043.158126	9999999.999990	640000000.003000
60691.917444	197228.000000	43718615.012366	142220034.950998	379043.157931	10000000.000070	640000000.001000
60691.917457	198283.000000	43718615.006907	142220034.952732	379043.158220	10000000.000000	640000000.002000
60691.917469	199335.000000	43718615.011918	142220034.965094	379043.158088	10000000.000120	640000000.000000
60691.917481	200390.000000	43718615.012047	142220034.92950702	379043.157875	10000000.000080	639999999.998000
60691.917493	201444.000000	43718615.006366	142220034.963002	379043.158246	10000000.000010	640000000.003000
60691.917505	202497.000000	43718615.014944	142220034.948938	379043.157729	10000000.000020	639999999.997000
60691.917518	203553.000000	43718615.009596	142220034.946205	379043.158091	9999999.999920	639999999.999000
60691.917530	204608.000000	43718615.016193	142220034.950518	379043.158033	10000000.000180	640000000.003000
60691.917542	205662.000000	43718615.005538	142220034.94689798	379043.157932	10000000.000030	640000000.003000
60691.917554	206718.000000	43718615.013936	142220034.960014	379043.158170	10000000.000120	640000000.000000
60691.917566	207771.000000	43718615.015421	142220034.960711	379043.158381	10000000.000060	640000000.000000
60691.917579	208824.000000	43718615.007559	142220034.951906	379043.157964	10000000.000200	640000000.001000
60691.917591	209876.000000	43718615.011506	142220034.945056	379043.157892	9999999.999910	640000000.000000
60691.917603	210931.000000	43718615.010617	142220034.963323	379043.158035	9999999.999960	640000000.000000
60691.917615	211986.000000	43718615.012376	142220034.942415	379043.158158	10000000.000290	640000000.001000
60691.917627	213038.000000	43718615.010160	142220034.950788	379043.158137	10000000.000000	640000000.004000
60691.917640	214093.000000	43718615.009812	142220034.93388999	379043.158144	9999999.999980	640000000.001000
60691.917652	215147.000000	43718615.014499	142220034.967042	379043.157731	10000000.000160	639999999.998000
60691.917664	216201.000000	43718615.013799	142220034.957598	379043.158220	10000000.000070	639999999.998000
60691.917676	217256.000000	43718615.009150	142220034.945436	379043.157984	10000000.000070	640000000.004000
60691.917688	218310.000000	43718615.007006	142220034.966434	379043.158103	10000000.000050	640000000.001000
60691.917701	219364.000000	43718615.010942	142220034.953221	379043.157879	9999999.999970	639999999.996000
60691.917713	220418.000000	43718615.013704	142220034.945866	379043.158201	9999999.999940	640000000.001000
60691.917725	221473.000000	43718615.012955	142220034.969796	379043.158007	10000000.000170	640000000.003000
60691.917737	222526.000000	43718615.011669	142220034.94481	379043.158004	9999999.999880	639999999.996000
60691.917749	223580.000000	43718615.010196	142220034.957196	379043.157922	9999999.999970	640000000.003000
60691.917761	224633.000000	43718615.006262	142220034.957471	379043.158314	10000000.000200	639999999.999000
60691.917774	225686.000000	43718615.015660	142220034.94744	379043.157849	9999999.999990	639999999.996000
60691.917786	226740.000000	43718615.012465	142220034.971706	379043.158078	10000000.000010	640000000.003000
60691.917798	227794.000000	43718615.013133	142220034.945638	379043.157906	10000000.000210	639999999.996000
60691.917810	228848.000000	43718615.009304	142220034.945281	379043.158316	9999999.999940	640000000.002000
60691.917822	229903.000000	43718615.012700	142220034.962374	379043.157791	10000000.000010	639999999.999000
60691.917835	230958.000000	43718615.012988	142220034.929864	379043.158061	10000000.000220	640000000.002000
60691.917847	232012.000000	43718615.007564	142220034.949848	379043.157950	9999999.999930	640000000.002000
60691.917859	233066.000000	43718615.009854	142220034.95434898	379043.157891	10000000.000060	640000000.003000
60691.917871	234121.000000	43718615.013476	142220034.950427	379043.158321	10000000.000190	639999999.999000
60691.917884	235175.000000	43718615.007554	142220034.947729	379043.157803	10000000.000030	640000000.000000
60691.917896	236231.000000	43718615.011421	142220034.960199	379043.157900	10000000.000050	640000000.000000
60691.917908	237285.000000	43718615.013311	142220034.94798	379043.158275	10000000.000230	640000000.001000
60691.917920	238338.000000	43718615.015093	142220034.96895	379043.158254	10000000.000000	640000000.001000
60691.917932	239390.000000	43718615.005402	142220034.960756	379043.158070	10000000.000020	639999999.997000
60691.917944	240445.000000	43718615.014682	142220034.949458	379043.158032	10000000.000270	640000000.003000
60691.917957	241500.000000	43718615.012543	142220034.948658	379043.157972	10000000.000220	639999999.999000
60691.917969	242552.000000	43718615.010766	142220034.947349	379043.158037	9999999.999990	640000000.003000
60691.917981	243606.000000	43718615.008741	142220034.943475	379043.158126	10000000.000120	639999999.998000
60691.917993	244660.000000	43718615.011678	142220034.977532	379043.158153	9999999.999950	640000000.001000
60691.918005	245713.000000	43718615.013024	142220034.935302	379043.157910	9999999.999920	639999999.999000
60691.918018	246766.000000	43718615.011751	142220034.959024	379043.157874	10000000.000120	640000000.000000
60691.918030	247822.000000	43718615.012102	142220034.95243	379043.158138	10000000.000060	639999999.998000
60691.918042	248875.000000	43718615.008418	142220034.95403302	379043.157952	10000000.000040	640000000.003000
60691.918054	249931.000000	43718615.013224	142220034.954068	379043.158085	10000000.000040	640000000.003000
60691.918067	250986.000000	43718615.010797	142220034.942986	379043.158187	9999999.999900	640000000.002000
60691.918079	252042.000000	43718615.015982	142220034.96504	379043.158083	10000000.000070	640000000.001000
60691.918091	253095.000000	43718615.007288	142220034.93945	379043.157981	10000000.000090	640000000.005000
60691.918103	254148.000000	43718615.009546	142220034.967066	379043.158330	9999999.999960	640000000.000000
60691.918115	255201.000000	43718615.015612	142220034.952066	379043.157844	9999999.999930	639999999.998000
60691.918127	256255.000000	43718615.010696	142220034.93754	379043.157861	10000000.000020	639999999.999000
60691.918140	257310.000000	43718615.007624	142220034.964353	379043.158310	9999999.999920	640000000.000000
60691.918152	258364.000000	43718615.010298	142220034.959492	379043.158103	10000000.000130	640000000.002000
60691.918164	259418.000000	43718615.011935	142220034.948535	379043.158059	10000000.000000	639999999.997000
60691.918176	260473.000000	43718615.014698	142220034.951781	379043.157774	9999999.999770	640000000.006000
60691.918189	261527.000000	43718615.016314	142220034.95115	379043.158155	10000000.000030	639999999.998000
