08/13/2024	10:22:34	(analyzed:  8/14/2024)
MJD	timer	SDR:fb_Al_TiS	SDR:fb_Yb_TiS	SDR:frep_TiS	fo_TiS	fb_Si_TiS
60535.913147	70.000000	43718653.919955	nan	379043.157121	10000000.000130	640000000.000000
60535.913159	1127.000000	43718653.968577	142219737.836769	379043.157544	10000000.000050	640000000.003000
60535.913172	2180.000000	43718653.96010099	142219737.849501	379043.156818	10000000.000020	640000000.002000
60535.913184	3235.000000	43718653.940251	142219737.813736	379043.157176	10000000.000080	639999999.996000
60535.913196	4292.000000	43718653.977472	142219737.86701	379043.157432	10000000.000030	640000000.000000
60535.913208	5347.000000	43718653.933579	142219737.817279	379043.157262	10000000.000000	639999999.999000
60535.913221	6402.000000	43718653.982147	142219737.858731	379043.157049	10000000.000040	640000000.005000
60535.913233	7455.000000	43718653.960094	142219737.838989	379043.157121	10000000.000050	639999999.999000
60535.913245	8507.000000	43718653.953261994	142219737.836241	379043.157251	10000000.000090	640000000.002000
60535.913257	9561.000000	43718653.93645	142219737.824871	379043.157391	10000000.000010	640000000.004000
60535.913269	10617.000000	43718653.957642995	142219737.8436	379043.157255	10000000.000060	640000000.002000
60535.913282	11669.000000	43718653.969416	142219737.844612	379043.156972	10000000.000160	640000000.000000
60535.913294	12724.000000	43718653.937697	142219737.829892	379043.157256	10000000.000070	640000000.002000
60535.913306	13777.000000	43718653.955676995	142219737.837678	379043.157422	9999999.999910	639999999.997000
60535.913318	14831.000000	43718653.976868995	142219737.854614	379043.157271	9999999.999980	640000000.004000
60535.913330	15886.000000	43718653.962607	142219737.844195	379043.157161	9999999.999970	640000000.003000
60535.913343	16943.000000	43718653.957385994	142219737.835302	379043.157261	10000000.000060	640000000.004000
60535.913355	17997.000000	43718653.948766	142219737.838724	379043.157157	9999999.999920	639999999.997000
60535.913367	19052.000000	43718653.975940995	142219737.852186	379043.157097	9999999.999830	639999999.996000
60535.913379	20105.000000	43718653.942774996	142219737.821498	379043.157334	9999999.999940	640000000.001000
60535.913391	21159.000000	43718653.975654	142219737.862474	379043.157075	9999999.999940	640000000.006000
60535.913404	22214.000000	43718653.943971	142219737.830534	379043.157118	10000000.000010	640000000.005000
60535.913416	23268.000000	43718653.939527	142219737.83551	379043.157337	10000000.000090	640000000.000000
60535.913428	24321.000000	43718653.960501	142219737.836674	379043.157512	10000000.000070	639999999.999000
60535.913440	25374.000000	43718653.9502	142219737.83613	379043.156736	9999999.999930	639999999.999000
60535.913452	26428.000000	43718653.956782	142219737.830411	379043.157487	9999999.999920	640000000.003000
60535.913465	27482.000000	43718653.987462	142219737.865336	379043.157397	10000000.000000	640000000.000000
60535.913477	28535.000000	43718653.939596996	142219737.820645	379043.156999	9999999.999950	640000000.003000
60535.913489	29589.000000	43718653.971691	142219737.855	379043.157419	10000000.000090	640000000.003000
60535.913501	30643.000000	43718653.961774	142219737.836968	379043.157046	10000000.000060	639999999.998000
60535.913513	31696.000000	43718653.94079699	142219737.831018	379043.157341	10000000.000100	640000000.002000
60535.913526	32751.000000	43718653.952866994	142219737.835733	379043.156954	10000000.000050	640000000.000000
60535.913538	33804.000000	43718653.964249	142219737.836451	379043.157254	10000000.000060	640000000.000000
60535.913550	34858.000000	43718653.951765	142219737.831481	379043.157216	10000000.000010	640000000.001000
60535.913562	35914.000000	43718653.968508996	142219737.835816	379043.157240	10000000.000020	640000000.001000
60535.913574	36969.000000	43718653.96788599	142219737.858864	379043.157205	10000000.000030	639999999.997000
60535.913587	38022.000000	43718653.962965	142219737.84047	379043.157235	9999999.999960	640000000.004000
60535.913599	39077.000000	43718653.961955994	142219737.844296	379043.157085	10000000.000010	639999999.998000
60535.913611	40131.000000	43718653.977458	142219737.84913	379043.156909	10000000.000040	640000000.002000
60535.913623	41185.000000	43718653.961907	142219737.842704	379043.157631	9999999.999980	639999999.998000
60535.913635	42237.000000	43718653.962221995	142219737.83336	379043.157328	10000000.000100	640000000.000000
60535.913648	43291.000000	43718653.938732	142219737.824495	379043.157076	9999999.999970	640000000.003000
60535.913660	44345.000000	43718653.968949	142219737.848942	379043.157071	10000000.000070	640000000.000000
60535.913672	45397.000000	43718653.980513	142219737.86487302	379043.157497	9999999.999980	639999999.998000
60535.913684	46452.000000	43718653.933224	142219737.813687	379043.157211	10000000.000070	639999999.998000
60535.913696	47507.000000	43718653.984192	142219737.848814	379043.157271	10000000.000050	640000000.001000
60535.913709	48561.000000	43718653.93211	142219737.823153	379043.157087	10000000.000130	640000000.004000
60535.913721	49615.000000	43718653.99466699	142219737.864058	379043.157028	10000000.000010	640000000.000000
60535.913733	50669.000000	43718653.945751	142219737.816535	379043.157056	10000000.000030	640000000.000000
60535.913745	51722.000000	43718653.967402995	142219737.847068	379043.157310	10000000.000080	640000000.002000
60535.913757	52776.000000	43718653.952434994	142219737.827076	379043.157193	10000000.000000	640000000.002000
60535.913770	53831.000000	43718653.942102	142219737.826433	379043.157496	9999999.999990	639999999.999000
60535.913782	54883.000000	43718653.982874	142219737.854819	379043.156979	9999999.999870	639999999.999000
60535.913794	55939.000000	43718653.938204	142219737.818703	379043.157388	10000000.000020	639999999.994000
60535.913806	56993.000000	43718653.985163994	142219737.859783	379043.157269	9999999.999970	640000000.005000
60535.913818	58046.000000	43718653.954119	142219737.840727	379043.157284	9999999.999920	640000000.000000
60535.913831	59101.000000	43718653.973331995	142219737.84371	379043.157116	10000000.000020	640000000.008000
60535.913843	60157.000000	43718653.974675	142219737.848823	379043.157008	9999999.999960	639999999.999000
60535.913855	61209.000000	43718653.958315	142219737.834991	379043.157572	9999999.999920	639999999.998000
60535.913867	62264.000000	43718653.962941	142219737.831759	379043.157244	10000000.000080	640000000.000000
60535.913879	63318.000000	43718653.979067996	142219737.847141	379043.156837	10000000.000020	640000000.003000
