08/13/2024	10:22:34	(analyzed:  8/14/2024)
MJD	timer	SDR:fb_Al_TiS	SDR:fb_Yb_TiS	SDR:frep_TiS	fo_TiS	fb_Si_TiS
60535.683298	82360.000000	43718652.582908	142219736.870351	379043.156945	10000000.000020	640000000.004000
60535.683311	83432.000000	43718652.538899995	142219736.82986	379043.157148	10000000.000010	640000000.003000
60535.683323	84488.000000	43718652.611787	142219736.884202	379043.157501	10000000.000140	640000000.000000
60535.683335	85542.000000	43718652.603145994	142219736.85835	379043.157384	9999999.999990	639999999.999000
60535.683347	86598.000000	43718652.572882995	142219736.858412	379043.157032	9999999.999960	640000000.002000
60535.683360	87654.000000	43718652.547226	142219736.82700202	379043.157105	9999999.999990	640000000.002000
60535.683372	88709.000000	43718652.58069	142219736.843045	379043.157412	9999999.999900	639999999.994000
60535.683384	89761.000000	43718652.575000994	142219736.859278	379043.157153	10000000.000080	640000000.001000
60535.683396	90817.000000	43718652.554189995	142219736.859489	379043.157041	9999999.999910	640000000.002000
60535.683408	91870.000000	43718652.548549995	142219736.841915	379043.157386	10000000.000060	640000000.002000
60535.683421	92927.000000	43718652.551459	142219736.86315802	379043.157078	9999999.999930	640000000.002000
60535.683433	93982.000000	43718652.550088994	142219736.861391	379043.157419	10000000.000040	640000000.000000
60535.683445	95036.000000	43718652.579399996	142219736.872954	379043.157567	9999999.999890	639999999.999000
60535.683457	96090.000000	43718652.489618994	142219736.82709	379043.157074	10000000.000080	639999999.998000
60535.683470	97144.000000	43718652.568427995	142219736.882674	379043.157229	9999999.999950	640000000.000000
60535.683482	98198.000000	43718652.545063	142219736.860008	379043.157291	9999999.999940	639999999.999000
60535.683494	99251.000000	43718652.537028	142219736.839038	379043.157113	10000000.000030	639999999.999000
60535.683506	100306.000000	43718652.536266	142219736.853177	379043.157226	10000000.000050	639999999.999000
60535.683518	101360.000000	43718652.526600994	142219736.82472202	379043.157231	10000000.000060	640000000.003000
60535.683531	102413.000000	43718652.567976	142219736.887586	379043.157027	10000000.000020	640000000.003000
60535.683543	103467.000000	nan	nan	NaN	NaN	NaN
60535.683555	104520.000000	43718652.546163	142219736.853662	379043.157139	9999999.999960	640000000.001000
60535.683567	105574.000000	43718652.566588	142219736.860867	379043.157196	10000000.000160	640000000.001000
60535.683579	106629.000000	43718652.577888995	142219736.876079	379043.156830	10000000.000080	640000000.005000
60535.683592	107683.000000	43718652.544666	142219736.849554	379043.157621	9999999.999980	639999999.993000
