# Readme Information 
# Data taken on 250321, analyzed on 26-Mar-2025 by script Saveshifts_forTara_v3_250321.m.
# Gravitational Redshift Corrected to Marker on floor of 1G104 labeled 811G104 
# Frequencies units of Hz. Maser ST008 references all synthesizers.
# v_yb_ideal=2*v_comb+f_shift 
# f_shift includes: Blackbody radation based on real time temperature measurement (avg shift = -1.2275), 2nd order zeeman based on real time B field measurement by atoms (avg shift = NaN), background gas collisions (avg shift = -0.0016), lattice AC stark shift (avg shift = -0.0007), probe AC stark shift (avg shift = 0.0000), graviational red shift (avg shift = 0.0803), and AOMs between atoms and combs (shift of 63000000)
# Run Duration 1.582954e+04 s, uptime fraction 9.379984e-01. 
t_mjd	   f_shift [Hz]  	IS_GOOD
   6.0755805482199998e+04	   6.3000001392216049e+07	   1.0000000000000000e+00	
   6.0755805492489999e+04	   6.3000001399041168e+07	   1.0000000000000000e+00	
   6.0755805502789997e+04	   6.3000001400223345e+07	   1.0000000000000000e+00	
   6.0755805513059997e+04	   6.3000001399400979e+07	   1.0000000000000000e+00	
   6.0755805523360003e+04	   6.3000001391445979e+07	   1.0000000000000000e+00	
   6.0755805533660001e+04	   6.3000001380453452e+07	   1.0000000000000000e+00	
   6.0755805543950002e+04	   6.3000001375733860e+07	   1.0000000000000000e+00	
   6.0755805554240003e+04	   6.3000001383247472e+07	   1.0000000000000000e+00	
   6.0755805564529997e+04	   6.3000001406267397e+07	   1.0000000000000000e+00	
   6.0755805574810001e+04	   6.3000001436317146e+07	   1.0000000000000000e+00	
   6.0755805585100003e+04	   6.3000001463047832e+07	   1.0000000000000000e+00	
   6.0755805595389997e+04	   6.3000001475328580e+07	   1.0000000000000000e+00	
   6.0755805605679998e+04	   6.3000001477373876e+07	   1.0000000000000000e+00	
   6.0755805615969999e+04	   6.3000001468692057e+07	   1.0000000000000000e+00	
   6.0755805626260000e+04	   6.3000001465096593e+07	   1.0000000000000000e+00	
   6.0755805636539997e+04	   6.3000001468290634e+07	   1.0000000000000000e+00	
   6.0755805646859997e+04	   6.3000001474488936e+07	   1.0000000000000000e+00	
   6.0755805657129997e+04	   6.3000001484828725e+07	   1.0000000000000000e+00	
   6.0755805667419998e+04	   6.3000001491857886e+07	   1.0000000000000000e+00	
   6.0755805677700002e+04	   6.3000001492178641e+07	   1.0000000000000000e+00	
   6.0755805687990003e+04	   6.3000001482938386e+07	   1.0000000000000000e+00	
   6.0755805698279997e+04	   6.3000001467232659e+07	   1.0000000000000000e+00	
   6.0755805708569998e+04	   6.3000001458893768e+07	   1.0000000000000000e+00	
   6.0755805718860000e+04	   6.3000001457181178e+07	   1.0000000000000000e+00	
   6.0755805729150001e+04	   6.3000001461197861e+07	   1.0000000000000000e+00	
   6.0755805739429998e+04	   6.3000001465595610e+07	   1.0000000000000000e+00	
   6.0755805749730003e+04	   6.3000001472041547e+07	   1.0000000000000000e+00	
   6.0755805760019997e+04	   6.3000001475644574e+07	   1.0000000000000000e+00	
   6.0755805770309998e+04	   6.3000001480236903e+07	   1.0000000000000000e+00	
   6.0755805780609997e+04	   6.3000001473897748e+07	   1.0000000000000000e+00	
   6.0755805790910003e+04	   6.3000001480034046e+07	   1.0000000000000000e+00	
   6.0755805801169998e+04	   6.3000001484263919e+07	   1.0000000000000000e+00	
   6.0755805811470003e+04	   6.3000001490852922e+07	   1.0000000000000000e+00	
   6.0755805821770002e+04	   6.3000001492448479e+07	   1.0000000000000000e+00	
   6.0755805832040001e+04	   6.3000001493526630e+07	   1.0000000000000000e+00	
   6.0755805842330003e+04	   6.3000001487739563e+07	   1.0000000000000000e+00	
   6.0755805852619997e+04	   6.3000001476550825e+07	   1.0000000000000000e+00	
   6.0755805862909998e+04	   6.3000001458369106e+07	   1.0000000000000000e+00	
   6.0755805873199999e+04	   6.3000001448042162e+07	   1.0000000000000000e+00	
   6.0755805883519999e+04	   6.3000001444401987e+07	   1.0000000000000000e+00	
   6.0755805893789999e+04	   6.3000001444761254e+07	   1.0000000000000000e+00	
   6.0755805904080000e+04	   6.3000001447532892e+07	   1.0000000000000000e+00	
   6.0755805914359997e+04	   6.3000001453070477e+07	   1.0000000000000000e+00	
   6.0755805924670000e+04	   6.3000001459980175e+07	   1.0000000000000000e+00	
   6.0755805934960001e+04	   6.3000001464718111e+07	   1.0000000000000000e+00	
   6.0755805945239998e+04	   6.3000001463113144e+07	   1.0000000000000000e+00	
   6.0755805955540003e+04	   6.3000001463027708e+07	   1.0000000000000000e+00	
   6.0755805965810003e+04	   6.3000001468330346e+07	   1.0000000000000000e+00	
   6.0755805976119998e+04	   6.3000001471955642e+07	   1.0000000000000000e+00	
   6.0755805986419997e+04	   6.3000001475218810e+07	   1.0000000000000000e+00	
   6.0755805996679999e+04	   6.3000001478601627e+07	   1.0000000000000000e+00	
   6.0755806006970000e+04	   6.3000001483938709e+07	   1.0000000000000000e+00	
   6.0755806017260002e+04	   6.3000001479008183e+07	   1.0000000000000000e+00	
   6.0755806027550003e+04	   6.3000001472804993e+07	   1.0000000000000000e+00	
   6.0755806037859998e+04	   6.3000001464001365e+07	   1.0000000000000000e+00	
   6.0755806048129998e+04	   6.3000001461916469e+07	   1.0000000000000000e+00	
   6.0755806058419999e+04	   6.3000001454651199e+07	   1.0000000000000000e+00	
   6.0755806068719998e+04	   6.3000001445498601e+07	   1.0000000000000000e+00	
   6.0755806079000002e+04	   6.3000001440510608e+07	   1.0000000000000000e+00	
   6.0755806089290003e+04	   6.3000001440975890e+07	   1.0000000000000000e+00	
   6.0755806099570000e+04	   6.3000001442270003e+07	   1.0000000000000000e+00	
   6.0755806109860001e+04	   6.3000001443556361e+07	   1.0000000000000000e+00	
   6.0755806120169997e+04	   6.3000001449809529e+07	   1.0000000000000000e+00	
   6.0755806130450001e+04	   6.3000001455489352e+07	   1.0000000000000000e+00	
   6.0755806140740002e+04	   6.3000001459088467e+07	   1.0000000000000000e+00	
   6.0755806151030003e+04	   6.3000001458098277e+07	   1.0000000000000000e+00	
   6.0755806161310000e+04	   6.3000001458203159e+07	   1.0000000000000000e+00	
   6.0755806171609998e+04	   6.3000001457240388e+07	   1.0000000000000000e+00	
   6.0755806181890002e+04	   6.3000001459130123e+07	   1.0000000000000000e+00	
   6.0755806192210002e+04	   6.3000001452382289e+07	   1.0000000000000000e+00	
   6.0755806202480002e+04	   6.3000001454505831e+07	   1.0000000000000000e+00	
   6.0755806212759999e+04	   6.3000001453119159e+07	   1.0000000000000000e+00	
   6.0755806223070002e+04	   6.3000001453376792e+07	   1.0000000000000000e+00	
   6.0755806233349998e+04	   6.3000001457136840e+07	   1.0000000000000000e+00	
   6.0755806243630002e+04	   6.3000001459950686e+07	   1.0000000000000000e+00	
   6.0755806253919996e+04	   6.3000001460664675e+07	   1.0000000000000000e+00	
   6.0755806264220002e+04	   6.3000001461087897e+07	   1.0000000000000000e+00	
   6.0755806274499999e+04	   6.3000001456374057e+07	   1.0000000000000000e+00	
   6.0755806284799997e+04	   6.3000001444545336e+07	   1.0000000000000000e+00	
   6.0755806295089998e+04	   6.3000001431645349e+07	   1.0000000000000000e+00	
   6.0755806305380000e+04	   6.3000001419705160e+07	   1.0000000000000000e+00	
   6.0755806315659996e+04	   6.3000001406974092e+07	   1.0000000000000000e+00	
   6.0755806325940001e+04	   6.3000001402112454e+07	   1.0000000000000000e+00	
