08/13/2024 15:54:55	Maser# 4	fsynth freq = 0
MJD	timer	SDR:fb_Al_TiS	SDR:fb_Yb_TiS	SDR:frep_TiS	SDR:frep_ErYb	Yb_cavity(0,1)	fo_TiS	fb_Si_TiS	fo_ErYb	fb_Si_ErYb	fb_Al_ErYb	fb_Yb_ErYb
60535.9131472628432	70	43718620.92785281	42219917.13493408	379043.15712144	113927.22929448	NaN	10000000.00013000	640000000.00000000	105000000.00120001	100000000.00180000	22737008.00138000	28855440.10052000
60535.9131594967256	1127	43718620.97647484	42219917.83813964	379043.15754401	113927.22898233	NaN	10000000.00005000	640000000.00300002	104999999.99930000	99999999.99770001	22737008.00069000	28855440.09976000
60535.9131716843694	2180	43718620.96799906	42219917.85087172	379043.15681848	113927.22973374	NaN	10000000.00002000	640000000.00199997	105000000.00090000	100000000.00110000	22737007.99947000	28855440.09987000
60535.9131838951070	3235	43718620.94814914	42219917.81510729	379043.15717633	113927.22945335	NaN	10000000.00008000	639999999.99600005	105000000.00139999	99999999.99930000	22737007.99877000	28855440.09989000
60535.9131961290258	4292	43718620.98536988	42219917.86838070	379043.15743173	113927.22909729	NaN	10000000.00003000	640000000.00000000	105000000.00080000	99999999.99910000	22737007.99863000	28855440.09980000
60535.9132083397780	5347	43718620.94147733	42219917.81864963	379043.15726244	113927.22930507	NaN	10000000.00000000	639999999.99899995	104999999.99969999	100000000.00080000	22737007.99885000	28855440.09986000
60535.9132205505156	6402	43718620.99004494	42219917.86010151	379043.15704877	113927.22944421	NaN	10000000.00004000	640000000.00500000	105000000.00010000	99999999.99920000	22737007.99921000	28855440.09992000
60535.9132327381521	7455	43718620.96799154	42219917.84035966	379043.15712091	113927.22944879	NaN	10000000.00005000	639999999.99899995	105000000.00049999	100000000.00060000	22737007.99999000	28855440.10035000
60535.9132449141906	8507	43718620.96116004	42219917.83761242	379043.15725110	113927.22928549	NaN	10000000.00009000	640000000.00199997	105000000.00060000	99999999.99959999	22737008.00081000	28855440.09997000
60535.9132571133668	9561	43718620.94434764	42219917.82624165	379043.15739059	113927.22919952	NaN	10000000.00001000	640000000.00399995	105000000.00120001	99999999.99990000	22737008.00115000	28855440.10025000
60535.9132693356804	10617	43718620.96554085	42219917.84497128	379043.15725465	113927.22928636	NaN	10000000.00006000	640000000.00199997	105000000.00000000	100000000.00070000	22737008.00130000	28855440.09980000
60535.9132815117554	11669	43718620.97731350	42219917.84598263	379043.15697168	113927.22952543	NaN	10000000.00016000	640000000.00000000	105000000.00020000	99999999.99869999	22737008.00135000	28855440.10044000
60535.9132937224712	12724	43718620.94559482	42219917.83126343	379043.15725594	113927.22924555	NaN	10000000.00007000	640000000.00199997	105000000.00139999	100000000.00080000	22737008.00045000	28855440.10071000
60535.9133059100640	13777	43718620.96357543	42219917.83904912	379043.15742150	113927.22915827	NaN	9999999.99991000	639999999.99699998	105000000.00130001	100000000.00070000	22737007.99896000	28855440.09979000
60535.9133181093129	14831	43718620.98476672	42219917.85598474	379043.15727140	113927.22939978	NaN	9999999.99998000	640000000.00399995	105000000.00080000	99999999.99879999	22737007.99849000	28855440.09988000
60535.9133303200505	15886	43718620.97050522	42219917.84556636	379043.15716091	113927.22932908	NaN	9999999.99997000	640000000.00300002	105000000.00040001	100000000.00000000	22737007.99872000	28855440.09986000
60535.9133425539475	16943	43718620.96528443	42219917.83667324	379043.15726053	113927.22929908	NaN	10000000.00006000	640000000.00399995	104999999.99959999	99999999.99900000	22737007.99887000	28855440.09930000
60535.9133547531091	17997	43718620.95666362	42219917.84009507	379043.15715701	113927.22932990	NaN	9999999.99992000	639999999.99699998	105000000.00010000	100000000.00030001	22737007.99944000	28855440.09951000
60535.9133669638540	19052	43718620.98383947	42219917.85355706	379043.15709697	113927.22951518	NaN	9999999.99983000	639999999.99600005	105000000.00110000	100000000.00110000	22737008.00055000	28855440.09997000
60535.9133791519343	20105	43718620.95067325	42219917.82286867	379043.15733366	113927.22923029	NaN	9999999.99994000	640000000.00100005	105000000.00100000	99999999.99950001	22737008.00119000	28855440.09984000
60535.9133913506593	21159	43718620.98355160	42219917.86384548	379043.15707530	113927.22940800	NaN	9999999.99994000	640000000.00600004	105000000.00060000	100000000.00060000	22737008.00130000	28855440.09932000
60535.9134035614478	22214	43718620.95186901	42219917.83190537	379043.15711806	113927.22940380	NaN	10000000.00001000	640000000.00500000	104999999.99959999	99999999.99940000	22737008.00139000	28855440.09989000
60535.9134157606167	23268	43718620.94742522	42219917.83688057	379043.15733738	113927.22930925	NaN	10000000.00009000	640000000.00000000	105000000.00139999	99999999.99990000	22737008.00126000	28855440.09985000
60535.9134279482022	24321	43718620.96839940	42219917.83804461	379043.15751202	113927.22911772	NaN	10000000.00007000	639999999.99899995	104999999.99890000	100000000.00049999	22737007.99997000	28855440.10015000
60535.9134401358532	25374	43718620.95809814	42219917.83750092	379043.15673641	113927.22968415	NaN	9999999.99993000	639999999.99899995	105000000.00120001	99999999.99830000	22737007.99891000	28855440.09983000
60535.9134523350221	26428	43718620.96467975	42219917.83178180	379043.15748666	113927.22909917	NaN	9999999.99992000	640000000.00300002	104999999.99959999	99999999.99940000	22737007.99883000	28855440.09976000
60535.9134645342128	27482	43718620.99535990	42219917.86670659	379043.15739697	113927.22919395	NaN	10000000.00000000	640000000.00000000	104999999.99969999	100000000.00010000	22737007.99859000	28855440.10018000
60535.9134767218201	28535	43718620.94749457	42219917.82201613	379043.15699887	113927.22959138	NaN	9999999.99995000	640000000.00300002	104999999.99990000	100000000.00040001	22737007.99900000	28855440.10004000
