01/24/2025	11:15:08	(analyzed:  1/24/2025)
MJD	timer	SDR:fb_Al_TiS	SDR:fb_Yb_TiS	SDR:frep_TiS	fo_TiS	fb_Si_TiS
60699.761741	105822.000000	NaN	nan	NaN	NaN	NaN
60699.761754	106880.000000	NaN	nan	NaN	NaN	NaN
60699.761766	107937.000000	NaN	nan	NaN	NaN	NaN
60699.761778	108992.000000	NaN	nan	NaN	NaN	NaN
60699.761790	110049.000000	NaN	nan	NaN	NaN	NaN
60699.761802	111107.000000	NaN	nan	NaN	NaN	NaN
60699.761815	112163.000000	NaN	nan	NaN	NaN	NaN
60699.761827	113220.000000	NaN	nan	NaN	NaN	NaN
60699.761839	114276.000000	NaN	nan	NaN	NaN	NaN
60699.761851	115334.000000	NaN	nan	NaN	NaN	NaN
60699.761864	116393.000000	NaN	nan	NaN	NaN	NaN
60699.761876	117451.000000	NaN	nan	NaN	NaN	NaN
60699.761888	118507.000000	NaN	nan	NaN	NaN	NaN
60699.761900	119565.000000	NaN	nan	NaN	NaN	NaN
60699.761913	120623.000000	NaN	nan	NaN	NaN	NaN
60699.761925	121679.000000	NaN	nan	NaN	NaN	NaN
60699.761937	122734.000000	NaN	nan	NaN	NaN	NaN
60699.761949	123791.000000	NaN	nan	NaN	NaN	NaN
60699.761961	124846.000000	NaN	nan	NaN	NaN	NaN
60699.761974	125904.000000	NaN	nan	NaN	NaN	NaN
60699.761986	126961.000000	NaN	nan	NaN	NaN	NaN
60699.761998	128019.000000	NaN	nan	NaN	NaN	NaN
60699.762010	129077.000000	NaN	nan	NaN	NaN	NaN
60699.762023	130133.000000	NaN	nan	NaN	NaN	NaN
60699.762035	131190.000000	NaN	nan	NaN	NaN	NaN
60699.762047	132246.000000	NaN	nan	NaN	NaN	NaN
60699.762059	133302.000000	NaN	nan	NaN	NaN	NaN
60699.762072	134358.000000	NaN	nan	NaN	NaN	NaN
60699.762084	135414.000000	NaN	nan	NaN	NaN	NaN
60699.762096	136471.000000	NaN	nan	NaN	NaN	NaN
60699.762108	137529.000000	NaN	nan	NaN	NaN	NaN
60699.762121	138585.000000	NaN	nan	NaN	NaN	NaN
60699.762133	139643.000000	NaN	nan	NaN	NaN	NaN
