"","x"
"1",0.426506809670588
"2",-2.41972817023716
"3",-2.1766941608714
"4",-0.405088067778293
"5",-5.3282292890816
"6",2.92173116854236
"7",-1.41917253225219
"8",0.989270989549272
"9",1.24587914425546
"10",-2.08771538423458
"11",2.80939946735968
"12",0.874873506394906
"13",0.76019499922041
"14",-1.37582716008854
"15",2.4632659187287
"16",-1.9289008153634
"17",-4.37639980763847
"18",-1.77649574663368
"19",-0.185120775913116
"20",-2.08745091027379
"21",-1.59360175646563
"22",2.56497023330899
"23",-2.84732485069715
"24",-1.83961909257592
"25",-5.13380412716364
"26",-0.0589951382873963
"27",-2.96097257384412
"28",3.67823029885861
"29",-0.956128485809006
"30",2.36578128856676
"31",-3.40764662138997
"32",2.13089771722283
"33",1.52333104102379
"34",-0.214374245459539
"35",2.83221500770579
"36",2.43334776037946
"37",-1.44316849236096
"38",-1.55195928985177
"39",-4.92496880028405
"40",-4.48114472779815
"41",0.345130669263027
"42",0.456924053386565
"43",1.85089140195259
"44",-0.869320051581857
"45",2.90353852321113
"46",-0.8026275595922
"47",2.44301162424026
"48",2.51340130073104
"49",0.996019926868398
"50",-2.75617491817932
"51",-0.273510957910016
"52",-1.13858203638659
"53",-1.16498227871229
"54",2.30307241629397
"55",3.72500545751551
"56",0.354283056645095
"57",3.34363010262657
"58",0.627596116004571
"59",-0.623232293786005
"60",-4.26979741442088
"61",-1.93957029262311
"62",0.300292636507711
"63",-2.70134340334305
"64",1.74349215929893
"65",2.11570557903134
"66",-0.629747396926859
"67",-0.324458035271748
"68",-1.05662614337838
"69",1.664094394969
"70",-0.20840902112885
"71",0.0258783898574937
"72",3.20819431648237
"73",-2.27585024605609
"74",0.567865804373744
"75",1.49026177954608
"76",-1.47743370895494
"77",3.98282094867522
"78",3.45058376580894
"79",-5.54663175360717
"80",1.88378972853513
"81",1.92158568761652
"82",-1.52474859923769
"83",-2.52009586509267
"84",-3.47133870762093
"85",2.27945950465779
"86",1.31684305826433
"87",3.66700801841372
"88",0.723352540197925
"89",0.341374407136977
"90",-0.939565744023752
"91",0.250264368639501
"92",0.12280598283831
"93",-0.265645507102416
"94",-4.39493480847015
"95",-0.71705132448124
"96",-0.522323243240479
"97",1.06809786259953
"98",-2.52522976300841
"99",2.76198326991682
"100",-4.33940662737615
"101",2.34521925114852
"102",1.29175473165048
"103",-1.02945399437643
"104",-1.22838702485463
"105",-0.820889319105936
"106",-2.34485709783214
"107",-0.669575902292595
"108",1.00750553853018
"109",-5.33803107276978
"110",-0.333143221731435
"111",-1.58931723841836
"112",-1.31195540434979
"113",0.266093795865733
"114",1.44648912765401
"115",-3.05990328527684
"116",-4.03483426660512
"117",4.26289387946017
"118",-4.12678044715998
"119",-1.00516492955168
"120",0.235822903895211
"121",-2.56822598636488
"122",3.93478726669086
"123",0.962930838422498
"124",-1.64127421157843
"125",2.39901173440863
"126",2.07881045994144
"127",-3.15354998769764
"128",1.97893565093544
"129",-2.87336142327588
"130",-0.273221792502049
"131",1.31940978935901
"132",-0.546064810293079
"133",2.67967982695143
"134",0.559554877246058
"135",1.66241046478299
"136",2.08583480279598
"137",-4.5301476690725
"138",-5.88131340793025
"139",-6.06196892555097
"140",-1.37021053868024
"141",-7.27247810942838
"142",3.82564216603901
"143",-5.09185911236363
"144",-0.610658447503925
"145",-2.53866411050504
"146",2.61511731159119
"147",0.399698647177745
"148",-2.50971624686911
"149",-3.10868983695868
"150",1.57987670918635
