#Frequency shifts file for ErYb measurement of Al+ frequency
#  Data recorded on 03-13-2025, analyzed on 03-14-2025.
#  All shifts are in Hz as referenced to the Al+ resonance near 267.4 nm.
#  To calculate the clock frequency use: f_atom = (M/N)*f_comb + f_shift.
#    - Here, M = 4, N = 1, f_comb is the frequency measured at the comb and f_shift is given in the data columns.
#    - Frequencies are not corrected for maser offsets.
#    - Data taken using maser ST008 to reference all synthesizers.
#  Static shifts are compiled in static_shifts_MgAl.m for reference.
#    - Excess micromotion time dilation: -1.347e-19+/-1.0705e-19
#    - Secular motion time dilation: -2.0481e-17+/-1.5165e-18
#    - AC Zeeman: -5.3523e-20+/-5.9767e-21
#    - Blackbody radiation: -3.0686e-18+/-1.6949e-19
#    - Clock light Stark: 0+/-8.0284e-20
#    - Background gas: -3.0686e-20+/-1.6949e-19
#    - AOM phase chirp: 0+/-8.9205e-20
#    - Gravitational redshift: 1.5022e-16+/-3.3006e-19
#    - Fiber noise glitches: 0+/-0
#    - 1st-order Doppler: 0+/-1.7841e-19
#  First 300 seconds and last 60 seconds of lock times removed. Gravitational redshift of the atoms with respect to geodetic marker 1H116 included.
#  Total lock duration: 18232.457 s
#  Servo parameters:
#    Contrast: Probe -1: 0.81 Probe +1:0.72
#    Servo Error: 5.24e-05+/-0.0061 Hz
#    Difference between probe beams: 0.00079+/-0.0081 Hz
#  Feedback and drift rate compensation applied to fiber-noise aom for ErYb    Nominal AOM frequency: 37 MHz
#  2nd-order Zeeman shifts calculated based on real-time B-field calibration.
#    Delta_ZS2 = -0.6849+/-0.00023 Hz
#  Cooling laser Stark shift based on interleaved saturation parameter calibration.    Delta_Stark_280 = -0.00417+/-0.00023 Hz
#  Total shift (static components + 2nd-order Zeeman shift)    df = -0.54732+/-0.0018 Hz
t_mjd	f_shift [Hz]	IS_GOOD
60747.2500000	204500000.004166	0
60747.2500116	204500000.004166	0
60747.2500231	204500000.004166	0
60747.2500347	204500000.004166	0
60747.2500463	204500000.004166	0
60747.2500579	204500000.004166	0
60747.2500694	204500000.004166	0
60747.2500810	204500000.004166	0
60747.2500926	204500000.004166	0
60747.2501042	204500000.004166	0
60747.2501157	204500000.004166	0
60747.2501273	204500000.004166	0
60747.2501389	204500000.004166	0
60747.2501505	204500000.004166	0
60747.2501620	204500000.004166	0
60747.2501736	204500000.004166	0
60747.2501852	204500000.004166	0
60747.2501968	204500000.004166	0
60747.2502083	204500000.004166	0
60747.2502199	204500000.004166	0
60747.2502315	204500000.004166	0
60747.2502431	204500000.004166	0
60747.2502546	204500000.004166	0
60747.2502662	204500000.004166	0
60747.2502778	204500000.004166	0
60747.2502894	204500000.004166	0
60747.2503009	204500000.004166	0
60747.2503125	204500000.004166	0
60747.2503241	204500000.004166	0
60747.2503356	204500000.004166	0
60747.2503472	204500000.004166	0
60747.2503588	204500000.004166	0
60747.2503704	204500000.004166	0
60747.2503819	204500000.004166	0
60747.2503935	204500000.004166	0
60747.2504051	204500000.004166	0
60747.2504167	204500000.004166	0
60747.2504282	204500000.004166	0
60747.2504398	204500000.004166	0
60747.2504514	204500000.004166	0
60747.2504630	204500000.004166	0
60747.2504745	204500000.004166	0
60747.2504861	204500000.004166	0
60747.2504977	204500000.004166	0
60747.2505093	204500000.004166	0
60747.2505208	204500000.004166	0
60747.2505324	204500000.004166	0
60747.2505440	204500000.004166	0
60747.2505556	204500000.004166	0
60747.2505671	204500000.004166	0
60747.2505787	204500000.004166	0
60747.2505903	204500000.004166	0
60747.2506019	204500000.004166	0
60747.2506134	204500000.004166	0
60747.2506250	204500000.004166	0
60747.2506366	204500000.004166	0
60747.2506481	204500000.004166	0
60747.2506597	204500000.004166	0
60747.2506713	204500000.004166	0
60747.2506829	204500000.004166	0
60747.2506944	204500000.004166	0
60747.2507060	204500000.004166	0
60747.2507176	204500000.004166	0
60747.2507292	204500000.004166	0
60747.2507407	204500000.004166	0
60747.2507523	204500000.004166	0
60747.2507639	204500000.004166	0
60747.2507755	204500000.004166	0
60747.2507870	204500000.004166	0
60747.2507986	204500000.004166	0
60747.2508102	204500000.004166	0
60747.2508218	204500000.004166	0
60747.2508333	204500000.004166	0
60747.2508449	204500000.004166	0
60747.2508565	204500000.004166	0
60747.2508681	204500000.004166	0
60747.2508796	204500000.004166	0
60747.2508912	204500000.004166	0
60747.2509028	204500000.004166	0
60747.2509144	204500000.004166	0
60747.2509259	204500000.004166	0
60747.2509375	204500000.004166	0
60747.2509491	204500000.004166	0
60747.2509606	204500000.004166	0
60747.2509722	204500000.004166	0
60747.2509838	204500000.004166	0
60747.2509954	204500000.004166	0
60747.2510069	204500000.004166	0
60747.2510185	204500000.004166	0
60747.2510301	204500000.004166	0
60747.2510417	204500000.004166	0
60747.2510532	204500000.004166	0
60747.2510648	204500000.004166	0
60747.2510764	204500000.004166	0
60747.2510880	204500000.004166	0
60747.2510995	204500000.004166	0
60747.2511111	204500000.004166	0
60747.2511227	204500000.004166	0
60747.2511343	204500000.004166	0
60747.2511458	204500000.004166	0
60747.2511574	204500000.004166	0
60747.2511690	204500000.004166	0
60747.2511806	204500000.004166	0
60747.2511921	204500000.004166	0
60747.2512037	204500000.004166	0
60747.2512153	204500000.004166	0
60747.2512269	204500000.004166	0
60747.2512384	204500000.004166	0
60747.2512500	204500000.004166	0
60747.2512616	204500000.004166	0
60747.2512731	204500000.004166	0
60747.2512847	204500000.004166	0
60747.2512963	204500000.004166	0
60747.2513079	204500000.004166	0
60747.2513194	204500000.004166	0
60747.2513310	204500000.004166	0
60747.2513426	204500000.004166	0
60747.2513542	204500000.004166	0
60747.2513657	204500000.004166	0
60747.2513773	204500000.004166	0
60747.2513889	204500000.004166	0
60747.2514005	204500000.004166	0
60747.2514120	204500000.004166	0
60747.2514236	204500000.004166	0
60747.2514352	204500000.004166	0
60747.2514468	204500000.004166	0
60747.2514583	204500000.004166	0
60747.2514699	204500000.004166	0
60747.2514815	204500000.004166	0
60747.2514931	204500000.004166	0
60747.2515046	204500000.004166	0
60747.2515162	204500000.004166	0
60747.2515278	204500000.004166	0
60747.2515394	204500000.004166	0
60747.2515509	204500000.004166	0
60747.2515625	204500000.004166	0
60747.2515741	204500000.004166	0
60747.2515856	204500000.004166	0
60747.2515972	204500000.004166	0
60747.2516088	204500000.004166	0
60747.2516204	204500000.004166	0
60747.2516319	204500000.004166	0
60747.2516435	204500000.004166	0
60747.2516551	204500000.004166	0
60747.2516667	204500000.004166	0
60747.2516782	204500000.004166	0
60747.2516898	204500000.004166	0
60747.2517014	204500000.004166	0
60747.2517130	204500000.004166	0
60747.2517245	204500000.004166	0
60747.2517361	204500000.004166	0
60747.2517477	204500000.004166	0
60747.2517593	204500000.004166	0
60747.2517708	204500000.004166	0
60747.2517824	204500000.004166	0
60747.2517940	204500000.004166	0
60747.2518056	204500000.004166	0
60747.2518171	204500000.004166	0
60747.2518287	204500000.004166	0
60747.2518403	204500000.004166	0
60747.2518519	204500000.004166	0
60747.2518634	204500000.004166	0
60747.2518750	204500000.004166	0
60747.2518866	204500000.004166	0
60747.2518981	204500000.004166	0
60747.2519097	204500000.004166	0
60747.2519213	204500000.004166	0
60747.2519329	204500000.004166	0
60747.2519444	204500000.004166	0
60747.2519560	204500000.004166	0
60747.2519676	204500000.004166	0
60747.2519792	204500000.004166	0
60747.2519907	204500000.004166	0
60747.2520023	204500000.004166	0
60747.2520139	204500000.004166	0
60747.2520255	204500000.004166	0
60747.2520370	204500000.004166	0
60747.2520486	204500000.004166	0
60747.2520602	204500000.004166	0
60747.2520718	204500000.004166	0
60747.2520833	204500000.004166	0
60747.2520949	204500000.004166	0
60747.2521065	204500000.004166	0
60747.2521181	204500000.004166	0
60747.2521296	204500000.004166	0
60747.2521412	204500000.004166	0
60747.2521528	204500000.004166	0
60747.2521644	204500000.004166	0
60747.2521759	204500000.004166	0
60747.2521875	204500000.004166	0
60747.2521991	204500000.004166	0
60747.2522106	204500000.004166	0
60747.2522222	204500000.004166	0
60747.2522338	204500000.004166	0
60747.2522454	204500000.004166	0
60747.2522569	204500000.004166	0
60747.2522685	204500000.004166	0
60747.2522801	204500000.004166	0
60747.2522917	204500000.004166	0
60747.2523032	204500000.004166	0
60747.2523148	204500000.004166	0
60747.2523264	204500000.004166	0
60747.2523380	204500000.004166	0
60747.2523495	204500000.004166	0
60747.2523611	204500000.004166	0
60747.2523727	204500000.004166	0
60747.2523843	204500000.004166	0
60747.2523958	204500000.004166	0
60747.2524074	204500000.004166	0
60747.2524190	204500000.004166	0
60747.2524306	204500000.004166	0
60747.2524421	204500000.004166	0
60747.2524537	204500000.004166	0
60747.2524653	204500000.004166	0
60747.2524769	204500000.004166	0
60747.2524884	204500000.004166	0
60747.2525000	204500000.004166	0
60747.2525116	204500000.004166	0
60747.2525231	204500000.004166	0
60747.2525347	204500000.004166	0
60747.2525463	204500000.004166	0
60747.2525579	204500000.004166	0
60747.2525694	204500000.004166	0
60747.2525810	204500000.004166	0
60747.2525926	204500000.004166	0
60747.2526042	204500000.004166	0
60747.2526157	204500000.004166	0
60747.2526273	204500000.004166	0
