# Readme Information 
# Data taken on 250313, analyzed on 17-Mar-2025 by script Saveshifts_forTara_v3_250313.m.
# Gravitational Redshift Corrected to Marker on floor of 1G104 labeled 811G104 
# Frequencies units of Hz. Maser ST008 references all synthesizers.
# v_yb_ideal=2*v_comb+f_shift 
# f_shift includes: Blackbody radation based on real time temperature measurement (avg shift = -1.2229), 2nd order zeeman based on real time B field measurement by atoms (avg shift = -0.0615), background gas collisions (avg shift = -0.0016), lattice AC stark shift (avg shift = -0.0007), probe AC stark shift (avg shift = 0.0000), graviational red shift (avg shift = 0.0803), and AOMs between atoms and combs (shift of 63000000)
# Run Duration 1.615861e+04 s, uptime fraction 8.461747e-01. 
t_mjd	   f_shift [Hz]  	IS_GOOD
   6.0747701252300001e+04	   6.3000001718417540e+07	   1.0000000000000000e+00	
   6.0747701262870003e+04	   6.3000001723038137e+07	   1.0000000000000000e+00	
   6.0747701273469997e+04	   6.3000001728586003e+07	   1.0000000000000000e+00	
   6.0747701284039998e+04	   6.3000001737680018e+07	   1.0000000000000000e+00	
   6.0747701294619997e+04	   6.3000001744884968e+07	   1.0000000000000000e+00	
   6.0747701305210001e+04	   6.3000001746881068e+07	   1.0000000000000000e+00	
   6.0747701315790000e+04	   6.3000001744992822e+07	   1.0000000000000000e+00	
   6.0747701326369999e+04	   6.3000001738123305e+07	   1.0000000000000000e+00	
   6.0747701336929997e+04	   6.3000001735081725e+07	   1.0000000000000000e+00	
   6.0747701347520000e+04	   6.3000001734538063e+07	   1.0000000000000000e+00	
   6.0747701358090002e+04	   6.3000001736965738e+07	   1.0000000000000000e+00	
   6.0747701368670001e+04	   6.3000001741356075e+07	   1.0000000000000000e+00	
   6.0747701379259997e+04	   6.3000001742348894e+07	   1.0000000000000000e+00	
   6.0747701389839996e+04	   6.3000001740501881e+07	   1.0000000000000000e+00	
   6.0747701400409998e+04	   6.3000001734278530e+07	   1.0000000000000000e+00	
   6.0747701410980000e+04	   6.3000001727267109e+07	   1.0000000000000000e+00	
   6.0747701421559999e+04	   6.3000001719528027e+07	   1.0000000000000000e+00	
   6.0747701432189999e+04	   6.3000001707888477e+07	   1.0000000000000000e+00	
   6.0747701442730002e+04	   6.3000001698486440e+07	   1.0000000000000000e+00	
   6.0747701453310001e+04	   6.3000001691171654e+07	   1.0000000000000000e+00	
   6.0747701463880003e+04	   6.3000001684942707e+07	   1.0000000000000000e+00	
   6.0747701474460002e+04	   6.3000001675394133e+07	   1.0000000000000000e+00	
   6.0747701485040001e+04	   6.3000001669880129e+07	   1.0000000000000000e+00	
   6.0747701495610003e+04	   6.3000001662965983e+07	   1.0000000000000000e+00	
   6.0747701506190002e+04	   6.3000001661574379e+07	   1.0000000000000000e+00	
   6.0747701516770001e+04	   6.3000001657961622e+07	   1.0000000000000000e+00	
   6.0747701527350000e+04	   6.3000001657593474e+07	   1.0000000000000000e+00	
   6.0747701537940004e+04	   6.3000001658401340e+07	   1.0000000000000000e+00	
   6.0747701548520003e+04	   6.3000001655342095e+07	   1.0000000000000000e+00	
   6.0747701559100002e+04	   6.3000001652670711e+07	   1.0000000000000000e+00	
   6.0747701569680001e+04	   6.3000001657344863e+07	   1.0000000000000000e+00	
   6.0747701580250003e+04	   6.3000001660750613e+07	   1.0000000000000000e+00	
   6.0747701590830002e+04	   6.3000001665242858e+07	   1.0000000000000000e+00	
   6.0747701601410001e+04	   6.3000001667763799e+07	   1.0000000000000000e+00	
   6.0747701611999997e+04	   6.3000001671732306e+07	   1.0000000000000000e+00	
   6.0747701622569999e+04	   6.3000001679602742e+07	   1.0000000000000000e+00	
   6.0747701633149998e+04	   6.3000001684819728e+07	   1.0000000000000000e+00	
   6.0747701643740002e+04	   6.3000001687801883e+07	   1.0000000000000000e+00	
   6.0747701654310004e+04	   6.3000001692001618e+07	   1.0000000000000000e+00	
   6.0747701664890003e+04	   6.3000001695397951e+07	   1.0000000000000000e+00	
   6.0747701675470002e+04	   6.3000001697920531e+07	   1.0000000000000000e+00	
   6.0747701686050001e+04	   6.3000001692576021e+07	   1.0000000000000000e+00	
