#Frequency shifts file for TiSapph measurement of Al+ frequency
#  Data recorded on 03-13-2025, analyzed on 03-14-2025.
#
#  All shifts are in Hz as referenced to the Al+ resonance near 267.4 nm.
#
#  To calculate the clock frequency use: f_atom = (M/N)*f_comb + f_shift.
#    - Here, M = 4, N = 1, f_comb is the frequency measured at the comb and f_shift is given in the data columns.
#    - Frequencies are not corrected for maser offsets.
#    - Data taken using maser ST008 to reference all synthesizers.
#
#  Static shifts are compiled in static_shifts_MgAl.m for reference.
#
#    - Excess micromotion time dilation: -1.347e-19+/-1.0705e-19
#    - Secular motion time dilation: -2.0481e-17+/-1.5165e-18
#    - AC Zeeman: -5.3523e-20+/-5.9767e-21
#    - Blackbody radiation: -3.0686e-18+/-1.6949e-19
#    - Clock light Stark: 0+/-8.0284e-20
#    - Background gas: -3.0686e-20+/-1.6949e-19
#    - AOM phase chirp: 0+/-8.9205e-20
#    - Gravitational redshift: 1.5022e-16+/-3.3006e-19
#    - Fiber noise glitches: 0+/-0
#    - 1st-order Doppler: 0+/-1.7841e-19
#  First 300 seconds and last 60 seconds of lock times removed.
#
#  Gravitational redshift of the atoms with respect to geodetic marker 1H116 included.
#
#  Total lock duration: 18232.457 s
#
#  Servo parameters:
#    Contrast: Probe -1: 0.81 Probe +1:0.72
#    Servo Error: 5.24e-05+/-0.0061 Hz
#    Difference between probe beams: 0.00079+/-0.0081 Hz
#
#  2nd-order Zeeman shifts calculated based on real-time B-field calibration.
#    Delta_ZS2 = -0.6849+/-0.00023 Hz
#
#  Cooling laser Stark shift based on interleaved saturation parameter calibration.
#    Delta_Stark_280 = -0.00417+/-0.00023 Hz
#
#  Total shift (static components + 2nd-order Zeeman shift)
#    df = -0.54732+/-0.0018 Hz
#
t_mjd	f_shift [Hz]	IS_GOOD
60747.2514005	252500000.004166	0
60747.2514120	252500000.004166	0
60747.2514236	252500000.004166	0
60747.2514352	252500000.004166	0
60747.2514468	252500000.004166	0
60747.2514583	252500000.004166	0
60747.2514699	252500000.004166	0
60747.2514815	252500000.004166	0
60747.2514931	252500000.004166	0
60747.2515046	252500000.004166	0
60747.2515162	252500000.004166	0
60747.2515278	252500000.004166	0
60747.2515394	252500000.004166	0
60747.2515509	252500000.004166	0
60747.2515625	252500000.004166	0
60747.2515741	252500000.004166	0
60747.2515856	252500000.004166	0
60747.2515972	252500000.004166	0
60747.2516088	252500000.004166	0
60747.2516204	252500000.004166	0
60747.2516319	252500000.004166	0
60747.2516435	252500000.004166	0
60747.2516551	252500000.004166	0
60747.2516667	252500000.004166	0
60747.2516782	252500000.004166	0
60747.2516898	252500000.004166	0
60747.2517014	252500000.004166	0
60747.2517130	252500000.004166	0
60747.2517245	252500000.004166	0
60747.2517361	252500000.004166	0
60747.2517477	252500000.004166	0
60747.2517593	252500000.004166	0
60747.2517708	252500000.004166	0
60747.2517824	252500000.004166	0
60747.2517940	252500000.004166	0
60747.2518056	252500000.004166	0
60747.2518171	252500000.004166	0
60747.2518287	252500000.004166	0
60747.2518403	252500000.004166	0
60747.2518519	252500000.004166	0
60747.2518634	252500000.004166	0
60747.2518750	252500000.004166	0
60747.2518866	252500000.004166	0
60747.2518981	252500000.004166	0
60747.2519097	252500000.004166	0
60747.2519213	252500000.004166	0
60747.2519329	252500000.004166	0
60747.2519444	252500000.004166	0
60747.2519560	252500000.004166	0
60747.2519676	252500000.004166	0
60747.2519792	252500000.004166	0
60747.2519907	252500000.004166	0
60747.2520023	252500000.004166	0
60747.2520139	252500000.004166	0
60747.2520255	252500000.004166	0
60747.2520370	252500000.004166	0
60747.2520486	252500000.004166	0
60747.2520602	252500000.004166	0
60747.2520718	252500000.004166	0
60747.2520833	252500000.004166	0
60747.2520949	252500000.004166	0
60747.2521065	252500000.004166	0
60747.2521181	252500000.004166	0
60747.2521296	252500000.004166	0
60747.2521412	252500000.004166	0
60747.2521528	252500000.004166	0
60747.2521644	252500000.004166	0
60747.2521759	252500000.004166	0
60747.2521875	252500000.004166	0
60747.2521991	252500000.004166	0
60747.2522106	252500000.004166	0
60747.2522222	252500000.004166	0
60747.2522338	252500000.004166	0
60747.2522454	252500000.004166	0
60747.2522569	252500000.004166	0
60747.2522685	252500000.004166	0
60747.2522801	252500000.004166	0
60747.2522917	252500000.004166	0
60747.2523032	252500000.004166	0
60747.2523148	252500000.004166	0
60747.2523264	252500000.004166	0
60747.2523380	252500000.004166	0
60747.2523495	252500000.004166	0
60747.2523611	252500000.004166	0
60747.2523727	252500000.004166	0
60747.2523843	252500000.004166	0
60747.2523958	252500000.004166	0
60747.2524074	252500000.004166	0
60747.2524190	252500000.004166	0
60747.2524306	252500000.004166	0
60747.2524421	252500000.004166	0
60747.2524537	252500000.004166	0
60747.2524653	252500000.004166	0
60747.2524769	252500000.004166	0
60747.2524884	252500000.004166	0
60747.2525000	252500000.004166	0
60747.2525116	252500000.004166	0
60747.2525231	252500000.004166	0
60747.2525347	252500000.004166	0
60747.2525463	252500000.004166	0
60747.2525579	252500000.004166	0
60747.2525694	252500000.004166	0
60747.2525810	252500000.004166	0
60747.2525926	252500000.004166	0
60747.2526042	252500000.004166	0
60747.2526157	252500000.004166	0
60747.2526273	252500000.004166	0
60747.2526389	252500000.004166	0
60747.2526505	252500000.004166	0
60747.2526620	252500000.004166	0
60747.2526736	252500000.004166	0
60747.2526852	252500000.004166	0
60747.2526968	252500000.004166	0
60747.2527083	252500000.004166	0
60747.2527199	252500000.004166	0
60747.2527315	252500000.004166	0
60747.2527431	252500000.004166	0
60747.2527546	252500000.004166	0
60747.2527662	252500000.004166	0
60747.2527778	252500000.004166	0
60747.2527894	252500000.004166	0
60747.2528009	252500000.004166	0
60747.2528125	252500000.004166	0
60747.2528241	252500000.004166	0
60747.2528356	252500000.004166	0
60747.2528472	252500000.004166	0
60747.2528588	252500000.004166	0
60747.2528704	252500000.004166	0
60747.2528819	252500000.004166	0
60747.2528935	252500000.004166	0
60747.2529051	252500000.004166	0
60747.2529167	252500000.004166	0
60747.2529282	252500000.004166	0
60747.2529398	252500000.004166	0
60747.2529514	252500000.004166	0
60747.2529630	252500000.004166	0
60747.2529745	252500000.004166	0
60747.2529861	252500000.004166	0
60747.2529977	252500000.004166	0
60747.2530093	252500000.004166	0
60747.2530208	252500000.004166	0
60747.2530324	252500000.004166	0
60747.2530440	252500000.004166	0
60747.2530556	252500000.004166	0
60747.2530671	252500000.004166	0
60747.2530787	252500000.004166	0
60747.2530903	252500000.004166	0
60747.2531019	252500000.004166	0
60747.2531134	252500000.004166	0
60747.2531250	252500000.004166	0
60747.2531366	252500000.004166	0
60747.2531481	252500000.004166	0
60747.2531597	252500000.004166	0
60747.2531713	252500000.004166	0
60747.2531829	252500000.004166	0
60747.2531944	252500000.004166	0
60747.2532060	252500000.004166	0
60747.2532176	252500000.004166	0
60747.2532292	252500000.004166	0
60747.2532407	252500000.004166	0
60747.2532523	252500000.004166	0
60747.2532639	252500000.004166	0
60747.2532755	252500000.004166	0
60747.2532870	252500000.004166	0
60747.2532986	252500000.004166	0
60747.2533102	252500000.004166	0
60747.2533218	252500000.004166	0
60747.2533333	252500000.004166	0
60747.2533449	252500000.004166	0
60747.2533565	252500000.004166	0
60747.2533681	252500000.004166	0
60747.2533796	252500000.004166	0
60747.2533912	252500000.004166	0
60747.2534028	252500000.004166	0
60747.2534144	252500000.004166	0
60747.2534259	252500000.004166	0
60747.2534375	252500000.004166	0
60747.2534491	252500000.004166	0
60747.2534606	252500000.004166	0
60747.2534722	252500000.004166	0
60747.2534838	252500000.004166	0
60747.2534954	252500000.004166	0
60747.2535069	252500000.004166	0
60747.2535185	252500000.004166	0
60747.2535301	252500000.004166	0
60747.2535417	252500000.004166	0
60747.2535532	252500000.004166	0
60747.2535648	252500000.004166	0
60747.2535764	252500000.004166	0
60747.2535880	252500000.004166	0
60747.2535995	252500000.004166	0
60747.2536111	252500000.004166	0
60747.2536227	252500000.004166	0
60747.2536343	252500000.004166	0
60747.2536458	252500000.004166	0
60747.2536574	252500000.004166	0
60747.2536690	252500000.004166	0
60747.2536806	252500000.004166	0
60747.2536921	252500000.004166	0
60747.2537037	252500000.004166	0
60747.2537153	252500000.004166	0
60747.2537269	252500000.004166	0
60747.2537384	252500000.004166	0
60747.2537500	252500000.004166	0
60747.2537616	252500000.004166	0
60747.2537731	252500000.004166	0
60747.2537847	252500000.004166	0
60747.2537963	252500000.004166	0
60747.2538079	252500000.004166	0
60747.2538194	252500000.004166	0
60747.2538310	252500000.004166	0
60747.2538426	252500000.004166	0
60747.2538542	252500000.004166	0
60747.2538657	252500000.004166	0
60747.2538773	252500000.004166	0
60747.2538889	252500000.004166	0
60747.2539005	252500000.004166	0
60747.2539120	252500000.004166	0
60747.2539236	252500000.004166	0
60747.2539352	252500000.004166	0
60747.2539468	252500000.004166	0
60747.2539583	252500000.004166	0
60747.2539699	252500000.004166	0
60747.2539815	252500000.004166	0
60747.2539931	252500000.004166	0
60747.2540046	252500000.004166	0
60747.2540162	252500000.004166	0
60747.2540278	252500000.004166	0
60747.2540394	252500000.004166	0
60747.2540509	252500000.004166	0
60747.2540625	252500000.004166	0
60747.2540741	252500000.004166	0
60747.2540856	252500000.004166	0
60747.2540972	252500000.004166	0
60747.2541088	252500000.004166	0
60747.2541204	252500000.004166	0
60747.2541319	252500000.004166	0
60747.2541435	252500000.004166	0
60747.2541551	252500000.004166	0
60747.2541667	252500000.004166	0
60747.2541782	252500000.004166	0
60747.2541898	252500000.004166	0
60747.2542014	252500000.004166	0
60747.2542130	252500000.004166	0
60747.2542245	252500000.004166	0
60747.2542361	252500000.004166	0
60747.2542477	252500000.004166	0
60747.2542593	252500000.004166	0
60747.2542708	252500000.004166	0
60747.2542824	252500000.004166	0
60747.2542940	252500000.004166	0
60747.2543056	252500000.004166	0
60747.2543171	252500000.004166	0
60747.2543287	252500000.004166	0
60747.2543403	252500000.004166	0
60747.2543519	252500000.004166	0
60747.2543634	252500000.004166	0
60747.2543750	252500000.004166	0
60747.2543866	252500000.004166	0
60747.2543981	252500000.004166	0
60747.2544097	252500000.004166	0
60747.2544213	252500000.004166	0
60747.2544329	252500000.004166	0
60747.2544444	252500000.004166	0
60747.2544560	252500000.004166	0
60747.2544676	252500000.004166	0
60747.2544792	252500000.004166	0
60747.2544907	252500000.004166	0
60747.2545023	252500000.004166	0
60747.2545139	252500000.004166	0
60747.2545255	252500000.004166	0
60747.2545370	252500000.004166	0
60747.2545486	252500000.004166	0
60747.2545602	252500000.004166	0
60747.2545718	252500000.004166	0
60747.2545833	252500000.004166	0
60747.2545949	252500000.004166	0
60747.2546065	252500000.004166	0
60747.2546181	252500000.004166	0
60747.2546296	252500000.004166	0
60747.2546412	252500000.004166	0
60747.2546528	252500000.004166	0
60747.2546644	252500000.004166	0
60747.2546759	252500000.004166	0
60747.2546875	252500000.004166	0
60747.2546991	252500000.004166	0
60747.2547106	252500000.004166	0
60747.2547222	252500000.004166	0
60747.2547338	252500000.004166	0
60747.2547454	252500000.004166	0
60747.2547569	252500000.004166	0
60747.2547685	252500000.004166	0
60747.2547801	252500000.004166	0
60747.2547917	252500000.004166	0
60747.2548032	252500000.004166	0
60747.2548148	252500000.004166	0
60747.2548264	252500000.004166	0
60747.2548380	252500000.004166	0
60747.2548495	252500000.004166	0
60747.2548611	252500000.004166	0
60747.2548727	252500000.004166	0
60747.2548843	252500000.004166	0
60747.2548958	252500000.004166	0
60747.2549074	252500000.004166	0
60747.2549190	252500000.004166	0
60747.2549306	252500000.004166	0
60747.2549421	252500000.004166	0
60747.2549537	252500000.004166	0
60747.2549653	252500000.004166	0
60747.2549769	252500000.004166	0
60747.2549884	252500000.004166	0
60747.2550000	252500000.004166	0
60747.2550116	252500000.004166	0
60747.2550231	252500000.004166	0
60747.2550347	252500000.004166	0
60747.2550463	252500000.004166	0
60747.2550579	252500000.004166	0
60747.2550694	252500000.004166	0
60747.2550810	252500000.004166	0
60747.2550926	252500000.004166	0
60747.2551042	252500000.004166	0
60747.2551157	252500000.004166	0
60747.2551273	252500000.004166	0
60747.2551389	252500000.004166	0
60747.2551505	252500000.004166	0
60747.2551620	252500000.004166	0
60747.2551736	252500000.004166	0
60747.2551852	252500000.004166	0
60747.2551968	252500000.004166	0
60747.2552083	252500000.004166	0
60747.2552199	252500000.004166	0
60747.2552315	252500000.004166	0
60747.2552431	252500000.004166	0
60747.2552546	252500000.004166	0
60747.2552662	252500000.004166	0
60747.2552778	252500000.004166	0
60747.2552894	252500000.004166	0
60747.2553009	252500000.004166	0
60747.2553125	252500000.004166	0
60747.2553241	252500000.004166	0
60747.2553356	252500000.004166	0
60747.2553472	252500000.004166	0
60747.2553588	252500000.004166	0
60747.2553704	252500000.004166	0
60747.2553819	252500000.004166	0
60747.2553935	252500000.004166	0
60747.2554051	252500000.004166	0
60747.2554167	252500000.004166	0
60747.2554282	252500000.004166	0
60747.2554398	252500000.004166	0
60747.2554514	252500000.004166	0
60747.2554630	252500000.004166	0
60747.2554745	252500000.004166	0
60747.2554861	252500000.004166	0
60747.2554977	252500000.004166	0
60747.2555093	252500000.004166	0
60747.2555208	252500000.004166	0
60747.2555324	252500000.004166	0
60747.2555440	252500000.004166	0
60747.2555556	252500000.004166	0
60747.2555671	252500000.004166	0
60747.2555787	252500000.004166	0
60747.2555903	252500000.004166	0
60747.2556019	252500000.004166	0
60747.2556134	252500000.004166	0
60747.2556250	252500000.004166	0
60747.2556366	252500000.004166	0
60747.2556481	252500000.004166	0
60747.2556597	252500000.004166	0
60747.2556713	252500000.004166	0
60747.2556829	252500000.004166	0
60747.2556944	252500000.004166	0
60747.2557060	252500000.004166	0
60747.2557176	252500000.004166	0
60747.2557292	252500000.004166	0
60747.2557407	252500000.004166	0
60747.2557523	252500000.004166	0
60747.2557639	252500000.004166	0
60747.2557755	252500000.004166	0
60747.2557870	252500000.004166	0
60747.2557986	252500000.004166	0
60747.2558102	252500000.004166	0
60747.2558218	252500000.004166	0
60747.2558333	252500000.004166	0
60747.2558449	252500000.004166	0
60747.2558565	252500000.004166	0
60747.2558681	252500000.004166	0
60747.2558796	252500000.004166	0
60747.2558912	252500000.004166	0
60747.2559028	252500000.004166	0
60747.2559144	252500000.004166	0
60747.2559259	252500000.004166	0
60747.2559375	252500000.004166	0
60747.2559491	252500000.004166	0
60747.2559606	252500000.004166	0
60747.2559722	252500000.004166	0
60747.2559838	252500000.004166	0
60747.2559954	252500000.004166	0
60747.2560069	252500000.004166	0
60747.2560185	252500000.004166	0
60747.2560301	252500000.004166	0
60747.2560417	252500000.004166	0
60747.2560532	252500000.004166	0
60747.2560648	252500000.004166	0
60747.2560764	252500000.004166	0
60747.2560880	252500000.004166	0
60747.2560995	252500000.004166	0
60747.2561111	252500000.004166	0
60747.2561227	252500000.004166	0
60747.2561343	252500000.004166	0
60747.2561458	252500000.004166	0
60747.2561574	252500000.004166	0
60747.2561690	252500000.004166	0
60747.2561806	252500000.004166	0
60747.2561921	252500000.004166	0
60747.2562037	252500000.004166	0
60747.2562153	252500000.004166	0
60747.2562269	252500000.004166	0
60747.2562384	252500000.004166	0
60747.2562500	252500000.004166	0
60747.2562616	252500000.004166	0
60747.2562731	252500000.004166	0
60747.2562847	252500000.004166	0
60747.2562963	252500000.004166	0
60747.2563079	252500000.004166	0
60747.2563194	252500000.004166	0
60747.2563310	252500000.004166	0
60747.2563426	252500000.004166	0
60747.2563542	252500000.004166	0
60747.2563657	252500000.004166	0
60747.2563773	252500000.004166	0
60747.2563889	252500000.004166	0
60747.2564005	252500000.004166	0
60747.2564120	252500000.004166	0
60747.2564236	252500000.004166	0
60747.2564352	252500000.004166	0
60747.2564468	252500000.004166	0
60747.2564583	252500000.004166	0
60747.2564699	252500000.004166	0
60747.2564815	252500000.004166	0
60747.2564931	252500000.004166	0
60747.2565046	252500000.004166	0
60747.2565162	252500000.004166	0
60747.2565278	252500000.004166	0
60747.2565394	252500000.004166	0
60747.2565509	252500000.004166	0
60747.2565625	252500000.004166	0
60747.2565741	252500000.004166	0
60747.2565856	252500000.004166	0
60747.2565972	252500000.004166	0
60747.2566088	252500000.004166	0
60747.2566204	252500000.004166	0
60747.2566319	252500000.004166	0
60747.2566435	252500000.004166	0
60747.2566551	252500000.004166	0
60747.2566667	252500000.004166	0
60747.2566782	252500000.004166	0
60747.2566898	252500000.004166	0
60747.2567014	252500000.004166	0
60747.2567130	252500000.004166	0
60747.2567245	252500000.004166	0
60747.2567361	252500000.004166	0
60747.2567477	252500000.004166	0
60747.2567593	252500000.004166	0
60747.2567708	252500000.004166	0
60747.2567824	252500000.004166	0
60747.2567940	252500000.004166	0
60747.2568056	252500000.004166	0
60747.2568171	252500000.004166	0
60747.2568287	252500000.004166	0
60747.2568403	252500000.004166	0
60747.2568519	252500000.004166	0
60747.2568634	252500000.004166	0
60747.2568750	252500000.004166	0
60747.2568866	252500000.004166	0
60747.2568981	252500000.004166	0
60747.2569097	252500000.004166	0
60747.2569213	252500000.004166	0
60747.2569329	252500000.004166	0
60747.2569444	252500000.004166	0
60747.2569560	252500000.004166	0
60747.2569676	252500000.004166	0
60747.2569792	252500000.004166	0
60747.2569907	252500000.004166	0
60747.2570023	252500000.004166	0
60747.2570139	252500000.004166	0
60747.2570255	252500000.004166	0
60747.2570370	252500000.004166	0
60747.2570486	252500000.004166	0
60747.2570602	252500000.004166	0
