03/13/2025	10:18:34	(analyzed:  3/14/2025, filtered by KK: 3/18/2025)
MJD	timer	SDR:frep_ErYb	fo_ErYb	fb_Si_ErYb	fb_Yb_ErYb	fb_Al_ErYb
60747.728448	4222937.000000	113927.227927	104999999.999900	100000000.000400	28854969.000070	22737007.999820
60747.728460	4223994.000000	113927.228196	105000000.001100	99999999.999100	28854968.999880	22737008.000130
60747.728473	4225050.000000	113927.228411	105000000.001400	100000000.000300	28854968.999750	22737007.999950
60747.728485	4226106.000000	113927.227897	104999999.999900	100000000.000500	28854969.000090	22737007.999940
60747.728497	4227163.000000	113927.228381	105000000.000100	99999999.999600	28854968.999770	22737008.000020
60747.728509	4228222.000000	113927.228309	104999999.999700	100000000.000000	28854969.000030	22737008.000190
60747.728522	4229278.000000	113927.227837	105000000.000400	99999999.998300	28854969.000160	22737008.000120
60747.728534	4230334.000000	113927.228020	105000000.001300	100000000.000000	28854968.999910	22737008.000060
60747.728546	4231393.000000	113927.228070	104999999.999900	100000000.000900	28854969.000000	22737007.999920
60747.728558	4232449.000000	113927.228356	105000000.002100	99999999.999400	28854968.999880	22737007.999980
60747.728571	4233504.000000	113927.228190	104999999.999300	100000000.001100	28854969.000000	22737008.000020
60747.728583	4234561.000000	113927.228165	105000000.001600	99999999.998300	28854969.000040	22737008.000070
60747.728595	4235616.000000	113927.228364	105000000.000000	99999999.999500	28854968.999870	22737007.999970
60747.728607	4236671.000000	113927.228747	105000000.000800	100000000.000500	28854968.999960	22737008.000190
60747.728619	4237727.000000	113927.227810	105000000.000300	99999999.999500	28854969.000210	22737007.999850
60747.728632	4238783.000000	113927.228448	105000000.000300	100000000.000500	28854968.999790	22737008.000020
60747.728644	4239841.000000	113927.228516	105000000.001200	99999999.998600	28854968.999760	22737008.000000
60747.728656	4240898.000000	113927.227522	104999999.999800	99999999.999900	28854968.999990	22737008.000210
60747.728668	4241954.000000	113927.228463	105000000.001300	100000000.001300	28854969.000060	22737008.000020
60747.728681	4243010.000000	113927.228215	104999999.999700	99999999.999300	28854968.999770	22737008.000020
60747.728693	4244067.000000	113927.228045	105000000.000200	100000000.000500	28854968.999950	22737008.000100
60747.728705	4245126.000000	113927.228490	105000000.000000	99999999.997800	28854969.000130	22737008.000000
60747.728717	4246181.000000	113927.228132	105000000.000300	100000000.000000	28854968.999790	22737008.000110
60747.728729	4247239.000000	113927.228200	105000000.001600	100000000.000300	28854968.999800	22737008.000050
60747.728742	4248296.000000	113927.228133	104999999.999400	99999999.999700	28854969.000210	22737008.000210
60747.728754	4249352.000000	113927.228273	105000000.000300	100000000.001300	28854968.999780	22737008.000020
60747.728766	4250407.000000	113927.228287	104999999.999400	99999999.998300	28854969.000090	22737008.000020
60747.728778	4251462.000000	113927.228034	105000000.000800	100000000.000100	28854968.999810	22737008.000090
60747.728791	4252520.000000	113927.228106	105000000.000400	100000000.000200	28854968.999670	22737008.000000
60747.728803	4253576.000000	113927.228295	104999999.999400	99999999.999500	28854968.999770	22737007.999980
60747.728815	4254632.000000	113927.228376	105000000.000000	100000000.000600	28854969.000040	22737008.000200
60747.728827	4255688.000000	113927.228080	105000000.002600	99999999.998200	28854969.000310	22737007.999960
60747.728840	4256747.000000	113927.228093	105000000.001300	99999999.999900	28854968.999710	22737008.000070
60747.728852	4257803.000000	113927.228428	104999999.999200	100000000.000600	28854969.000000	22737008.000000
60747.728864	4258858.000000	113927.228185	104999999.999800	99999999.999700	28854969.000050	22737008.000050
60747.728876	4259915.000000	113927.228066	105000000.001100	100000000.000700	28854968.999940	22737008.000070
60747.728888	4260971.000000	113927.228152	105000000.000400	99999999.997800	28854969.000180	22737008.000010
60747.728901	4262029.000000	113927.228140	105000000.001000	100000000.000000	28854968.999800	22737008.000150
60747.728913	4263085.000000	113927.228053	104999999.999400	100000000.000700	28854968.999910	22737008.000020
60747.728925	4264140.000000	113927.228187	104999999.999900	99999999.999900	28854969.000320	22737007.999910
60747.728937	4265196.000000	113927.228283	105000000.000800	100000000.000700	28854968.999960	22737008.000200
60747.728950	4266253.000000	113927.228179	104999999.999600	99999999.998200	28854968.999520	22737008.000100
60747.728962	4267309.000000	113927.228201	105000000.001200	100000000.000400	28854968.999930	22737008.000010
60747.728974	4268366.000000	113927.228285	104999999.999100	100000000.000700	28854969.000190	22737007.999920
60747.728986	4269422.000000	113927.228395	104999999.999900	100000000.000200	28854969.000200	22737008.000040
60747.728998	4270479.000000	113927.228164	105000000.000500	100000000.000100	28854969.000050	22737007.999900
60747.729011	4271536.000000	113927.228244	105000000.000000	99999999.998700	28854968.999830	22737008.000100
60747.729023	4272592.000000	113927.228487	104999999.999900	100000000.000200	28854968.999820	22737008.000050
60747.729035	4273649.000000	113927.228058	105000000.001200	100000000.000300	28854969.000130	22737007.999870
60747.729047	4274704.000000	113927.228152	104999999.999700	99999999.999800	28854968.999920	22737008.000160
60747.729060	4275762.000000	113927.228121	105000000.001000	100000000.000300	28854968.999810	22737008.000050
60747.729072	4276820.000000	113927.228045	105000000.001700	99999999.998600	28854969.000040	22737008.000130
60747.729084	4277876.000000	113927.228179	105000000.000400	100000000.000400	28854969.000050	22737007.999830
60747.729096	4278934.000000	113927.228144	105000000.001000	100000000.000100	28854968.999930	22737007.999810
60747.729109	4279991.000000	113927.228304	105000000.001200	99999999.999600	28854969.000010	22737008.000110
60747.729121	4281047.000000	113927.228002	105000000.000000	100000000.001400	28854968.999800	22737008.000100
60747.729133	4282103.000000	113927.228111	105000000.000500	99999999.998600	28854969.000000	22737008.000010
60747.729145	4283160.000000	113927.228321	104999999.999500	100000000.000900	28854969.000260	22737008.000000
60747.729157	4284214.000000	113927.228007	105000000.001100	99999999.999700	28854968.999810	22737008.000020
60747.729170	4285271.000000	113927.228053	105000000.001500	99999999.999800	28854969.000120	22737008.000140
60747.729182	4286327.000000	113927.228347	104999999.999500	100000000.000700	28854968.999800	22737007.999920
60747.729194	4287385.000000	113927.228384	104999999.999500	99999999.998500	28854968.999690	22737007.999930
60747.729206	4288442.000000	113927.228334	105000000.001300	100000000.000400	28854968.999880	22737007.999990
60747.729219	4289498.000000	113927.227913	105000000.000600	99999999.999500	28854969.000120	22737008.000140
60747.729231	4290554.000000	113927.228185	104999999.999600	100000000.000200	28854969.000090	22737008.000020
60747.729243	4291612.000000	113927.228406	105000000.001000	100000000.000400	28854968.999940	22737008.000100
60747.729255	4292668.000000	113927.228071	104999999.999500	99999999.999100	28854969.000230	22737008.000150
60747.729268	4293724.000000	113927.228418	105000000.000100	100000000.000500	28854968.999920	22737008.000000
60747.729280	4294782.000000	113927.228109	105000000.001000	99999999.999400	28854969.000320	22737007.999930
60747.729292	4295838.000000	113927.228283	104999999.999100	99999999.999700	28854969.000160	22737008.000160
60747.729304	4296895.000000	113927.227855	105000000.000300	100000000.000800	28854969.000300	22737007.999940
60747.729316	4297950.000000	113927.228508	105000000.002600	99999999.998700	28854968.999790	22737007.999930
60747.729329	4299007.000000	113927.227978	104999999.998800	100000000.000500	28854968.999880	22737007.999960
60747.729341	4300065.000000	113927.227920	104999999.999700	99999999.999100	28854968.999850	22737008.000030
60747.729353	4301122.000000	113927.228219	105000000.002000	100000000.000000	28854968.999920	22737007.999990
60747.729365	4302178.000000	113927.228820	104999999.999800	100000000.000300	28854968.999910	22737008.000080
60747.729378	4303236.000000	113927.227994	104999999.999800	99999999.999100	28854969.000140	22737007.999900
60747.729390	4304293.000000	113927.228205	105000000.000200	100000000.000500	28854969.000350	22737008.000180
60747.729402	4305350.000000	113927.228121	105000000.000300	99999999.998900	28854969.000020	22737008.000060
