MJD,shift,IS_GOOD
60507.71141871,NaN,False
60507.71143552,NaN,False
60507.71145232,NaN,False
60507.71146911,NaN,False
60507.71148592,NaN,False
60507.71150272,NaN,False
60507.71151953,NaN,False
60507.71153634,NaN,False
60507.71155314,NaN,False
60507.71156996,NaN,False
60507.71158675,NaN,False
60507.71160355,NaN,False
60507.71162036,NaN,False
60507.71163719,NaN,False
60507.71165395,NaN,False
60507.71167078,NaN,False
60507.71168758,NaN,False
60507.71170438,NaN,False
60507.71172118,NaN,False
60507.71173799,NaN,False
60507.7117548,NaN,False
60507.7117716,NaN,False
60507.71178841,NaN,False
60507.71180521,NaN,False
60507.71182202,NaN,False
60507.71183884,NaN,False
60507.71185562,NaN,False
60507.71187242,NaN,False
60507.71188923,NaN,False
60507.71190605,NaN,False
60507.71192284,NaN,False
60507.71193964,NaN,False
60507.71195644,NaN,False
60507.71197325,NaN,False
60507.71199008,NaN,False
60507.71200686,NaN,False
60507.71202367,NaN,False
60507.71204047,NaN,False
60507.71205727,NaN,False
60507.71210358,NaN,False
60507.71211423,NaN,False
60507.71212491,NaN,False
60507.71213558,NaN,False
60507.71214626,NaN,False
60507.71215694,NaN,False
60507.7121676,NaN,False
60507.71217827,NaN,False
60507.71218893,NaN,False
60507.7121996,NaN,False
60507.71221027,NaN,False
60507.71222094,NaN,False
60507.71223161,NaN,False
60507.71224228,NaN,False
60507.71225296,NaN,False
60507.71226363,NaN,False
60507.7122743,NaN,False
60507.71228497,NaN,False
60507.71229565,NaN,False
60507.7123063,NaN,False
60507.712317,NaN,False
60507.71232765,NaN,False
60507.71233833,NaN,False
60507.712349,NaN,False
60507.71235966,NaN,False
60507.71237032,NaN,False
60507.71238099,NaN,False
60507.71239167,NaN,False
60507.71240235,NaN,False
60507.71241302,NaN,False
60507.71242367,NaN,False
60507.71243434,NaN,False
60507.71244502,NaN,False
60507.71245568,NaN,False
60507.71246636,NaN,False
60507.71247703,NaN,False
60507.71248771,NaN,False
60507.71249838,NaN,False
60507.71250906,NaN,False
60507.71251971,NaN,False
60507.7125304,NaN,False
60507.71254105,NaN,False
60507.71255173,NaN,False
60507.7125624,NaN,False
60507.71257306,NaN,False
60507.71258373,NaN,False
60507.71259442,NaN,False
60507.71260508,NaN,False
60507.71261575,NaN,False
60507.71262644,NaN,False
60507.71263708,NaN,False
60507.71264777,NaN,False
60507.71265843,NaN,False
60507.71266909,NaN,False
60507.71267976,NaN,False
60507.71269044,NaN,False
60507.71270111,NaN,False
60507.71271178,NaN,False
60507.71272245,NaN,False
60507.71273313,NaN,False
60507.71274379,NaN,False
60507.71275446,NaN,False
