07/16/2024	11:01:52	(analyzed:  7/19/2024)
MJD	timer	SDR:fb_Al_ErYb	SDR:fb_Yb_ErYb	SDR:frep_ErYb	fo_ErYb	fb_Si_ErYb	fb_Yb_ErYb
60507.71035900	62426.00000000	22737007.99401100	28855436.79971500	113927.22946000	104999999.99980000	100000000.00010000	28855436.79975000
60507.71037100	63480.00000000	22737008.00514200	28855436.79985900	113927.22961900	105000000.00180000	100000000.00100000	28855436.79989000
60507.71038300	64536.00000000	22737007.99533500	28855436.79999400	113927.22971700	104999999.99950001	99999999.99910000	28855436.80026000
60507.71039600	65591.00000000	22737008.00216200	28855436.80024500	113927.22930000	104999999.99920000	100000000.00049999	28855436.79996000
60507.71040800	66646.00000000	22737007.99492500	28855436.79999900	113927.22945800	105000000.00049999	99999999.99980000	28855436.80000000
60507.71042000	67702.00000000	22737008.00425500	28855436.80001700	113927.22958200	105000000.00110000	99999999.99959999	28855436.79990000
60507.71043200	68757.00000000	22737007.99841700	28855436.79998300	113927.22975900	105000000.00130001	100000000.00100000	28855436.80012000
60507.71044500	69814.00000000	22737007.99958300	28855436.79989800	113927.22943800	105000000.00000000	99999999.99860001	28855436.79995000
60507.71045700	70871.00000000	22737008.00223400	28855436.79994500	113927.22932300	105000000.00010000	100000000.00020000	28855436.79971000
60507.71046900	71927.00000000	22737007.99648300	28855436.80002100	113927.22966100	105000000.00020000	100000000.00000000	28855436.80015000
60507.71048100	72983.00000000	22737008.00609100	28855436.80015200	113927.22972700	105000000.00160000	99999999.99969999	28855436.80011000
60507.71049300	74039.00000000	22737008.00045800	28855436.80061000	113927.22943600	105000000.00080000	100000000.00060000	28855436.80013000
60507.71050600	75095.00000000	22737007.99793100	28855436.80009700	113927.22937200	105000000.00070000	99999999.99840000	28855436.79987000
60507.71051800	76151.00000000	22737008.00113500	28855436.80004300	113927.22966100	104999999.99890000	100000000.00049999	28855436.80040000
60507.71053100	77291.00000000	22737008.00100500	28855436.80020400	113927.22945500	105000000.00120001	100000000.00040001	28855436.80013000
60507.71054400	78424.00000000	NaN	NaN	NaN	NaN	NaN	NaN
60507.71055600	79479.00000000	NaN	NaN	NaN	NaN	NaN	NaN
60507.71056900	80535.00000000	22737008.00014600	28855436.79987300	113927.22949700	104999999.99950001	99999999.99810000	28855436.79993000
60507.71058100	81610.00000000	22737008.00328900	28855436.79981600	113927.22935200	105000000.00010000	99999999.99980000	28855436.79983000
60507.71059300	82667.00000000	22737007.99854900	28855436.79982100	113927.22966100	105000000.00110000	100000000.00080000	28855436.79989000
60507.71060600	83725.00000000	22737007.99534800	28855436.79989400	113927.22983700	104999999.99959999	99999999.99959999	28855436.80005000
60507.71061800	84780.00000000	22737008.00385900	28855436.79988400	113927.22931400	105000000.00010000	100000000.00070000	28855436.79966000
60507.71063000	85834.00000000	22737007.99860300	28855436.79974300	113927.22970200	105000000.00170000	99999999.99830000	28855436.80038000
60507.71064200	86890.00000000	22737008.00240500	28855436.80082700	113927.22961000	105000000.00060000	100000000.00020000	28855436.80035000
60507.71065400	87946.00000000	22737007.99299600	28855436.79965700	113927.22942500	105000000.00090000	99999999.99969999	28855436.80032000
60507.71066700	89001.00000000	22737008.00619000	28855436.80025300	113927.22952400	105000000.00090000	99999999.99879999	28855436.80000000
60507.71067900	90058.00000000	22737008.00130200	28855436.79994700	113927.22958500	105000000.00010000	100000000.00100000	28855436.80000000
60507.71069100	91113.00000000	22737007.99313400	28855436.79981800	113927.22964100	105000000.00100000	99999999.99959999	28855436.80014000
60507.71070300	92168.00000000	22737008.00168300	28855436.80002000	113927.22969900	105000000.00110000	100000000.00070000	28855436.79992000
60507.71071600	93224.00000000	22737007.98914000	28855436.80003100	113927.22951700	104999999.99869999	100000000.00110000	28855436.80022000
60507.71072800	94281.00000000	22737008.00277300	28855436.80001500	113927.22963400	105000000.00170000	99999999.99920000	28855436.80012000
60507.71074000	95335.00000000	22737007.99986600	28855436.79998500	113927.22961800	105000000.00100000	100000000.00110000	28855436.79968000
60507.71075200	96390.00000000	22737008.01011100	28855436.79992100	113927.22939600	105000000.00030001	99999999.99879999	28855436.80004000
60507.71076400	97446.00000000	22737007.99464800	28855436.79992900	113927.22940700	104999999.99879999	100000000.00020000	28855436.79984000
60507.71077700	98501.00000000	22737007.99909500	28855436.80001500	113927.22953500	105000000.00170000	100000000.00049999	28855436.80008000
60507.71078900	99557.00000000	22737007.99928000	28855436.79998500	113927.22992700	104999999.99940000	99999999.99940000	28855436.79988000
60507.71080100	100611.00000000	22737007.99952200	28855436.79982300	113927.22966200	105000000.00170000	100000000.00040001	28855436.80000000
60507.71081300	101665.00000000	22737008.00059100	28855436.80004400	113927.22958500	105000000.00120001	99999999.99980000	28855436.80026000
60507.71082500	102721.00000000	22737007.99744700	28855436.80018300	113927.22920100	105000000.00070000	100000000.00000000	28855436.79995000
60507.71083800	103776.00000000	22737008.00279200	28855436.80023900	113927.22971300	105000000.00049999	100000000.00030001	28855436.79996000
60507.71085000	104832.00000000	22737007.99608600	28855436.79970100	113927.22969400	104999999.99920000	99999999.99850000	28855436.80002000
60507.71086200	105887.00000000	22737007.99864700	28855436.80052600	113927.22959900	105000000.00150000	100000000.00060000	28855436.80017000
60507.71087400	106942.00000000	22737008.00848500	28855436.79955500	113927.22953700	105000000.00080000	100000000.00010000	28855436.80013000
60507.71088700	107999.00000000	22737007.99487900	28855436.79979600	113927.22949500	105000000.00080000	100000000.00010000	28855436.79993000
60507.71089900	109055.00000000	22737008.00132800	28855436.80017500	113927.22951000	105000000.00030001	100000000.00120001	28855436.79963000
60507.71091100	110110.00000000	22737008.00141600	28855436.79990300	113927.22964100	105000000.00049999	99999999.99789999	28855436.79982000
60507.71092300	111166.00000000	22737008.00055300	28855436.79996100	113927.22917600	105000000.00080000	99999999.99980000	28855436.80004000
60507.71093500	112221.00000000	22737008.00061000	28855436.80030000	113927.22953700	105000000.00060000	100000000.00110000	28855436.80022000
60507.71094800	113275.00000000	22737008.00088800	28855436.80011900	113927.22978000	104999999.99930000	100000000.00010000	28855436.80027000
60507.71096000	114332.00000000	22737007.99757500	28855436.80019200	113927.22949100	105000000.00139999	100000000.00020000	28855436.80005000
60507.71097200	115389.00000000	22737007.99423600	28855436.79983400	113927.22917400	104999999.99969999	99999999.99820000	28855436.79971000
60507.71098400	116443.00000000	22737008.01081800	28855436.79991700	113927.22960500	105000000.00120001	100000000.00020000	28855436.80009000
60507.71099600	117498.00000000	22737007.99901300	28855436.80013900	113927.22972300	105000000.00110000	100000000.00090000	28855436.80032000
60507.71100900	118552.00000000	22737008.00380700	28855436.79998900	113927.22980600	104999999.99940000	99999999.99950001	28855436.79973000
60507.71102100	119608.00000000	22737007.99676800	28855436.79993200	113927.22937200	104999999.99950001	100000000.00110000	28855436.80010000
60507.71103300	120664.00000000	22737008.00077400	28855436.80006400	113927.22947900	105000000.00160000	99999999.99890000	28855436.80011000
60507.71104500	121719.00000000	22737007.99340900	28855436.79995100	113927.22934200	105000000.00130001	99999999.99980000	28855436.80020000
60507.71105800	122773.00000000	22737008.00433300	28855436.80056700	113927.22964500	105000000.00060000	100000000.00120001	28855436.79994000
60507.71107000	123831.00000000	22737007.99637800	28855436.79938200	113927.22978600	105000000.00049999	99999999.99900000	28855436.79973000
60507.71108200	124885.00000000	22737008.00352300	28855436.80009300	113927.22932900	105000000.00060000	100000000.00030001	28855436.79986000
60507.71109400	125941.00000000	22737008.00089200	28855436.79970800	113927.22948300	104999999.99930000	99999999.99980000	28855436.79976000
60507.71110600	126996.00000000	22737008.00257000	28855436.79977100	113927.22941000	104999999.99980000	99999999.99900000	28855436.80007000
60507.71111900	128051.00000000	22737007.99468000	28855436.80034300	113927.22942500	105000000.00160000	100000000.00139999	28855436.80049000
60507.71113100	129106.00000000	22737008.00196400	28855436.80037100	113927.22949300	105000000.00100000	99999999.99810000	28855436.79980000
60507.71114300	130161.00000000	22737007.99976700	28855436.79992000	113927.22935700	105000000.00100000	100000000.00049999	28855436.80004000
60507.71115500	131217.00000000	22737007.99206500	28855436.80000200	113927.22962400	105000000.00080000	100000000.00030001	28855436.79997000
60507.71116700	132273.00000000	22737008.00597000	28855436.80002000	113927.22954900	104999999.99910000	99999999.99980000	28855436.80022000
60507.71118000	133328.00000000	22737008.00514200	28855436.79994400	113927.22953600	105000000.00160000	100000000.00090000	28855436.79979000
60507.71119200	134384.00000000	22737007.99561400	28855436.80005000	113927.22944200	105000000.00080000	99999999.99860001	28855436.80047000
60507.71120400	135442.00000000	22737008.00164700	28855436.80012600	113927.22944800	105000000.00060000	100000000.00010000	28855436.79978000
60507.71121600	136499.00000000	22737007.99665800	28855436.79981100	113927.22969100	105000000.00049999	100000000.00049999	28855436.79983000
60507.71122900	137556.00000000	22737008.00009700	28855436.79997400	113927.22960900	104999999.99980000	99999999.99950001	28855436.79978000
60507.71124100	138613.00000000	22737007.99890400	28855436.79993400	113927.22938500	104999999.99950001	100000000.00040001	28855436.80011000
60507.71125300	139668.00000000	22737008.00199100	28855436.80027200	113927.22953200	105000000.00130001	99999999.99840000	28855436.80013000
60507.71126500	140724.00000000	22737008.00190500	28855436.80002500	113927.22958500	105000000.00070000	99999999.99959999	28855436.80016000
60507.71127800	141782.00000000	22737008.00058300	28855436.80066700	113927.22956400	105000000.00060000	100000000.00080000	28855436.79993000
60507.71129000	142837.00000000	22737007.99414400	28855436.79937600	113927.22956200	105000000.00010000	99999999.99969999	28855436.79972000
60507.71130200	143893.00000000	22737008.00662200	28855436.79981200	113927.22947500	104999999.99930000	100000000.00130001	28855436.80027000
60507.71131400	144948.00000000	22737008.00278300	28855436.80019200	113927.22944700	105000000.00000000	99999999.99820000	28855436.80009000
60507.71132600	146003.00000000	22737007.99754900	28855436.80012700	113927.22956700	105000000.00150000	99999999.99959999	28855436.79977000
60507.71133900	147059.00000000	22737007.99701600	28855436.79997400	113927.22955300	104999999.99900000	100000000.00080000	28855436.80023000
60507.71135100	148114.00000000	22737008.00689800	28855436.80016800	113927.22962800	105000000.00030001	99999999.99950001	28855436.79981000
60507.71136300	149172.00000000	22737007.99716100	28855436.79998900	113927.22974300	105000000.00010000	100000000.00070000	28855436.79991000
60507.71137500	150227.00000000	22737008.00292000	28855436.80005500	113927.22947000	105000000.00010000	99999999.99930000	28855436.80005000
60507.71138700	151283.00000000	22737007.99770500	28855436.79990800	113927.22939400	105000000.00040001	100000000.00030001	28855436.79973000
60507.71140000	152339.00000000	22737008.00179400	28855436.79984900	113927.22959100	105000000.00030001	100000000.00040001	28855436.80018000
60507.71141200	153395.00000000	22737007.99544700	28855436.80026100	113927.22962300	105000000.00170000	99999999.99969999	28855436.79997000
60507.71142400	154451.00000000	22737008.00009200	28855436.80005200	113927.22949900	105000000.00070000	100000000.00049999	28855436.79998000
60507.71143600	155507.00000000	22737007.99769600	28855436.79978300	113927.22924500	105000000.00100000	99999999.99930000	28855436.79992000
60507.71144900	156562.00000000	22737008.00573500	28855436.80005600	113927.22967900	104999999.99959999	100000000.00010000	28855436.79982000
60507.71146100	157617.00000000	22737007.99641900	28855436.80020300	113927.22991700	104999999.99940000	100000000.00000000	28855436.80016000
60507.71147300	158672.00000000	22737007.99900600	28855436.80035400	113927.22919100	105000000.00020000	99999999.99810000	28855436.79991000
60507.71148500	159727.00000000	22737008.00076400	28855436.79957500	113927.22965700	105000000.00080000	100000000.00060000	28855436.79966000
60507.71149700	160782.00000000	22737008.00016200	28855436.80019000	113927.22954600	104999999.99990000	100000000.00060000	28855436.80019000
60507.71151000	161839.00000000	22737008.00490700	28855436.79973900	113927.22957200	105000000.00030001	99999999.99990000	28855436.79999000
60507.71152200	162893.00000000	22737007.99620400	28855436.79998600	113927.22958500	105000000.00000000	100000000.00080000	28855436.80016000
60507.71153400	163949.00000000	22737007.99760000	28855436.80018600	113927.22945900	105000000.00030001	99999999.99810000	28855436.79992000
60507.71154600	165004.00000000	22737007.99996300	28855436.79995700	113927.22965500	105000000.00130001	100000000.00000000	28855436.79998000
60507.71155900	166060.00000000	22737007.99826300	28855436.79995700	113927.22946500	105000000.00110000	100000000.00130001	28855436.79997000
60507.71157100	167118.00000000	22737008.00528200	28855436.79995300	113927.22945900	104999999.99930000	99999999.99940000	28855436.80036000
60507.71158300	168173.00000000	22737008.00367200	28855436.80003800	113927.22951700	105000000.00120001	100000000.00060000	28855436.79988000
60507.71159500	169229.00000000	22737007.99528000	28855436.80010300	113927.22938100	104999999.99940000	99999999.99890000	28855436.80008000
60507.71160700	170284.00000000	22737008.00520600	28855436.79984100	113927.22956200	105000000.00000000	100000000.00000000	28855436.79976000
60507.71162000	171342.00000000	22737007.99624000	28855436.79998300	113927.22947500	104999999.99990000	100000000.00090000	28855436.79991000
60507.71163200	172396.00000000	22737008.00541400	28855436.79997600	113927.22968800	105000000.00020000	99999999.99930000	28855436.80028000
60507.71164400	173451.00000000	22737007.99718000	28855436.80007700	113927.22973900	105000000.00060000	100000000.00110000	28855436.80027000
60507.71165600	174505.00000000	22737008.00006200	28855436.80015400	113927.22944600	105000000.00180000	99999999.99890000	28855436.80020000
60507.71166800	175561.00000000	22737007.99634100	28855436.80010000	113927.22931300	105000000.00000000	100000000.00010000	28855436.79997000
60507.71168100	176617.00000000	22737007.99963100	28855436.79996600	113927.22941600	105000000.00160000	100000000.00030001	28855436.79990000
60507.71169300	177672.00000000	22737008.00484500	28855436.80046300	113927.22946800	104999999.99969999	99999999.99869999	28855436.80012000
60507.71170500	178727.00000000	22737008.00114500	28855436.79945000	113927.22930500	105000000.00139999	100000000.00110000	28855436.79992000
60507.71171700	179783.00000000	22737007.99996700	28855436.80006400	113927.22940200	105000000.00070000	100000000.00000000	28855436.79976000
60507.71173000	180839.00000000	22737007.99910600	28855436.79985500	113927.22966200	105000000.00070000	99999999.99969999	28855436.79999000
60507.71174200	181895.00000000	22737007.99645600	28855436.79996800	113927.22989100	105000000.00080000	100000000.00080000	28855436.79991000
60507.71175400	182950.00000000	22737007.99695400	28855436.79997800	113927.22954700	105000000.00070000	99999999.99750000	28855436.80012000
60507.71176600	184004.00000000	22737008.00583400	28855436.80015100	113927.22916100	104999999.99959999	100000000.00040001	28855436.79984000
60507.71177800	185060.00000000	22737007.99711000	28855436.79988500	113927.22932900	104999999.99969999	100000000.00060000	28855436.80014000
60507.71179100	186115.00000000	22737008.00365900	28855436.79995800	113927.22965800	104999999.99959999	100000000.00030001	28855436.79975000
60507.71180300	187172.00000000	22737007.99377700	28855436.80025700	113927.22927100	105000000.00180000	100000000.00090000	28855436.80041000
60507.71181500	188226.00000000	22737008.00760900	28855436.79991900	113927.22985400	104999999.99940000	99999999.99840000	28855436.79980000
60507.71182700	189281.00000000	22737007.99191000	28855436.79994500	113927.22936800	105000000.00130001	100000000.00020000	28855436.79994000
60507.71184000	190337.00000000	22737008.00408000	28855436.80021400	113927.22968700	105000000.00070000	100000000.00030001	28855436.80018000
60507.71185200	191392.00000000	22737007.99381600	28855436.80002700	113927.22931300	104999999.99930000	99999999.99920000	28855436.79984000
60507.71186400	192448.00000000	22737008.00240700	28855436.79995300	113927.22982300	105000000.00100000	100000000.00030001	28855436.79997000
60507.71187600	193502.00000000	22737008.00042200	28855436.80016400	113927.22947000	105000000.00080000	99999999.99930000	28855436.79994000
60507.71188800	194557.00000000	22737008.00230700	28855436.80012800	113927.22909600	104999999.99969999	100000000.00010000	28855436.80019000
60507.71190100	195613.00000000	22737008.00195000	28855436.79982400	113927.22981500	105000000.00120001	100000000.00110000	28855436.79996000
60507.71191300	196670.00000000	22737007.99737200	28855436.80055900	113927.22944600	105000000.00060000	99999999.99890000	28855436.79997000
60507.71192500	197727.00000000	22737007.99562300	28855436.79950200	113927.22951300	104999999.99930000	100000000.00010000	28855436.80007000
60507.71193700	198783.00000000	22737008.01026500	28855436.79989700	113927.22939300	105000000.00100000	99999999.99920000	28855436.80011000
60507.71195000	199846.00000000	22737007.99347500	28855436.79997000	113927.22927400	105000000.00110000	99999999.99940000	28855436.80009000
60507.71196200	200901.00000000	22737007.99984500	28855436.80008800	113927.22964900	105000000.00080000	100000000.00090000	28855436.80015000
60507.71197400	201954.00000000	22737007.99834700	28855436.80000600	113927.22984800	104999999.99930000	99999999.99900000	28855436.80045000
60507.71198600	203010.00000000	22737008.00701400	28855436.80017200	113927.22929900	105000000.00010000	100000000.00100000	28855436.80010000
60507.71199800	204066.00000000	22737007.98989800	28855436.80010400	113927.22935200	105000000.00020000	99999999.99890000	28855436.79988000
60507.71201100	205122.00000000	22737008.00475500	28855436.79999400	113927.22957300	105000000.00170000	100000000.00030001	28855436.79964000
60507.71202300	206180.00000000	22737008.00618500	28855436.79991600	113927.22959700	105000000.00080000	100000000.00090000	28855436.79991000
60507.71203500	207235.00000000	22737007.99379700	28855436.79998600	113927.22958300	105000000.00070000	99999999.99879999	28855436.79992000
60507.71204700	208292.00000000	22737008.00236700	28855436.80001800	113927.22928700	105000000.00060000	100000000.00060000	28855436.80040000
60507.71206000	209363.00000000	22737008.00423500	28855436.80005200	113927.22938400	104999999.99980000	100000000.00040001	28855436.80005000
60507.71207200	210418.00000000	22737008.00002700	28855436.79998100	113927.22993200	104999999.99959999	99999999.99969999	28855436.79981000
60507.71208400	211473.00000000	22737007.99212400	28855436.80002700	113927.22941100	105000000.00170000	100000000.00090000	28855436.80008000
60507.71209600	212530.00000000	22737008.00836900	28855436.80005700	113927.22942400	105000000.00049999	99999999.99840000	28855436.80007000
60507.71210900	213586.00000000	22737007.99689800	28855436.80032500	113927.22947100	105000000.00000000	99999999.99969999	28855436.80017000
60507.71212100	214641.00000000	22737007.99793300	28855436.79957200	113927.22956500	105000000.00120001	100000000.00030001	28855436.79993000
60507.71213300	215698.00000000	22737008.00277800	28855436.80030300	113927.22988900	104999999.99940000	100000000.00010000	28855436.79966000
60507.71214500	216753.00000000	22737007.99941900	28855436.79963400	113927.22931700	105000000.00130001	100000000.00080000	28855436.80003000
60507.71215700	217809.00000000	22737007.99830500	28855436.79986100	113927.22978400	104999999.99950001	99999999.99830000	28855436.80021000
60507.71217000	218865.00000000	22737008.00138200	28855436.80021700	113927.22944800	105000000.00220001	99999999.99990000	28855436.79993000
60507.71218200	219928.00000000	22737007.99865700	28855436.80005500	113927.22940300	104999999.99940000	100000000.00060000	28855436.79990000
60507.71219400	220984.00000000	22737008.00247900	28855436.79987400	113927.22925400	105000000.00150000	99999999.99890000	28855436.79986000
60507.71220600	222040.00000000	22737007.99627600	28855436.79999000	113927.22998900	105000000.00049999	100000000.00049999	28855436.79998000
60507.71221900	223096.00000000	22737008.00699400	28855436.79998700	113927.22931300	104999999.99959999	99999999.99930000	28855436.80008000
60507.71223100	224154.00000000	22737007.99305600	28855436.80010400	113927.22983200	104999999.99990000	99999999.99969999	28855436.80014000
60507.71224300	225209.00000000	22737008.00457000	28855436.80002200	113927.22935600	105000000.00030001	100000000.00080000	28855436.79997000
60507.71225500	226265.00000000	22737008.00032800	28855436.79998800	113927.22938200	104999999.99990000	99999999.99940000	28855436.79997000
60507.71226800	227320.00000000	22737008.00282300	28855436.79988900	113927.22960700	105000000.00090000	100000000.00070000	28855436.80008000
60507.71228000	228377.00000000	22737008.00300100	28855436.80000300	113927.22976700	105000000.00170000	99999999.99959999	28855436.79999000
60507.71229200	229430.00000000	22737007.99435200	28855436.80011000	113927.22963000	104999999.99969999	100000000.00030001	28855436.79998000
60507.71230400	230486.00000000	22737008.00313400	28855436.80007400	113927.22927300	105000000.00070000	100000000.00060000	28855436.80006000
60507.71231600	231545.00000000	22737007.99962700	28855436.79986500	113927.22935600	105000000.00070000	99999999.99820000	28855436.80002000
60507.71232900	232598.00000000	22737007.99914800	28855436.80047000	113927.22948300	105000000.00090000	100000000.00040001	28855436.80004000
60507.71234100	233655.00000000	22737008.00047500	28855436.79958000	113927.22966600	105000000.00010000	100000000.00049999	28855436.80026000
60507.71235300	234710.00000000	22737008.00022900	28855436.79996000	113927.22963900	105000000.00110000	100000000.00000000	28855436.80000000
60507.71236500	235767.00000000	22737007.99442500	28855436.80015400	113927.22956000	104999999.99950001	100000000.00110000	28855436.80014000
60507.71237800	236825.00000000	22737008.00682200	28855436.80001700	113927.22941800	104999999.99950001	99999999.99820000	28855436.80026000
