fo_ErYb,SDR:fb_Yb_ErYb,SDR:frep_ErYb,fb_Si_ErYb,MJD,nuSi,nuSr,nuYb
105000000.00030001,28855436.79967600,113927.22971600,100000000.00100000,60507.77024,194397939719203.27721600,429228169936190.4492971892327,518295773594872.73134000
105000000.00150000,28855436.79974800,113927.22976700,99999999.99879999,60507.770256,194397939719213.19039200,429228169936212.3374876028277,518295773594899.16128300
104999999.99980000,28855436.80011800,113927.22928100,100000000.00060000,60507.770268,194397939719118.72365600,429228169936003.7559083673925,518295773594647.29736100
104999999.99990000,28855436.79989100,113927.22947600,99999999.99950001,60507.770281,194397939719156.62697600,429228169936087.4460481840795,518295773594748.35403000
105000000.00049999,28855436.80018700,113927.22960800,99999999.99950001,60507.770293,194397939719182.28460800,429228169936144.0978351369137,518295773594816.76072200
105000000.00040001,28855436.80005200,113927.22957200,100000000.00080000,60507.770305,194397939719175.28707200,429228169936128.6473477861408,518295773594798.10446000
104999999.99959999,28855436.80004500,113927.22964600,99999999.99920000,60507.770317,194397939719189.67089600,429228169936160.4066828960630,518295773594836.45401200
105000000.00060000,28855436.80013800,113927.22939000,100000000.00060000,60507.77033,194397939719139.91064000,429228169936050.5365506238996,518295773594703.78515400
105000000.00060000,28855436.80002500,113927.22949200,100000000.00010000,60507.770342,194397939719159.73699200,429228169936094.3129314510897,518295773594756.64555400
105000000.00160000,28855436.79991800,113927.22955400,99999999.99990000,60507.770354,194397939719171.78830400,429228169936120.9221041107543,518295773594788.77646200
104999999.99930000,28855436.79987400,113927.22987200,99999999.99980000,60507.770366,194397939719233.59987200,429228169936257.4014090425822,518295773594953.57591600
105000000.00150000,28855436.79993500,113927.22913800,99999999.99740000,60507.770379,194397939719090.92788800,429228169935942.3831391684887,518295773594573.18983600
105000000.00090000,28855436.79994800,113927.22972700,100000000.00049999,60507.770391,194397939719205.41535200,429228169936195.1702794353022,518295773594878.43140300
105000000.00049999,28855436.79986000,113927.22951100,100000000.00110000,60507.770403,194397939719163.43013600,429228169936102.4673553306643,518295773594766.49238700
104999999.99950001,28855436.80021800,113927.22961900,100000000.00030001,60507.770415,194397939719184.42274400,429228169936148.8188173829833,518295773594822.46126700
104999999.99990000,28855436.80049700,113927.22946800,100000000.00120001,60507.770427,194397939719155.07196800,429228169936084.0126065505744,518295773594744.20692200
104999999.99990000,28855436.79949100,113927.22954600,99999999.99879999,60507.77044,194397939719170.23329600,429228169936117.4886624772492,518295773594784.63142000
105000000.00120001,28855436.80010200,113927.22950900,100000000.00020000,60507.770452,194397939719163.04138400,429228169936101.6089949222880,518295773594765.45542900
104999999.99959999,28855436.79996400,113927.22920300,100000000.00090000,60507.770464,194397939719103.56232800,429228169935970.2798524407177,518295773594606.87518300
105000000.00160000,28855436.79987400,113927.22944700,99999999.99930000,60507.770476,194397939719150.99007200,429228169936074.9998222626235,518295773594733.32519100
105000000.00080000,28855436.80020100,113927.22985100,100000000.00049999,60507.770489,194397939719229.51797600,429228169936248.3886247546313,518295773594942.69228500
104999999.99990000,28855436.79983100,113927.22935800,99999999.99869999,60507.770501,194397939719133.69060800,429228169936036.8027840898792,518295773594687.20218400
105000000.00150000,28855436.80004400,113927.22965200,100000000.00010000,60507.770513,194397939719190.83715200,429228169936162.9817641211918,518295773594839.56343600
104999999.99890000,28855436.79989400,113927.22971700,100000000.00060000,60507.770525,194397939719203.47159200,429228169936190.8784773934208,518295773594873.24914100
104999999.99990000,28855436.79999000,113927.22944500,99999999.99840000,60507.770537,194397939719150.60132000,429228169936074.1414618542472,518295773594732.28848500
105000000.00049999,28855436.79990400,113927.22932400,100000000.00020000,60507.77055,194397939719127.08182400,429228169936022.2106571474825,518295773594669.58198000
105000000.00139999,28855436.79984600,113927.22966500,99999999.99959999,60507.770562,194397939719193.36404000,429228169936168.5611067756376,518295773594846.30091300
105000000.00010000,28855436.79995600,113927.22945400,100000000.00030001,60507.770574,194397939719152.35070400,429228169936078.0040836919404,518295773594736.95268600
105000000.00020000,28855436.79990500,113927.22944900,100000000.00070000,60507.770586,194397939719151.37882400,429228169936075.8581826709997,518295773594734.36160300
105000000.00160000,28855436.80002700,113927.22986000,99999999.99820000,60507.770599,194397939719231.26736000,429228169936252.2512465923246,518295773594947.35676600
105000000.00100000,28855436.80009100,113927.22944800,100000000.00090000,60507.770611,194397939719151.18444800,429228169936075.4290024668116,518295773594733.84299400
104999999.99969999,28855436.80019200,113927.22930000,100000000.00080000,60507.770623,194397939719122.41680000,429228169936011.9103322469671,518295773594657.14371600
104999999.99980000,28855436.79970600,113927.22936900,99999999.99920000,60507.770635,194397939719135.82874400,429228169936041.5237663359487,518295773594692.90304100
105000000.00170000,28855436.80063400,113927.22981100,100000000.00060000,60507.770647,194397939719221.74293600,429228169936231.2214165871058,518295773594921.96193900
104999999.99969999,28855436.79950800,113927.22965100,99999999.99789999,60507.77066,194397939719190.64277600,429228169936162.5525839170037,518295773594839.04627100
105000000.00130001,28855436.79990900,113927.22926100,99999999.99980000,60507.770672,194397939719114.83613600,429228169935995.1723042836298,518295773594636.93303900
104999999.99940000,28855436.79995500,113927.22949100,100000000.00030001,60507.770684,194397939719159.54261600,429228169936093.8837512469016,518295773594756.12745700
105000000.00010000,28855436.80020500,113927.22963500,100000000.00020000,60507.770696,194397939719187.53276000,429228169936155.6857006499935,518295773594830.75308500
105000000.00150000,28855436.79999400,113927.22963700,99999999.99950001,60507.770708,194397939719187.92151200,429228169936156.5440610583697,518295773594831.78998100
105000000.00090000,28855436.80013400,113927.22960000,99999999.99710000,60507.770721,194397939719180.72960000,429228169936140.6643935034086,518295773594812.61493200
104999999.99950001,28855436.79979000,113927.22959600,100000000.00030001,60507.770733,194397939719179.95209600,429228169936138.9476726866561,518295773594810.54267200
104999999.99980000,28855436.79999200,113927.22969800,100000000.00160000,60507.770745,194397939719199.77844800,429228169936182.7240535138462,518295773594863.40244200
105000000.00090000,28855436.80004800,113927.22940100,99999999.99950001,60507.770757,194397939719142.04877600,429228169936055.2575328699691,518295773594709.48594100
105000000.00030001,28855436.80003500,113927.22934100,100000000.00120001,60507.77077,194397939719130.38621600,429228169936029.5067206186808,518295773594678.39174700
105000000.00010000,28855436.79994700,113927.22980200,99999999.99900000,60507.770782,194397939719219.99355200,429228169936227.3587947494126,518295773594917.29918000
105000000.00150000,28855436.80000200,113927.22949800,99999999.99990000,60507.770794,194397939719160.90324800,429228169936096.8880126762185,518295773594759.75502200
104999999.99950001,28855436.80003000,113927.22953500,100000000.00060000,60507.770806,194397939719168.09516000,429228169936112.7676802311796,518295773594778.92973500
105000000.00170000,28855436.79996600,113927.22942600,99999999.99860001,60507.770818,194397939719146.90817600,429228169936065.9870379746726,518295773594722.44203000
105000000.00080000,28855436.80003100,113927.22939600,100000000.00070000,60507.770831,194397939719141.07689600,429228169936053.1116318490284,518295773594706.89479000
105000000.00080000,28855436.80037700,113927.22943800,99999999.99930000,60507.770843,194397939719149.24068800,429228169936071.1372004249302,518295773594728.66005200
105000000.00100000,28855436.79956300,113927.22930000,100000000.00020000,60507.770855,194397939719122.41680000,429228169936011.9103322469671,518295773594657.14497400
104999999.99940000,28855436.80024500,113927.22975600,100000000.00090000,60507.770867,194397939719211.05225600,429228169936207.6165053567582,518295773594893.45968200
104999999.99980000,28855436.79980600,113927.22964700,99999999.99900000,60507.77088,194397939719189.86527200,429228169936160.8358631002511,518295773594836.97272700
105000000.00150000,28855436.79981500,113927.22907500,100000000.00020000,60507.770892,194397939719078.68220000,429228169935915.3447863046360,518295773594540.54114500
104999999.99969999,28855436.80015500,113927.22942100,100000000.00010000,60507.770904,194397939719145.93629600,429228169936063.8411369537319,518295773594719.85046700
104999999.99980000,28855436.80005100,113927.22992700,99999999.99969999,60507.770916,194397939719244.29055200,429228169936281.0063202729298,518295773594982.07859700
105000000.00220001,28855436.80005200,113927.22950800,100000000.00060000,60507.770928,194397939719162.84700800,429228169936101.1798147180999,518295773594764.93729200
105000000.00049999,28855436.79994000,113927.22962200,99999999.99800000,60507.770941,194397939719185.00587200,429228169936150.1063579955477,518295773594824.01653400
105000000.00060000,28855436.80005200,113927.22920100,100000000.00030001,60507.770953,194397939719103.17357600,429228169935969.4214920323415,518295773594605.83853300
105000000.00060000,28855436.80036700,113927.22993200,100000000.00010000,60507.770965,194397939719245.26243200,429228169936283.1522212938705,518295773594984.66915000
105000000.00060000,28855436.79990400,113927.22938800,99999999.99890000,60507.770977,194397939719139.52188800,429228169936049.6781902155233,518295773594702.74914800
105000000.00030001,28855436.79985500,113927.22938800,100000000.00020000,60507.77099,194397939719139.52188800,429228169936049.6781902155233,518295773594702.74924600
105000000.00060000,28855436.80004100,113927.22950100,99999999.99860001,60507.771002,194397939719161.48637600,429228169936098.1755532887829,518295773594761.30965500
104999999.99969999,28855436.79975800,113927.22949000,100000000.00020000,60507.771014,194397939719159.34824000,429228169936093.4545710427134,518295773594755.60961400
105000000.00120001,28855436.80005200,113927.22954900,100000000.00100000,60507.771026,194397939719170.81642400,429228169936118.7762030898136,518295773594786.18500900
104999999.99910000,28855436.80011700,113927.22961000,99999999.99969999,60507.771038,194397939719182.67336000,429228169936144.9561955452900,518295773594817.79733600
104999999.99959999,28855436.79977500,113927.22949600,100000000.00040001,60507.771051,194397939719160.51449600,429228169936096.0296522678422,518295773594758.71900200
104999999.99980000,28855436.80063600,113927.22943800,99999999.99920000,60507.771063,194397939719149.24068800,429228169936071.1372004249302,518295773594728.65953400
105000000.00130001,28855436.79938600,113927.22951300,99999999.99840000,60507.771075,194397939719163.81888800,429228169936103.3257157390406,518295773594767.52980900
105000000.00139999,28855436.80002800,113927.22947100,100000000.00090000,60507.771087,194397939719155.65509600,429228169936085.3001471631388,518295773594745.76257100
104999999.99969999,28855436.79990700,113927.22963900,100000000.00030001,60507.7711,194397939719188.31026400,429228169936157.4024214667460,518295773594832.82662900
104999999.99969999,28855436.80004800,113927.22955100,100000000.00080000,60507.771112,194397939719171.20517600,429228169936119.6345634981899,518295773594787.22149100
105000000.00120001,28855436.80022000,113927.22929200,99999999.99910000,60507.771124,194397939719120.86179200,429228169936008.4768906134620,518295773594652.99776400
105000000.00130001,28855436.79996500,113927.22973000,99999999.99959999,60507.771136,194397939719205.99848000,429228169936196.4578200478666,518295773594879.98608000
104999999.99879999,28855436.80006200,113927.22923400,100000000.00100000,60507.771149,194397939719109.58798400,429228169935983.5844387705500,518295773594622.94033400
105000000.00139999,28855436.80012100,113927.22960300,99999999.99879999,60507.771161,194397939719181.31272800,429228169936141.9519341159730,518295773594814.16966900
104999999.99969999,28855436.80005200,113927.22939100,100000000.00060000,60507.771173,194397939719140.10501600,429228169936050.9657308280877,518295773594704.30356300
105000000.00070000,28855436.79978800,113927.22965300,100000000.00030001,60507.771185,194397939719191.03152800,429228169936163.4109443253800,518295773594840.08218500
105000000.00110000,28855436.79996400,113927.22956800,99999999.99969999,60507.771197,194397939719174.50956800,429228169936126.9306269693882,518295773594796.03168800
104999999.99959999,28855436.80003700,113927.22939300,100000000.00060000,60507.77121,194397939719140.49376800,429228169936051.8240912364640,518295773594705.34006700
105000000.00020000,28855436.79994100,113927.22958900,99999999.99779999,60507.771222,194397939719178.59146400,429228169936135.9434112573391,518295773594806.91471100
105000000.00170000,28855436.79989100,113927.22941400,100000000.00070000,60507.771234,194397939719144.57566400,429228169936060.8368755244149,518295773594716.22333600
105000000.00040001,28855436.80005500,113927.22945000,100000000.00120001,60507.771246,194397939719151.57320000,429228169936076.2873628751879,518295773594734.87954000
105000000.00060000,28855436.80035000,113927.22970500,99999999.99969999,60507.771258,194397939719201.13908000,429228169936185.7283149431631,518295773594867.02938500
105000000.00080000,28855436.79987000,113927.22957400,100000000.00120001,60507.771271,194397939719175.67582400,429228169936129.5057081945170,518295773594799.14129800
104999999.99930000,28855436.80038200,113927.22921300,99999999.99830000,60507.771283,194397939719105.50608800,429228169935974.5716544825991,518295773594612.05671700
105000000.00160000,28855436.79968700,113927.22972500,100000000.00010000,60507.771295,194397939719205.02660000,429228169936194.3119190269259,518295773594877.39545100
104999999.99980000,28855436.79988500,113927.22962600,100000000.00080000,60507.771307,194397939719185.78337600,429228169936151.8230788123002,518295773594826.08959200
105000000.00110000,28855436.80019800,113927.22955800,99999999.99980000,60507.77132,194397939719172.56580800,429228169936122.6388249275068,518295773594790.84885000
105000000.00090000,28855436.80003000,113927.22925300,100000000.00070000,60507.771332,194397939719113.28112800,429228169935991.7388626501246,518295773594632.78690100
104999999.99890000,28855436.79999800,113927.22958400,99999999.99850000,60507.771344,194397939719177.61958400,429228169936133.7975102363984,518295773594804.32341200
105000000.00000000,28855436.79976000,113927.22974000,99999999.99950001,60507.771356,194397939719207.94224000,429228169936200.7496220897480,518295773594885.16886000
104999999.99980000,28855436.79984400,113927.22987800,100000000.00080000,60507.771369,194397939719234.76612800,429228169936259.9764902677111,518295773594956.68539800
105000000.00130001,28855436.79988200,113927.22973800,99999999.99940000,60507.771381,194397939719207.55348800,429228169936199.8912616813717,518295773594884.13214200
105000000.00130001,28855436.79993800,113927.22931400,100000000.00040001,60507.771393,194397939719125.13806400,429228169936017.9188551056011,518295773594664.39954200
105000000.00049999,28855436.80004000,113927.22933600,99999999.99940000,60507.771405,194397939719129.41433600,429228169936027.3608195977401,518295773594675.80055200
105000000.00080000,28855436.80000600,113927.22961000,100000000.00000000,60507.771417,194397939719182.67336000,429228169936144.9561955452900,518295773594817.79755800
105000000.00090000,28855436.80005900,113927.22970200,100000000.00070000,60507.77143,194397939719200.55595200,429228169936184.4407743305987,518295773594865.47525600
104999999.99890000,28855436.80003400,113927.22941300,99999999.99890000,60507.771442,194397939719144.38128800,429228169936060.4076953202268,518295773594715.70481300
105000000.00120001,28855436.80000100,113927.22956000,100000000.00020000,60507.771454,194397939719172.95456000,429228169936123.4971853358831,518295773594791.88571800
104999999.99980000,28855436.80017900,113927.22957900,99999999.99930000,60507.771466,194397939719176.64770400,429228169936131.6516092154577,518295773594801.73186500
104999999.99980000,28855436.80049200,113927.22947300,99999999.99950001,60507.771478,194397939719156.04384800,429228169936086.1585075715151,518295773594746.79811700
104999999.99969999,28855436.79948500,113927.22932400,100000000.00049999,60507.771491,194397939719127.08182400,429228169936022.2106571474825,518295773594669.58281800
105000000.00170000,28855436.80012100,113927.22966800,99999999.99869999,60507.771503,194397939719193.94716800,429228169936169.8486473882020,518295773594847.85507400
105000000.00040001,28855436.79984500,113927.22973900,100000000.00000000,60507.771515,194397939719207.74786400,429228169936200.3204418855598,518295773594884.65045300
104999999.99980000,28855436.79988000,113927.22941500,100000000.00049999,60507.771527,194397939719144.77004000,429228169936061.2660557286030,518295773594716.74159500
105000000.00170000,28855436.80002300,113927.22944700,99999999.99950001,60507.77154,194397939719150.99007200,429228169936074.9998222626235,518295773594733.32489300
104999999.99940000,28855436.79998400,113927.22951500,100000000.00090000,60507.771552,194397939719164.20764000,429228169936104.1840761474169,518295773594768.56508700
105000000.00000000,28855436.80008600,113927.22948000,99999999.99810000,60507.771564,194397939719157.40448000,429228169936089.1627690008320,518295773594750.42658800
105000000.00130001,28855436.79981400,113927.22971500,100000000.00020000,60507.771576,194397939719203.08284000,429228169936190.0201169850445,518295773594872.21282700
105000000.00000000,28855436.79990100,113927.22969000,100000000.00080000,60507.771588,194397939719198.22344000,429228169936179.2906118803411,518295773594859.25672800
105000000.00139999,28855436.80016900,113927.22918700,99999999.99980000,60507.771601,194397939719100.45231200,429228169935963.4129691737075,518295773594598.58298100
104999999.99850000,28855436.80003000,113927.22992000,100000000.00030001,60507.771613,194397939719242.92992000,429228169936278.0020588436129,518295773594978.45098000
105000000.00060000,28855436.80000400,113927.22933200,99999999.99720000,60507.771625,194397939719128.63683200,429228169936025.6440987809876,518295773594673.72767600
105000000.00170000,28855436.79990000,113927.22962300,100000000.00020000,60507.771637,194397939719185.20024800,429228169936150.5355381997358,518295773594824.53485100
105000000.00120001,28855436.79992700,113927.22919800,100000000.00100000,60507.77165,194397939719102.59044800,429228169935968.1339514197770,518295773594604.28407200
104999999.99920000,28855436.79999700,113927.22941900,100000000.00010000,60507.771662,194397939719145.54754400,429228169936062.9827765453556,518295773594718.81430900
105000000.00010000,28855436.80030200,113927.22960700,100000000.00020000,60507.771674,194397939719182.09023200,429228169936143.6686549327256,518295773594816.24225500
104999999.99969999,28855436.79991500,113927.22948500,99999999.99910000,60507.771686,194397939719158.37636000,429228169936091.3086700217727,518295773594753.01811500
105000000.00130001,28855436.80059600,113927.22935400,100000000.00060000,60507.771698,194397939719132.91310400,429228169936035.0860632731266,518295773594685.12770600
105000000.00090000,28855436.79976700,113927.22969900,100000000.00040001,60507.771711,194397939719199.97282400,429228169936183.1532337180343,518295773594863.92112900
104999999.99969999,28855436.79974600,113927.22943400,99999999.99940000,60507.771723,194397939719148.46318400,429228169936069.4204796081777,518295773594726.58836600
105000000.00139999,28855436.80005200,113927.22969400,100000000.00080000,60507.771735,194397939719199.00094400,429228169936181.0073326970936,518295773594861.32937400
104999999.99930000,28855436.80005800,113927.22947600,99999999.99969999,60507.771747,194397939719156.62697600,429228169936087.4460481840795,518295773594748.35369600
105000000.00120001,28855436.80006000,113927.22960400,100000000.00020000,60507.77176,194397939719181.50710400,429228169936142.3811143201612,518295773594814.68802800
105000000.00080000,28855436.79984100,113927.22939900,100000000.00090000,60507.771772,194397939719141.66002400,429228169936054.3991724615928,518295773594708.44988100
104999999.99959999,28855436.80002500,113927.22950100,99999999.99860001,60507.771784,194397939719161.48637600,429228169936098.1755532887829,518295773594761.30968700
105000000.00139999,28855436.79996700,113927.22953000,100000000.00010000,60507.771796,194397939719167.12328000,429228169936110.6217792102389,518295773594776.33867600
104999999.99930000,28855436.80001500,113927.22985100,100000000.00030001,60507.771808,194397939719229.51797600,429228169936248.3886247546313,518295773594942.69265700
105000000.00130001,28855436.79994200,113927.22964600,99999999.99990000,60507.771821,194397939719189.67089600,429228169936160.4066828960630,518295773594836.45421800
105000000.00100000,28855436.80017500,113927.22928400,100000000.00020000,60507.771833,194397939719119.30678400,429228169936005.0434489799569,518295773594648.85195800
104999999.99950001,28855436.79990700,113927.22926500,99999999.99820000,60507.771845,194397939719115.61364000,429228169935996.8890251003823,518295773594639.00599100
105000000.00110000,28855436.79993000,113927.22977000,100000000.00090000,60507.771857,194397939719213.77352000,429228169936213.6250282153921,518295773594900.71563000
105000000.00120001,28855436.80000200,113927.22961400,100000000.00080000,60507.77187,194397939719183.45086400,429228169936146.6729163620426,518295773594819.87051400
105000000.00060000,28855436.80033500,113927.22920000,100000000.00010000,60507.771882,194397939719102.97920000,429228169935968.9923118281533,518295773594605.31973000
105000000.00090000,28855436.80029200,113927.22967600,100000000.00080000,60507.771894,194397939719195.50217600,429228169936173.2820890217071,518295773594852.00062800
104999999.99900000,28855436.79977700,113927.22963300,99999999.99850000,60507.771906,194397939719187.14400800,429228169936154.8273402416172,518295773594829.71746700
105000000.00040001,28855436.80016400,113927.22937600,99999999.99990000,60507.771918,194397939719137.18937600,429228169936044.5280277652657,518295773594696.52978400
105000000.00130001,28855436.79975800,113927.22940100,100000000.00060000,60507.771931,194397939719142.04877600,429228169936055.2575328699691,518295773594709.48652100
105000000.00090000,28855436.79975800,113927.22954000,99999999.99910000,60507.771943,194397939719169.06704000,429228169936114.9135812521203,518295773594781.52146400
104999999.99950001,28855436.80025700,113927.22969500,100000000.00070000,60507.771955,194397939719199.19532000,429228169936181.4365129012818,518295773594861.84720100
105000000.00139999,28855436.79995800,113927.22933500,99999999.99950001,60507.771967,194397939719129.21996000,429228169936026.9316393935520,518295773594675.28247900
105000000.00060000,28855436.79987600,113927.22944100,99999999.99930000,60507.771979,194397939719149.82381600,429228169936072.4247410374946,518295773594730.21576500
105000000.00060000,28855436.79999200,113927.22939400,100000000.00080000,60507.771992,194397939719140.68814400,429228169936052.2532714406521,518295773594705.85839400
105000000.00070000,28855436.79997400,113927.22967200,99999999.99890000,60507.772004,194397939719194.72467200,429228169936171.5653682049546,518295773594849.92831600
105000000.00060000,28855436.80000100,113927.22933400,100000000.00020000,60507.772016,194397939719129.02558400,429228169936026.5024591893638,518295773594674.76415600
105000000.00020000,28855436.80002100,113927.22969700,99999999.99910000,60507.772028,194397939719199.58407200,429228169936182.2948733096580,518295773594862.88414700
105000000.00040001,28855436.80001000,113927.22973900,100000000.00060000,60507.772041,194397939719207.74786400,429228169936200.3204418855598,518295773594884.65012300
104999999.99930000,28855436.79982800,113927.22921700,100000000.00040001,60507.772053,194397939719106.28359200,429228169935976.2883752993517,518295773594614.13077300
105000000.00020000,28855436.80013900,113927.22944600,99999999.99850000,60507.772065,194397939719150.79569600,429228169936074.5706420584353,518295773594732.80642400
105000000.00120001,28855436.80016700,113927.22952300,100000000.00030001,60507.772077,194397939719165.76264800,429228169936107.6175177809220,518295773594772.71061700
105000000.00030001,28855436.80003200,113927.22964700,100000000.00070000,60507.772089,194397939719189.86527200,429228169936160.8358631002511,518295773594836.97227500
104999999.99920000,28855436.79994900,113927.22971200,99999999.99990000,60507.772102,194397939719202.49971200,429228169936188.7325763724801,518295773594870.65784600
104999999.99990000,28855436.80061900,113927.22949900,100000000.00080000,60507.772114,194397939719161.09762400,429228169936097.3171928804067,518295773594760.27202500
105000000.00139999,28855436.79942800,113927.22935200,99999999.99900000,60507.772126,194397939719132.52435200,429228169936034.2277028647503,518295773594684.09356800
104999999.99940000,28855436.80008300,113927.22931500,100000000.00010000,60507.772138,194397939719125.33244000,429228169936018.3480353097892,518295773594664.91748900
104999999.99980000,28855436.79991400,113927.22967800,100000000.00090000,60507.772151,194397939719195.89092800,429228169936174.1404494300834,518295773594853.03785800
105000000.00170000,28855436.79996700,113927.22977100,100000000.00010000,60507.772163,194397939719213.96789600,429228169936214.0542084195803,518295773594901.23379300
104999999.99980000,28855436.80008700,113927.22919000,100000000.00060000,60507.772175,194397939719101.03544000,429228169935964.7005097862719,518295773594600.13785600
105000000.00160000,28855436.79986300,113927.22946100,99999999.99740000,60507.772187,194397939719153.71133600,429228169936081.0083451212574,518295773594740.58053100
104999999.99959999,28855436.80009100,113927.22981800,99999999.99990000,60507.772199,194397939719223.10356800,429228169936234.2256780164228,518295773594925.59068400
105000000.00030001,28855436.79997100,113927.22925100,100000000.00020000,60507.772212,194397939719112.89237600,429228169935990.8805022417484,518295773594631.75054500
105000000.00040001,28855436.80003200,113927.22948900,99999999.99969999,60507.772224,194397939719159.15386400,429228169936093.0253908385253,518295773594755.09082900
105000000.00049999,28855436.79999500,113927.22963000,100000000.00090000,60507.772236,194397939719186.56088000,429228169936153.5397996290528,518295773594828.16232000
105000000.00020000,28855436.79986200,113927.22923900,99999999.99890000,60507.772248,194397939719110.55986400,429228169935985.7303397914907,518295773594625.53191900
105000000.00139999,28855436.80018400,113927.22969500,100000000.00030001,60507.77226,194397939719199.19532000,429228169936181.4365129012818,518295773594861.84734700
104999999.99950001,28855436.79994800,113927.22949000,100000000.00090000,60507.772273,194397939719159.34824000,429228169936093.4545710427134,518295773594755.60923400
105000000.00000000,28855436.80004500,113927.22937100,99999999.99879999,60507.772285,194397939719136.21749600,429228169936042.3821267443250,518295773594693.93883700
105000000.00160000,28855436.80029100,113927.22964700,100000000.00030001,60507.772297,194397939719189.86527200,429228169936160.8358631002511,518295773594836.97175700
105000000.00139999,28855436.80031600,113927.22944200,99999999.99879999,60507.772309,194397939719150.01819200,429228169936072.8539212416828,518295773594730.73312200
104999999.99930000,28855436.79981200,113927.22962200,99999999.99930000,60507.772322,194397939719185.00587200,429228169936150.1063579955477,518295773594824.01679000
104999999.99959999,28855436.80022900,113927.22935300,100000000.00090000,60507.772334,194397939719132.71872800,429228169936034.6568830689385,518295773594684.61020300
105000000.00030001,28855436.79961600,113927.22936600,99999999.99860001,60507.772346,194397939719135.24561600,429228169936040.2362257233843,518295773594691.34851000
105000000.00000000,28855436.79982200,113927.22985800,100000000.00040001,60507.772358,194397939719230.87860800,429228169936251.3928861839483,518295773594946.32070200
105000000.00160000,28855436.80008600,113927.22936200,99999999.99969999,60507.77237,194397939719134.46811200,429228169936038.5195049066317,518295773594689.27462200
105000000.00120001,28855436.80006000,113927.22935000,99999999.99930000,60507.772383,194397939719132.13560000,429228169936033.3693424563741,518295773594683.05583000
104999999.99930000,28855436.79990000,113927.22935900,100000000.00060000,60507.772395,194397939719133.88498400,429228169936037.2319642940673,518295773594687.72028300
105000000.00030001,28855436.79983000,113927.22971000,99999999.99860001,60507.772407,194397939719202.11096000,429228169936187.8742159641038,518295773594869.62161000
105000000.00130001,28855436.80003200,113927.22964700,100000000.00000000,60507.772419,194397939719189.86527200,429228169936160.8358631002511,518295773594836.97227500
105000000.00060000,28855436.80009900,113927.22930800,100000000.00110000,60507.772432,194397939719123.97180800,429228169936015.3437738804723,518295773594661.28979800
104999999.99969999,28855436.80002400,113927.22953800,99999999.99959999,60507.772444,194397939719168.67828800,429228169936114.0552208437441,518295773594780.48445800
104999999.99969999,28855436.79981400,113927.22967600,100000000.00080000,60507.772456,194397939719195.50217600,429228169936173.2820890217071,518295773594852.00158400
105000000.00170000,28855436.80000400,113927.22912000,99999999.99850000,60507.772468,194397939719087.42912000,429228169935934.6578954931023,518295773594563.86143200
104999999.99940000,28855436.80002500,113927.22945600,100000000.00000000,60507.77248,194397939719152.73945600,429228169936078.8624441003167,518295773594737.98902200
105000000.00020000,28855436.80002000,113927.22976000,100000000.00070000,60507.772493,194397939719211.82976000,429228169936209.3332261735108,518295773594895.53308000
105000000.00150000,28855436.80010700,113927.22955700,99999999.99980000,60507.772505,194397939719172.37143200,429228169936122.2096447233187,518295773594790.33079500
105000000.00120001,28855436.80011900,113927.22959300,100000000.00030001,60507.772517,194397939719179.36896800,429228169936137.6601320740917,518295773594808.98730300
104999999.99890000,28855436.80048100,113927.22951800,99999999.99850000,60507.77253,194397939719164.79076800,429228169936105.4716167599813,518295773594770.11880400
104999999.99980000,28855436.79945900,113927.22942000,100000000.00010000,60507.772542,194397939719145.74192000,429228169936063.4119567495437,518295773594719.33362200
105000000.00150000,28855436.80019900,113927.22975100,100000000.00030001,60507.772554,194397939719210.08037600,429228169936205.4706043358175,518295773594890.86858900
104999999.99959999,28855436.79963000,113927.22942100,99999999.99910000,60507.772566,194397939719145.93629600,429228169936063.8411369537319,518295773594719.85151700
105000000.00180000,28855436.79993800,113927.22948900,100000000.00020000,60507.772578,194397939719159.15386400,429228169936093.0253908385253,518295773594755.09101700
105000000.00110000,28855436.80012500,113927.22934100,99999999.99910000,60507.772591,194397939719130.38621600,429228169936029.5067206186808,518295773594678.39156700
104999999.99900000,28855436.80004000,113927.22979900,100000000.00020000,60507.772603,194397939719219.41042400,429228169936226.0712541368481,518295773594915.74428300
105000000.00139999,28855436.79999100,113927.22950700,100000000.00060000,60507.772615,194397939719162.65263200,429228169936100.7506345139118,518295773594764.41917700
105000000.00000000,28855436.79996500,113927.22950000,99999999.99830000,60507.772627,194397939719161.29200000,429228169936097.7463730845948,518295773594760.79157000
105000000.00130001,28855436.79997600,113927.22956000,100000000.00060000,60507.77264,194397939719172.95456000,429228169936123.4971853358831,518295773594791.88576800
105000000.00100000,28855436.80002600,113927.22954100,99999999.99900000,60507.772652,194397939719169.26141600,429228169936115.3427614563085,518295773594782.03916500
105000000.00070000,28855436.79990300,113927.22971100,100000000.00090000,60507.772664,194397939719202.30533600,429228169936188.3033961682920,518295773594870.13970100
104999999.99950001,28855436.80020000,113927.22961200,100000000.00020000,60507.772676,194397939719183.06211200,429228169936145.8145559536663,518295773594818.83364400
104999999.99969999,28855436.79988500,113927.22954400,99999999.99850000,60507.772688,194397939719169.84454400,429228169936116.6303020688729,518295773594783.59415800
