fo_ErYb,SDR:fb_Yb_ErYb,SDR:frep_ErYb,fb_Si_ErYb,MJD,nuSi,nuSr,nuYb
105000000.00139999,28855436.79970600,113927.22974700,99999999.99920000,60507.710066,194397939719209.30287200,429228169936203.7538835190650,518295773594888.79662700
104999999.99900000,28855436.79949100,113927.22940900,100000000.00010000,60507.710078,194397939719143.60378400,429228169936058.6909745034742,518295773594713.63295100
105000000.00010000,28855436.79986500,113927.22980300,100000000.00080000,60507.71009,194397939719220.18792800,429228169936227.7879749536007,518295773594917.81758100
105000000.00040001,28855436.80001700,113927.22958600,99999999.99910000,60507.710102,194397939719178.00833600,429228169936134.6558706447747,518295773594805.35984800
105000000.00139999,28855436.79992500,113927.22976800,100000000.00070000,60507.710115,194397939719213.38476800,429228169936212.7666678070159,518295773594899.67916600
105000000.00060000,28855436.80001400,113927.22940100,100000000.00030001,60507.710127,194397939719142.04877600,429228169936055.2575328699691,518295773594709.48600900
104999999.99940000,28855436.80010100,113927.22941100,100000000.00010000,60507.710139,194397939719143.99253600,429228169936059.5493349118505,518295773594714.66820500
105000000.00180000,28855436.80012700,113927.22955200,100000000.00080000,60507.710151,194397939719171.39955200,429228169936120.0637437023780,518295773594787.73957000
104999999.99930000,28855436.80004200,113927.22938100,99999999.99770001,60507.710164,194397939719138.16125600,429228169936046.6739287862063,518295773594699.12121300
105000000.00150000,28855436.80000600,113927.22960100,100000000.00000000,60507.710176,194397939719180.92397600,429228169936141.0935737075968,518295773594813.13342500
105000000.00100000,28855436.80000900,113927.22953200,100000000.00090000,60507.710188,194397939719167.51203200,429228169936111.4801396186152,518295773594777.37506600
105000000.00100000,28855436.79984000,113927.22971500,100000000.00000000,60507.7102,194397939719203.08284000,429228169936190.0201169850445,518295773594872.21277500
105000000.00040001,28855436.79994800,113927.22944300,100000000.00080000,60507.710212,194397939719150.21256800,429228169936073.2831014458709,518295773594731.25209500
105000000.00060000,28855436.80015300,113927.22940500,99999999.99869999,60507.710225,194397939719142.82628000,429228169936056.9742536867217,518295773594711.55867900
105000000.00060000,28855436.79996600,113927.22946800,99999999.99959999,60507.710237,194397939719155.07196800,429228169936084.0126065505744,518295773594744.20798400
105000000.00030001,28855436.79996000,113927.22985000,100000000.00130001,60507.710249,194397939719229.32360000,429228169936247.9594445504432,518295773594942.17453000
105000000.00000000,28855436.80040700,113927.22948800,99999999.99990000,60507.710261,194397939719158.95948800,429228169936092.5962106343371,518295773594754.57184200
105000000.00040001,28855436.80042300,113927.22949400,100000000.00120001,60507.710273,194397939719160.12574400,429228169936095.1712918594660,518295773594757.68123200
104999999.99930000,28855436.79939900,113927.22930100,99999999.99860001,60507.710286,194397939719122.61117600,429228169936012.3395124511553,518295773594657.66353900
104999999.99990000,28855436.79960800,113927.22959100,100000000.00000000,60507.710298,194397939719178.98021600,429228169936136.8017716657154,518295773594807.95185100
105000000.00049999,28855436.79983200,113927.22961900,100000000.00020000,60507.71031,194397939719184.42274400,429228169936148.8188173829833,518295773594822.46203900
105000000.00139999,28855436.80023800,113927.22955300,99999999.99930000,60507.710322,194397939719171.59392800,429228169936120.4929239065661,518295773594788.25758500
105000000.00100000,28855436.80000100,113927.22956300,100000000.00100000,60507.710335,194397939719173.53768800,429228169936124.7847259484475,518295773594793.44042900
104999999.99940000,28855436.79979500,113927.22924000,99999999.99940000,60507.710347,194397939719110.75424000,429228169935986.1595199956788,518295773594626.05029000
104999999.99980000,28855436.79971500,113927.22946000,100000000.00010000,60507.710359,194397939719153.51696000,429228169936080.5791649170693,518295773594740.06259000
105000000.00180000,28855436.79985900,113927.22961900,100000000.00100000,60507.710371,194397939719184.42274400,429228169936148.8188173829833,518295773594822.46198500
104999999.99950001,28855436.79999400,113927.22971700,99999999.99910000,60507.710383,194397939719203.47159200,429228169936190.8784773934208,518295773594873.24894100
104999999.99920000,28855436.80024500,113927.22930000,100000000.00049999,60507.710396,194397939719122.41680000,429228169936011.9103322469671,518295773594657.14361000
105000000.00049999,28855436.79999900,113927.22945800,99999999.99980000,60507.710408,194397939719153.12820800,429228169936079.7208045086930,518295773594739.02554800
105000000.00110000,28855436.80001700,113927.22958200,99999999.99959999,60507.71042,194397939719177.23083200,429228169936132.9391498280221,518295773594803.28690000
105000000.00130001,28855436.79998300,113927.22975900,100000000.00100000,60507.710432,194397939719211.63538400,429228169936208.9040459693226,518295773594895.01491700
