"MJD" "shift"
"60507.71054487" "63000001.90101122111082"
"60507.71056166" "63000001.89986836910248"
"60507.71057847" "63000001.89872789382935"
"60507.71059529" "63000001.89758986979723"
"60507.71061209" "63000001.89645439386368"
"60507.71062889" "63000001.89532154053450"
"60507.71064569" "63000001.89419140666723"
"60507.71066249" "63000001.89306406676769"
"60507.71067930" "63000001.89193960279226"
"60507.71069610" "63000001.89081811159849"
"60507.71071290" "63000001.88969967514277"
"60507.71072972" "63000001.88858436793089"
"60507.71074652" "63000001.88747228682041"
"60507.71076333" "63000001.88636350631714"
"60507.71078012" "63000001.88525812327862"
"60507.71079693" "63000001.88415621221066"
"60507.71081373" "63000001.88305785506964"
"60507.71083054" "63000001.88196314871311"
"60507.71084735" "63000001.88087217509747"
"60507.71086414" "63000001.87978500872850"
"60507.71088094" "63000001.87870174646378"
"60507.71089776" "63000001.87762246280909"
"60507.71091455" "63000001.87654725462198"
"60507.71093137" "63000001.87547619640827"
"60507.71094818" "63000001.87440937757492"
"60507.71096498" "63000001.87334688007832"
"60507.71098180" "63000001.87228878587484"
"60507.71099859" "63000001.87123519182205"
"60507.71101539" "63000001.87018617242575"
"60507.71103220" "63000001.86914180964231"
"60507.71104901" "63000001.86810220032930"
"60507.71106579" "63000001.86706741899252"
"60507.71108261" "63000001.86603755503893"
"60507.71109943" "63000001.86501269787550"
"60507.71111622" "63000001.86399292200804"
"60507.71113302" "63000001.86297830939293"
"60507.71114982" "63000001.86196896433830"
"60507.71116664" "63000001.86096494644880"
"60507.71118345" "63000001.85996636003256"
"60507.71120026" "63000001.85897328704596"
"60507.71121709" "63000001.85798580199480"
"60507.71123386" "63000001.85700400173664"
"60507.71125066" "63000001.85602796077728"
"60507.71126746" "63000001.85505776852369"
"60507.71128427" "63000001.85409351438284"
"60507.71130108" "63000001.85313527286053"
"60507.71131787" "63000001.85218313336372"
"60507.71133468" "63000001.85123718529940"
"60507.71135148" "63000001.85029751062393"
"60507.71136829" "63000001.84936419129372"
"60507.71138512" "63000001.84843731671572"
"60507.71140190" "63000001.84751696139574"
"60507.71141871" "63000001.84660322219133"
"60507.71143552" "63000001.84569618105888"
"60507.71145232" "63000001.84479591995478"
"60507.71146911" "63000001.84390252083540"
"60507.71148592" "63000001.84301608055830"
"60507.71150272" "63000001.84213666617870"
"60507.71151953" "63000001.84126437455416"
"60507.71153634" "63000001.84039929509163"
"60507.71155314" "63000001.83954149484634"
"60507.71156996" "63000001.83869107812643"
"60507.71158675" "63000001.83784811198711"
"60507.71160355" "63000001.83701269328594"
"60507.71162036" "63000001.83618490397930"
"60507.71163719" "63000001.83536482602358"
"60507.71165395" "63000001.83455254882574"
"60507.71167078" "63000001.83374815434217"
"60507.71168758" "63000001.83295172452927"
"60507.71170438" "63000001.83216334879398"
"60507.71172118" "63000001.83138310909271"
"60507.71173799" "63000001.83061109483242"
"60507.71175480" "63000001.82984738796949"
"60507.71177160" "63000001.82909206300974"
"60507.71178841" "63000001.82834522426128"
"60507.71180521" "63000001.82760694622993"
"60507.71182202" "63000001.82687731087208"
"60507.71183884" "63000001.82615640759468"
"60507.71185562" "63000001.82544431835413"
"60507.71187242" "63000001.82474112510681"
"60507.71188923" "63000001.82404692471027"
"60507.71190605" "63000001.82336178421974"
"60507.71192284" "63000001.82268580794334"
"60507.71193964" "63000001.82201906293631"
"60507.71195644" "63000001.82136164605618"
"60507.71197325" "63000001.82071363925934"
"60507.71199008" "63000001.82007512450218"
"60507.71200686" "63000001.81944618374109"
"60507.71202367" "63000001.81882691383362"
"60507.71204047" "63000001.81821738183498"
"60507.71205727" "63000001.81761769205332"
"60507.71210358" "63000001.81702791154385"
"60507.71211423" "63000001.81644813716412"
"60507.71212491" "63000001.81587845087051"
"60507.71213558" "63000001.81531893461943"
"60507.71214626" "63000001.81476967036724"
"60507.71215694" "63000001.81423075497150"
"60507.71216760" "63000001.81370225548744"
"60507.71217827" "63000001.81318427622318"
"60507.71218893" "63000001.81267688423395"
"60507.71219960" "63000001.81218017637730"
"60507.71221027" "63000001.81169423460960"
"60507.71222094" "63000001.81121914088726"
"60507.71223161" "63000001.81075498461723"
"60507.71224228" "63000001.81030184030533"
"60507.71225296" "63000001.80985980480909"
"60507.71226363" "63000001.80942896008492"
"60507.71227430" "63000001.80900938808918"
"60507.71228497" "63000001.80860117077827"
"60507.71229565" "63000001.80820439755917"
"60507.71230630" "63000001.80781915038824"
"60507.71231700" "63000001.80744551867247"
"60507.71232765" "63000001.80708358436823"
"60507.71233833" "63000001.80673342943192"
"60507.71234900" "63000001.80639514327049"
"60507.71235966" "63000001.80606880784035"
"60507.71237032" "63000001.80575450509787"
"60507.71238099" "63000001.80545233190060"
"60507.71239167" "63000001.80516235530376"
"60507.71240235" "63000001.80488467216492"
"60507.71241302" "63000001.80461937189102"
"60507.71242367" "63000001.80436652153730"
"60507.71243434" "63000001.80412621796131"
"60507.71244502" "63000001.80389855057001"
"60507.71245568" "63000001.80368359386921"
"60507.71246636" "63000001.80348142981529"
"60507.71247703" "63000001.80329215526581"
"60507.71248771" "63000001.80311585217714"
"60507.71249838" "63000001.80295260250568"
"60507.71250906" "63000001.80280248820782"
"60507.71251971" "63000001.80266559123993"
"60507.71253040" "63000001.80254200845957"
"60507.71254105" "63000001.80243182182312"
"60507.71255173" "63000001.80233510583639"
"60507.71256240" "63000001.80225195735693"
"60507.71257306" "63000001.80218245089054"
"60507.71258373" "63000001.80212667584419"
"60507.71259442" "63000001.80208471417427"
"60507.71260508" "63000001.80205666273832"
"60507.71261575" "63000001.80204258859158"
"60507.71262644" "63000001.80204258859158"
"60507.71263708" "63000001.80205674469471"
"60507.71264777" "63000001.80208513885736"
"60507.71265843" "63000001.80212786048651"
"60507.71266909" "63000001.80218499153852"
"60507.71267976" "63000001.80225661396980"
"60507.71269044" "63000001.80234281718731"
"60507.71270111" "63000001.80244368314743"
"60507.71271178" "63000001.80255930125713"
"60507.71272245" "63000001.80268975347281"
"60507.71273313" "63000001.80283512175083"
"60507.71274379" "63000001.80299548804760"
"60507.71275446" "63000001.80317094922066"
"60507.71276514" "63000001.80336157977581"
"60507.71277581" "63000001.80356746912003"
"60507.71278707" "63000001.80378869920969"
"60507.71279715" "63000001.80402535200119"
"60507.71280781" "63000001.80427752435207"
"60507.71281847" "63000001.80454528331757"
"60507.71282915" "63000001.80482873320580"
"60507.71283984" "63000001.80512794107199"
"60507.71285051" "63000001.80544300377369"
"60507.71286117" "63000001.80577400326729"
"60507.71287184" "63000001.80612102150917"
"60507.71288251" "63000001.80648414045572"
"60507.71289318" "63000001.80686345696449"
"60507.71290385" "63000001.80725903809071"
"60507.71291453" "63000001.80767098814249"
"60507.71292518" "63000001.80809937417507"
"60507.71293586" "63000001.80854429304600"
"60507.71294653" "63000001.80900582671165"
"60507.71295720" "63000001.80948405712843"
"60507.71296788" "63000001.80997906625271"
"60507.71297853" "63000001.81049095094204"
"60507.71298922" "63000001.81101977825165"
"60507.71299988" "63000001.81156565248966"
"60507.71301055" "63000001.81212864071131"
"60507.71302124" "63000001.81270883977413"
"60507.71303192" "63000001.81330633163452"
"60507.71304258" "63000001.81392119824886"
"60507.71305323" "63000001.81455352902412"
"60507.71306390" "63000001.81520339846611"
"60507.71307456" "63000001.81587090343237"
"60507.71308524" "63000001.81655612587929"
"60507.71309592" "63000001.81725914776325"
"60507.71310658" "63000001.81798005104065"
"60507.71311726" "63000001.81871892511845"
"60507.71312793" "63000001.81947585195303"
"60507.71313861" "63000001.82025092095137"
"60507.71314927" "63000001.82104421406984"
"60507.71315994" "63000001.82185581326485"
"60507.71317064" "63000001.82268580794334"
"60507.71318128" "63000001.82353428006172"
"60507.71319194" "63000001.82440131157637"
"60507.71320261" "63000001.82528699934483"
"60507.71321328" "63000001.82619141042233"
"60507.71322395" "63000001.82711464166641"
"60507.71323463" "63000001.82805677503347"
"60507.71324531" "63000001.82901789993048"
"60507.71325597" "63000001.82999809086323"
"60507.71326664" "63000001.83099744468927"
"60507.71327731" "63000001.83201602846384"
"60507.71328800" "63000001.83305394649506"
"60507.71329866" "63000001.83411127328873"
"60507.71330933" "63000001.83518809825182"
"60507.71331999" "63000001.83628449589014"
"60507.71333066" "63000001.83740056306124"
"60507.71334134" "63000001.83853638172150"
"60507.71335200" "63000001.83969203382730"
"60507.71336267" "63000001.84086760133505"
"60507.71337335" "63000001.84206318110228"
"60507.71338401" "63000001.84327884018421"
"60507.71339468" "63000001.84451467543840"
"60507.71340535" "63000001.84577077627182"
"60507.71341603" "63000001.84704720973969"
"60507.71342670" "63000001.84834407269955"
"60507.71343736" "63000001.84966145455837"
"60507.71344804" "63000001.85099942982197"
"60507.71345872" "63000001.85235808789730"
"60507.71346939" "63000001.85373751074076"
"60507.71348005" "63000001.85513778775930"
"60507.71349072" "63000001.85655900090933"
"60507.71350139" "63000001.85800123214722"
"60507.71351206" "63000001.85946457087994"
"60507.71352274" "63000001.86094909906387"
"60507.71353340" "63000001.86245490610600"
"60507.71354407" "63000001.86398206651211"
"60507.71355473" "63000001.86553067713976"
"60507.71356542" "63000001.86710081994534"
"60507.71357609" "63000001.86869256943464"
"60507.71358675" "63000001.87030602246523"
"60507.71359741" "63000001.87194126099348"
"60507.71360809" "63000001.87359836697578"
"60507.71361877" "63000001.87527742981911"
"60507.71362943" "63000001.87697852402925"
"60507.71364010" "63000001.87870174646378"
"60507.71365079" "63000001.88044717162848"
"60507.71366145" "63000001.88221489638090"
"60507.71367212" "63000001.88400499522686"
"60507.71368279" "63000001.88581755012274"
"60507.71369345" "63000001.88765265792608"
"60507.71370412" "63000001.88951040059328"
"60507.71371480" "63000001.89139085263014"
"60507.71372546" "63000001.89329411089420"
"60507.71373613" "63000001.89522024989128"
"60507.71374681" "63000001.89716936647892"
"60507.71375747" "63000001.89914152771235"
"60507.71376814" "63000001.90113683789968"
"60507.71377883" "63000001.90315537154675"
"60507.71378949" "63000001.90519721806049"
"60507.71380018" "63000001.90726245194674"
"60507.71381082" "63000001.90935117006302"
"60507.71382149" "63000001.91146344691515"
"60507.71383215" "63000001.91359937936068"
"60507.71384282" "63000001.91575904190540"
"60507.71385351" "63000001.91794251650572"
"60507.71386418" "63000001.92014990001917"
"60507.71387485" "63000001.92238127440214"
"60507.71388552" "63000001.92463672161102"
"60507.71389619" "63000001.92691631615162"
"60507.71390688" "63000001.92922016233206"
"60507.71391755" "63000001.93154833465815"
"60507.71392822" "63000001.93390091508627"
"60507.71393887" "63000001.93627799302340"
"60507.71394953" "63000001.93867965042591"
"60507.71396022" "63000001.94110597670078"
"60507.71397089" "63000001.94355705380440"
"60507.71398156" "63000001.94603296369314"
"60507.71399222" "63000001.94853379577398"
"60507.71400290" "63000001.95105963200331"
"60507.71401357" "63000001.95361055433750"
"60507.71402425" "63000001.95618665963411"
"60507.71403490" "63000001.95878801494837"
"60507.71404559" "63000001.96141471713781"
"60507.71405625" "63000001.96406684815884"
"60507.71406691" "63000001.96674449741840"
"60507.71407759" "63000001.96944773942232"
"60507.71408825" "63000001.97217667102814"
"60507.71409892" "63000001.97493135929108"
"60507.71410959" "63000001.97771190851927"
"60507.71412026" "63000001.98051839321852"
"60507.71413093" "63000001.98335090279579"
"60507.71414161" "63000001.98620951175690"
"60507.71415228" "63000001.98909431695938"
"60507.71416295" "63000001.99200540035963"
"60507.71417362" "63000001.99494284391403"
"60507.71418429" "63000001.99790672957897"
"60507.71419496" "63000002.00089715421200"
"60507.71420563" "63000002.00391418486834"
"60507.71421630" "63000002.00695791840553"
"60507.71422761" "63000002.01002843677998"
"60507.71423766" "63000002.01312582939863"
"60507.71424832" "63000002.01625017076731"
"60507.71425899" "63000002.01940155774355"
"60507.71426965" "63000002.02258006483316"
"60507.71428032" "63000002.02578578144312"
"60507.71429101" "63000002.02901878952980"
"60507.71430166" "63000002.03227917104959"
"60507.71431233" "63000002.03556702286005"
"60507.71432301" "63000002.03888242691755"
"60507.71433367" "63000002.04222545772791"
"60507.71434434" "63000002.04559620469809"
"60507.71435501" "63000002.04899474978447"
"60507.71436569" "63000002.05242118984461"
"60507.71437635" "63000002.05587559938431"
"60507.71438702" "63000002.05935806035995"
"60507.71439770" "63000002.06286866962910"
"60507.71440837" "63000002.06640750169754"
"60507.71441904" "63000002.06924021244049"
"60507.71442971" "63000002.07241097092628"
"60507.71444037" "63000002.07047151029110"
"60507.71445104" "63000002.06504275649786"
"60507.71446173" "63000002.06100522726774"
"60507.71447238" "63000002.05561703443527"
"60507.71448306" "63000002.05512415617704"
"60507.71449372" "63000002.05658113211393"
"60507.71450441" "63000002.06064627319574"
"60507.71451506" "63000002.07452516257763"
"60507.71452574" "63000002.07885540276766"
"60507.71453640" "63000002.08305867761374"
"60507.71454708" "63000002.07822954654694"
"60507.71455775" "63000002.06284420937300"
"60507.71456841" "63000002.05138084292412"
"60507.71457909" "63000002.04566655308008"
"60507.71458977" "63000002.03786933422089"
"60507.71460043" "63000002.03900904208422"
"60507.71461110" "63000002.04492209106684"
"60507.71462177" "63000002.05093024671078"
"60507.71463245" "63000002.05865968763828"
"60507.71464311" "63000002.06646320223808"
"60507.71465378" "63000002.07491903752089"
"60507.71466446" "63000002.08192750811577"
"60507.71467512" "63000002.08075430989265"
"60507.71468581" "63000002.05818050354719"
"60507.71469646" "63000002.03200131654739"
"60507.71470713" "63000002.00895179063082"
"60507.71471780" "63000001.98897986859083"
"60507.71472847" "63000001.96896464377642"
"60507.71473916" "63000001.94997632503510"
"60507.71474982" "63000001.93629431724548"
"60507.71476049" "63000001.94022408872843"
"60507.71477117" "63000001.97215165942907"
"60507.71478183" "63000002.00139944255352"
"60507.71479250" "63000002.02967179566622"
"60507.71480318" "63000002.04879891872406"
"60507.71481383" "63000002.06558383256197"
"60507.71482450" "63000002.08405035734177"
"60507.71483518" "63000002.08987738937140"
"60507.71484585" "63000002.07315071672201"
"60507.71485652" "63000002.03304987400770"
"60507.71486719" "63000001.99516033381224"
"60507.71487787" "63000001.96087654680014"
"60507.71488854" "63000001.94087658822536"
"60507.71489921" "63000001.92333543300629"
"60507.71490988" "63000001.90988098084927"
"60507.71492055" "63000001.89785087853670"
"60507.71493122" "63000001.90256807953119"
"60507.71494188" "63000001.92525573819876"
"60507.71495255" "63000001.95297465473413"
"60507.71496324" "63000001.98144470900297"
"60507.71497390" "63000002.00151717662811"
"60507.71498457" "63000002.00974243879318"
"60507.71499524" "63000002.02303897589445"
"60507.71500591" "63000002.04609342664480"
"60507.71501658" "63000002.04507818073034"
"60507.71502726" "63000002.01425578445196"
"60507.71503791" "63000001.99048906564713"
"60507.71504860" "63000001.98096727579832"
"60507.71505926" "63000001.96972667425871"
"60507.71506992" "63000001.96503823250532"
"60507.71508059" "63000001.95271331816912"
"60507.71509127" "63000001.93979230523109"
"60507.71510194" "63000001.92615727335215"
"60507.71511261" "63000001.91792240738869"
"60507.71512328" "63000001.91074889898300"
"60507.71513395" "63000001.90405903011560"
"60507.71514463" "63000001.89790847152472"
"60507.71515529" "63000001.89561720192432"
"60507.71516597" "63000001.89443892985582"
"60507.71517664" "63000001.89454492181540"
"60507.71518731" "63000001.90108700841665"
"60507.71519796" "63000001.90717250108719"
"60507.71520863" "63000001.91877873986959"
"60507.71521931" "63000001.92753714323044"
"60507.71522999" "63000001.93545236438513"
"60507.71524066" "63000001.93379327654839"
"60507.71525133" "63000001.93694096058607"
"60507.71526200" "63000001.93567354232073"
"60507.71527267" "63000001.93287803232670"
"60507.71528335" "63000001.92114373296499"
"60507.71529401" "63000001.90862376987934"
"60507.71530469" "63000001.89221305400133"
"60507.71531535" "63000001.88238938897848"
"60507.71532601" "63000001.87701483815908"
"60507.71533669" "63000001.87562107294798"
"60507.71534735" "63000001.87493962049484"
"60507.71535803" "63000001.88608775287867"
"60507.71536870" "63000001.90820474922657"
"60507.71537937" "63000001.93092837184668"
"60507.71539003" "63000001.94170808047056"
"60507.71540071" "63000001.94691202044487"
"60507.71541139" "63000001.94469479471445"
"60507.71542205" "63000001.94078440219164"
"60507.71543272" "63000001.94256502389908"
"60507.71544340" "63000001.94875861704350"
"60507.71545406" "63000001.95230261236429"
"60507.71546473" "63000001.95343527942896"
"60507.71547540" "63000001.94637110084295"
"60507.71548607" "63000001.93399930000305"
"60507.71549674" "63000001.92947856336832"
"60507.71550741" "63000001.90655979514122"
"60507.71551809" "63000001.87182357162237"
"60507.71552876" "63000001.84898561984301"
"60507.71553943" "63000001.82963414490223"
"60507.71555010" "63000001.81403256207705"
"60507.71556077" "63000001.78837210685015"
"60507.71557145" "63000001.79078162461519"
"60507.71558211" "63000001.82155108451843"
"60507.71559277" "63000001.84935279935598"
"60507.71560344" "63000001.86814250797033"
"60507.71561411" "63000001.89435698837042"
"60507.71562479" "63000001.91396307200193"
"60507.71563546" "63000001.93340755254030"
"60507.71564613" "63000001.95164821296930"
"60507.71565680" "63000001.94795627892017"
"60507.71566747" "63000001.91980104893446"
"60507.71567814" "63000001.89743514358997"
"60507.71568883" "63000001.89142556488514"
"60507.71569949" "63000001.88986331224442"
"60507.71571015" "63000001.89184669405222"
"60507.71572083" "63000001.89248283207417"
"60507.71573149" "63000001.88673309236765"
"60507.71574216" "63000001.87746347486973"
"60507.71575284" "63000001.87629491090775"
"60507.71576351" "63000001.87913677096367"
"60507.71577417" "63000001.89056439697742"
"60507.71578486" "63000001.90608473122120"
"60507.71579552" "63000001.92746253311634"
"60507.71580620" "63000001.94279383867979"
"60507.71581686" "63000001.95502131432295"
"60507.71582752" "63000001.94886654615402"
"60507.71583819" "63000001.92771134525537"
"60507.71584886" "63000001.90752422064543"
"60507.71585953" "63000001.89598480612040"
"60507.71587020" "63000001.88594168424606"
"60507.71588087" "63000001.87808702141047"
"60507.71589154" "63000001.87235989421606"
"60507.71590222" "63000001.86757213622332"
"60507.71591289" "63000001.87314487993717"
"60507.71592357" "63000001.89544788748026"
"60507.71593423" "63000001.91143809258938"
"60507.71594491" "63000001.92079757153988"
"60507.71595558" "63000001.92469193786383"
"60507.71596624" "63000001.92229343950748"
"60507.71597691" "63000001.91958789527416"
"60507.71598758" "63000001.92328052222729"
"60507.71599824" "63000001.92666717618704"
"60507.71600892" "63000001.92912779003382"
"60507.71601959" "63000001.92654521763325"
"60507.71603027" "63000001.92680027335882"
"60507.71604094" "63000001.92247939109802"
"60507.71605161" "63000001.91370575129986"
"60507.71606228" "63000001.91140396147966"
"60507.71607295" "63000001.91234713047743"
"60507.71608363" "63000001.91182294487953"
"60507.71609428" "63000001.91744334995747"
"60507.71610495" "63000001.92779268324375"
"60507.71611562" "63000001.93990246206522"
"60507.71612629" "63000001.94559231400490"
"60507.71613697" "63000001.95186582952738"
"60507.71614764" "63000001.95669689029455"
"60507.71615832" "63000001.96757406741381"
"60507.71616898" "63000001.96915141493082"
"60507.71617965" "63000001.96060224622488"
"60507.71619033" "63000001.94873835146427"
"60507.71620099" "63000001.95260854065418"
"60507.71621165" "63000001.96638258546591"
"60507.71622234" "63000001.98773951828480"
"60507.71623300" "63000002.00854836404324"
"60507.71624367" "63000002.02393943071365"
"60507.71625434" "63000002.02659039199352"
"60507.71626501" "63000002.02621727436781"
"60507.71627568" "63000002.02775734663010"
"60507.71628636" "63000002.03011164814234"
"60507.71629703" "63000002.02480115741491"
"60507.71630770" "63000002.01008269935846"
"60507.71631836" "63000001.99439036846161"
"60507.71632904" "63000001.98093517124653"
"60507.71633970" "63000001.97302600741386"
"60507.71635037" "63000001.96838651597500"
"60507.71636106" "63000001.97030686587095"
"60507.71637174" "63000001.97434239089489"
"60507.71638239" "63000001.98154491186142"
"60507.71639306" "63000001.99257843941450"
"60507.71640373" "63000002.00701461732388"
"60507.71641441" "63000002.02016087621450"
"60507.71642507" "63000002.01875392347574"
"60507.71643574" "63000002.00214191526175"
"60507.71644641" "63000001.98625454306602"
"60507.71645707" "63000001.97596739232540"
"60507.71646776" "63000001.95820681005716"
"60507.71647842" "63000001.93673974275589"
"60507.71648909" "63000001.91700008511543"
"60507.71649977" "63000001.90481948852539"
"60507.71651043" "63000001.90900361537933"
