07/16/2024	11:01:52	(analyzed:  7/16/2024)
MJD	timer	SDR:frep_TiS	fo_TiS	fb_Si_TiS	fb_Al_TiS	fb_Yb_TiS
60507.710630	85834.000000	379043.156847	10000000.000030	640000000.003000	43723673.798700	142219674.151200
60507.710642	86890.000000	379043.156916	10000000.000010	640000000.001000	43723675.094600	142219674.160900
60507.710654	87946.000000	379043.157185	9999999.999970	639999999.998000	43723674.326000	142219674.142900
60507.710667	89001.000000	379043.157050	9999999.999850	640000000.001000	43723674.880800	142219674.154200
60507.710679	90058.000000	379043.156903	9999999.999950	639999999.996000	43723674.283800	142219674.156100
60507.710691	91113.000000	379043.156946	10000000.000090	639999999.997000	43723674.214100	142219674.159900
60507.710703	92168.000000	379043.156822	10000000.000040	639999999.999000	43723675.273800	142219674.149800
60507.710716	93224.000000	379043.156974	9999999.999920	639999999.999000	43723673.437400	142219674.167100
60507.710728	94281.000000	379043.156979	10000000.000170	639999999.999000	43723673.773500	142219674.163600
60507.710740	95335.000000	379043.156989	9999999.999850	640000000.000000	43723675.183100	142219674.164900
60507.710752	96390.000000	379043.157095	10000000.000020	640000000.001000	43723675.984400	142219674.136400
60507.710764	97446.000000	379043.157209	10000000.000090	639999999.999000	43723675.680600	142219674.150900
60507.710777	98501.000000	379043.157007	10000000.000000	640000000.001000	43723674.851000	142219674.156000
60507.710789	99557.000000	379043.156616	9999999.999950	640000000.000000	43723675.887200	142219674.170900
60507.710801	100611.000000	379043.156922	9999999.999920	640000000.000000	43723675.052300	142219674.144400
60507.710813	101665.000000	379043.156999	9999999.999910	640000000.001000	43723676.565100	142219674.158700
60507.710825	102721.000000	379043.157359	9999999.999990	639999999.997000	43723675.518500	142219674.157000
60507.710838	103776.000000	379043.156845	10000000.000060	639999999.999000	43723675.665500	142219674.145100
60507.710850	104832.000000	379043.156824	9999999.999970	640000000.001000	43723676.738900	142219674.153700
60507.710862	105887.000000	379043.156909	9999999.999980	640000000.001000	43723675.998700	142219674.146800
60507.710874	106942.000000	379043.157057	9999999.999980	640000000.002000	43723676.069100	142219674.151400
60507.710887	107999.000000	379043.157073	9999999.999950	640000000.000000	43723676.867900	142219674.146400
60507.710899	109055.000000	379043.157055	10000000.000130	640000000.001000	43723675.316700	142219674.160700
60507.710911	110110.000000	379043.156843	10000000.000010	640000000.001000	43723675.757700	142219674.153700
60507.710923	111166.000000	379043.157372	10000000.000020	640000000.001000	43723676.020500	142219674.167100
60507.710935	112221.000000	379043.157044	9999999.999940	639999999.998000	43723676.847700	142219674.150800
60507.710948	113275.000000	379043.156804	10000000.000050	640000000.001000	43723676.193900	142219674.170400
60507.710960	114332.000000	379043.157026	10000000.000110	639999999.998000	43723676.178900	142219674.146900
60507.710972	115389.000000	379043.157357	9999999.999910	640000000.002000	43723677.380000	142219674.150600
60507.710984	116443.000000	379043.157008	10000000.000030	640000000.000000	43723676.665000	142219674.161800
60507.710996	117498.000000	379043.156775	9999999.999960	639999999.999000	43723676.478300	142219674.148700
60507.711009	118552.000000	379043.156804	9999999.999980	640000000.003000	43723676.923700	142219674.154600
60507.711021	119608.000000	379043.157175	10000000.000020	640000000.002000	43723677.686000	142219674.153600
60507.711033	120664.000000	379043.157040	9999999.999980	640000000.000000	43723677.034700	142219674.157600
60507.711045	121719.000000	379043.157244	10000000.000030	639999999.997000	43723677.674700	142219674.151700
60507.711058	122773.000000	379043.156926	10000000.000090	640000000.001000	43723676.597000	142219674.146400
60507.711070	123831.000000	379043.156807	10000000.000010	639999999.999000	43723678.238700	142219674.135800
60507.711082	124885.000000	379043.157170	10000000.000100	639999999.999000	43723677.479900	142219674.171800
60507.711094	125941.000000	379043.157086	10000000.000120	640000000.000000	43723677.950100	142219674.161900
60507.711106	126996.000000	379043.157126	9999999.999950	640000000.000000	43723678.302800	142219674.163500
60507.711119	128051.000000	379043.157149	10000000.000080	640000000.004000	43723677.391600	142219674.149100
60507.711131	129106.000000	379043.157104	10000000.000060	640000000.002000	43723678.148600	142219674.154600
60507.711143	130161.000000	379043.157202	9999999.999950	639999999.998000	43723678.344300	142219674.157100
60507.711155	131217.000000	379043.156899	10000000.000000	639999999.999000	43723677.794200	142219674.146300
60507.711167	132273.000000	379043.157031	10000000.000050	639999999.999000	43723678.579300	142219674.165400
60507.711180	133328.000000	379043.157028	10000000.000090	639999999.997000	43723678.561300	142219674.147100
60507.711192	134384.000000	379043.157112	9999999.999980	640000000.003000	43723678.749000	142219674.150000
60507.711204	135442.000000	379043.157088	9999999.999870	639999999.999000	43723678.628800	142219674.157800
60507.711216	136499.000000	379043.156835	9999999.999920	640000000.001000	43723678.242500	142219674.179700
60507.711229	137556.000000	379043.156983	10000000.000190	639999999.998000	43723679.637200	142219674.135500
60507.711241	138613.000000	379043.157211	10000000.000040	640000000.000000	43723679.250800	142219674.167400
60507.711253	139668.000000	379043.157034	9999999.999960	640000000.000000	43723679.716100	142219674.121900
60507.711265	140724.000000	379043.156931	9999999.999990	639999999.998000	43723679.186200	142219674.165300
60507.711278	141782.000000	379043.156989	10000000.000020	640000000.004000	43723679.661500	142219674.159500
60507.711290	142837.000000	379043.157003	9999999.999890	640000000.000000	43723679.109500	142219674.142200
60507.711302	143893.000000	379043.157071	10000000.000100	639999999.999000	43723679.566300	142219674.142800
60507.711314	144948.000000	379043.157269	10000000.000020	639999999.999000	43723679.280500	142219674.162000
60507.711326	146003.000000	379043.156902	9999999.999980	640000000.001000	43723679.393900	142219674.160200
60507.711339	147059.000000	379043.156908	9999999.999960	639999999.998000	43723679.517800	142219674.149500
60507.711351	148114.000000	379043.156967	9999999.999990	640000000.003000	43723679.659700	142219674.152500
60507.711363	149172.000000	379043.156777	10000000.000140	640000000.002000	43723679.718100	142219674.151000
60507.711375	150227.000000	379043.157054	9999999.999990	639999999.998000	43723678.993700	142219674.154300
60507.711387	151283.000000	379043.157162	10000000.000060	639999999.999000	43723680.123600	142219674.147900
60507.711400	152339.000000	379043.156981	10000000.000000	640000000.005000	43723679.859600	142219674.151100
60507.711412	153395.000000	379043.156971	10000000.000150	640000000.002000	43723679.866000	142219674.156100
60507.711424	154451.000000	379043.157036	9999999.999990	640000000.000000	43723680.627500	142219674.161900
60507.711436	155507.000000	379043.157267	10000000.000080	639999999.999000	43723681.474800	142219674.144000
60507.711449	156562.000000	379043.156878	10000000.000120	639999999.998000	43723680.262300	142219674.132600
60507.711461	157617.000000	379043.156654	9999999.999950	640000000.000000	43723680.262600	142219674.173100
60507.711473	158672.000000	379043.157370	9999999.999930	640000000.000000	43723680.489900	142219674.146300
60507.711485	159727.000000	379043.156910	9999999.999960	639999999.999000	43723681.763800	142219674.163200
60507.711497	160782.000000	379043.156999	9999999.999880	640000000.002000	43723680.087700	142219674.154000
60507.711510	161839.000000	379043.156973	10000000.000040	640000000.001000	43723681.149100	142219674.157700
60507.711522	162893.000000	379043.156930	10000000.000100	640000000.001000	43723680.897600	142219674.149300
60507.711534	163949.000000	379043.157145	9999999.999950	640000000.001000	43723681.482200	142219674.156100
60507.711546	165004.000000	379043.156891	9999999.999960	640000000.003000	43723681.847100	142219674.138900
60507.711559	166060.000000	379043.157133	10000000.000140	640000000.000000	43723682.872200	142219674.158000
60507.711571	167118.000000	379043.157060	10000000.000000	639999999.999000	43723680.792300	142219674.171600
60507.711583	168173.000000	379043.157053	9999999.999990	640000000.001000	43723681.433300	142219674.146600
60507.711595	169229.000000	379043.157225	9999999.999980	640000000.000000	43723682.503700	142219674.153000
60507.711607	170284.000000	379043.156955	10000000.000100	640000000.002000	43723682.529700	142219674.169700
60507.711620	171342.000000	379043.157042	10000000.000120	639999999.997000	43723682.124000	142219674.152300
60507.711632	172396.000000	379043.156925	10000000.000000	640000000.001000	43723682.938800	142219674.156000
60507.711644	173451.000000	379043.156811	10000000.000000	640000000.000000	43723682.417000	142219674.156700
60507.711656	174505.000000	379043.157033	10000000.000000	640000000.001000	43723682.510500	142219674.146500
60507.711668	175561.000000	379043.157224	9999999.999960	640000000.001000	43723683.175500	142219674.153700
60507.711681	176617.000000	379043.157147	9999999.999930	640000000.000000	43723683.586200	142219674.161700
60507.711693	177672.000000	379043.157052	9999999.999980	639999999.996000	43723682.473100	142219674.155700
60507.711705	178727.000000	379043.157263	10000000.000050	640000000.000000	43723683.723800	142219674.158400
60507.711717	179783.000000	379043.157214	9999999.999920	640000000.000000	43723682.191100	142219674.140400
60507.711730	180839.000000	379043.156877	10000000.000100	640000000.001000	43723683.419300	142219674.160800
60507.711742	181895.000000	379043.156617	10000000.000010	639999999.995000	43723683.096500	142219674.142600
60507.711754	182950.000000	379043.157055	9999999.999940	640000000.004000	43723683.070900	142219674.164100
60507.711766	184004.000000	379043.157411	9999999.999940	640000000.002000	43723684.242600	142219674.139600
60507.711778	185060.000000	379043.157165	10000000.000050	639999999.999000	43723683.309300	142219674.158100
60507.711791	186115.000000	379043.156894	10000000.000140	640000000.002000	43723683.320900	142219674.154000
60507.711803	187172.000000	379043.157280	10000000.000030	640000000.002000	43723684.561900	142219674.139200
60507.711815	188226.000000	379043.156725	10000000.000090	639999999.997000	43723683.766900	142219674.151900
60507.711827	189281.000000	379043.157156	9999999.999970	639999999.999000	43723683.581100	142219674.158200
60507.711840	190337.000000	379043.156870	10000000.000030	640000000.002000	43723683.933500	142219674.149300
60507.711852	191392.000000	379043.157258	10000000.000050	640000000.000000	43723683.039600	142219674.165300
60507.711864	192448.000000	379043.156704	9999999.999920	639999999.999000	43723684.285200	142219674.152300
60507.711876	193502.000000	379043.157069	9999999.999920	640000000.001000	43723683.929300	142219674.150300
60507.711888	194557.000000	379043.157403	9999999.999900	640000000.003000	43723684.911900	142219674.142300
60507.711901	195613.000000	379043.156793	10000000.000080	640000000.002000	43723684.726500	142219674.160600
60507.711913	196670.000000	379043.157104	10000000.000020	640000000.002000	43723686.023200	142219674.159300
60507.711925	197727.000000	379043.157033	10000000.000010	639999999.997000	43723685.015900	142219674.155500
60507.711937	198783.000000	379043.157196	9999999.999980	639999999.995000	43723684.686500	142219674.149700
60507.711950	199846.000000	379043.157220	9999999.999980	640000000.002000	43723685.523300	142219674.149200
60507.711962	200901.000000	379043.156978	10000000.000080	639999999.996000	43723685.843300	142219674.154600
60507.711974	201954.000000	379043.156700	10000000.000000	639999999.998000	43723685.537700	142219674.154200
60507.711986	203010.000000	379043.157205	9999999.999960	640000000.001000	43723685.823100	142219674.150300
60507.711998	204066.000000	379043.157183	10000000.000090	640000000.006000	43723685.548900	142219674.147000
60507.712011	205122.000000	379043.157030	10000000.000090	640000000.001000	43723686.490900	142219674.154600
60507.712023	206180.000000	379043.157013	9999999.999950	639999999.996000	43723685.979900	142219674.149800
60507.712035	207235.000000	379043.156896	9999999.999940	639999999.997000	43723684.973600	142219674.147400
60507.712047	208292.000000	379043.157227	9999999.999960	640000000.001000	43723685.312000	142219674.142300
60507.712060	209363.000000	379043.157148	10000000.000050	640000000.002000	43723686.203900	142219674.157600
60507.712072	210418.000000	379043.156819	9999999.999980	639999999.994000	43723685.668200	142219674.164100
60507.712084	211473.000000	379043.157155	10000000.000000	639999999.998000	43723686.545200	142219674.150300
60507.712096	212530.000000	379043.156988	9999999.999980	639999999.996000	43723687.429600	142219674.142400
60507.712109	213586.000000	379043.157087	10000000.000120	640000000.001000	43723686.944800	142219674.159700
60507.712121	214641.000000	379043.157041	9999999.999980	639999999.999000	43723686.682700	142219674.145300
60507.712133	215698.000000	379043.156702	10000000.000000	640000000.004000	43723686.831500	142219674.142000
60507.712145	216753.000000	379043.157144	9999999.999880	640000000.000000	43723687.515600	142219674.163100
60507.712157	217809.000000	379043.156822	9999999.999960	639999999.996000	43723687.127700	142219674.154900
60507.712170	218865.000000	379043.157115	10000000.000010	640000000.007000	43723686.310600	142219674.147100
60507.712182	219928.000000	379043.157167	9999999.999890	640000000.003000	43723688.104300	142219674.147300
60507.712194	220984.000000	379043.157337	9999999.999990	640000000.002000	43723687.769900	142219674.166300
60507.712206	222040.000000	379043.156536	9999999.999980	640000000.002000	43723687.694200	142219674.150800
60507.712219	223096.000000	379043.157205	10000000.000100	639999999.997000	43723687.294400	142219674.158700
60507.712231	224154.000000	379043.156717	10000000.000080	640000000.004000	43723688.361800	142219674.149900
60507.712243	225209.000000	379043.157191	10000000.000060	639999999.998000	43723688.355100	142219674.149300
60507.712255	226265.000000	379043.157162	10000000.000050	640000000.001000	43723688.226700	142219674.156100
60507.712268	227320.000000	379043.156948	9999999.999970	639999999.998000	43723688.826800	142219674.163000
60507.712280	228377.000000	379043.156736	9999999.999900	639999999.996000	43723688.896900	142219674.153300
60507.712292	229430.000000	379043.157010	10000000.000050	639999999.998000	43723688.001100	142219674.159100
60507.712304	230486.000000	379043.157310	9999999.999950	640000000.001000	43723688.937800	142219674.154100
60507.712316	231545.000000	379043.157189	10000000.000010	639999999.999000	43723688.165100	142219674.145300
60507.712329	232598.000000	379043.157063	10000000.000000	640000000.000000	43723688.400300	142219674.144600
60507.712341	233655.000000	379043.156873	10000000.000120	640000000.000000	43723689.310200	142219674.165500
60507.712353	234710.000000	379043.156935	10000000.000190	640000000.000000	43723689.792100	142219674.143100
60507.712365	235767.000000	379043.156990	10000000.000170	640000000.002000	43723689.225500	142219674.152200
60507.712378	236825.000000	379043.157162	9999999.999970	639999999.995000	43723688.799700	142219674.142400
60507.712390	237880.000000	379043.156901	9999999.999990	640000000.002000	43723689.400100	142219674.140800
60507.712402	238936.000000	379043.157108	9999999.999940	639999999.999000	43723689.658200	142219674.140500
60507.712414	239993.000000	379043.157168	10000000.000040	640000000.000000	43723689.940900	142219674.162600
60507.712427	241064.000000	379043.156897	10000000.000060	640000000.002000	43723690.113600	142219674.162900
60507.712439	242119.000000	379043.156860	9999999.999870	640000000.003000	43723690.105100	142219674.162800
60507.712451	243173.000000	NaN	10000000.000050	640000000.002000	43723689.962800	142219674.160200
60507.712463	244229.000000	379043.156817	10000000.000020	640000000.001000	43723690.213300	142219674.143400
60507.712475	245284.000000	379043.156987	9999999.999820	640000000.002000	43723691.514300	142219674.154700
60507.712488	246343.000000	379043.156930	9999999.999930	640000000.002000	43723691.075700	142219674.167300
60507.712500	247398.000000	379043.156926	10000000.000060	640000000.001000	43723690.333300	142219674.167400
60507.712512	248454.000000	379043.157160	10000000.000030	639999999.997000	43723690.790100	142219674.156700
60507.712524	249510.000000	379043.157215	10000000.000030	640000000.003000	43723691.562800	142219674.149800
60507.712537	250568.000000	NaN	9999999.999990	639999999.996000	43723691.164300	142219674.146700
60507.712549	251625.000000	379043.156849	10000000.000020	640000000.003000	43723690.442600	142219674.161700
60507.712561	252682.000000	379043.156959	10000000.000020	640000000.002000	43723691.092700	142219674.145000
60507.712573	253736.000000	379043.157056	9999999.999990	640000000.002000	43723691.178500	142219674.147100
60507.712586	254792.000000	379043.156966	9999999.999940	639999999.999000	43723691.074700	142219674.152800
60507.712598	255848.000000	379043.157054	9999999.999970	640000000.000000	43723692.127900	142219674.169300
60507.712610	256905.000000	379043.156888	10000000.000010	640000000.006000	43723690.892500	142219674.158600
60507.712622	257961.000000	379043.156904	9999999.999840	639999999.997000	43723692.317300	142219674.152800
60507.712634	259016.000000	379043.157295	9999999.999990	640000000.001000	43723691.211200	142219674.161400
60507.712647	260071.000000	379043.157056	9999999.999940	639999999.996000	43723691.992000	142219674.139900
60507.712659	261126.000000	379043.156824	9999999.999980	640000000.002000	43723692.342400	142219674.132000
60507.712671	262186.000000	379043.157097	10000000.000080	639999999.997000	43723692.536700	142219674.121700
60507.712683	263240.000000	379043.156865	10000000.000060	640000000.002000	43723692.422400	142219674.137700
60507.712696	264296.000000	379043.156734	10000000.000020	640000000.000000	43723692.219600	142219674.161700
60507.712708	265351.000000	379043.157368	9999999.999990	640000000.000000	43723692.158100	142219674.145200
60507.712720	266406.000000	379043.156892	10000000.000100	640000000.000000	43723692.474000	142219674.168600
60507.712732	267463.000000	379043.157098	9999999.999840	640000000.002000	43723693.222200	142219674.137900
60507.712744	268516.000000	379043.156901	9999999.999980	639999999.998000	43723692.037600	142219674.152400
60507.712757	269575.000000	379043.156940	9999999.999940	640000000.001000	43723692.171700	142219674.159600
60507.712769	270630.000000	379043.157201	10000000.000040	639999999.999000	43723692.793100	142219674.147900
60507.712781	271686.000000	379043.157166	9999999.999960	640000000.003000	43723691.363400	142219674.141600
60507.712793	272743.000000	379043.156985	9999999.999970	639999999.999000	43723691.666000	142219674.142000
60507.712806	273799.000000	379043.157034	9999999.999990	640000000.000000	43723692.631400	142219674.152600
60507.712818	274856.000000	379043.157009	10000000.000010	640000000.000000	43723694.153000	142219674.140200
60507.712830	275914.000000	379043.157192	10000000.000110	639999999.997000	43723692.264600	142219674.157700
60507.712842	276969.000000	379043.157106	9999999.999990	640000000.001000	43723693.696700	142219674.172900
60507.712854	278024.000000	379043.156862	9999999.999930	639999999.997000	43723693.301200	142219674.148500
60507.712867	279080.000000	379043.157165	10000000.000000	640000000.002000	43723693.877600	142219674.160100
60507.712879	280137.000000	379043.157000	9999999.999870	640000000.004000	43723692.392900	142219674.162700
60507.712891	281193.000000	379043.156905	9999999.999990	640000000.002000	43723695.277300	142219674.137000
60507.712903	282249.000000	379043.157215	9999999.999940	639999999.993000	43723693.262800	142219674.168000
60507.712916	283303.000000	379043.156861	10000000.000010	640000000.000000	43723693.315500	142219674.157000
60507.712928	284359.000000	379043.156958	9999999.999940	640000000.000000	43723692.846000	142219674.150100
60507.712940	285414.000000	379043.157014	10000000.000000	639999999.999000	43723694.156700	142219674.148400
60507.712952	286469.000000	379043.157070	10000000.000100	640000000.001000	43723694.137400	142219674.171200
60507.712964	287526.000000	379043.157169	9999999.999980	640000000.000000	43723694.130000	142219674.130400
60507.712977	288582.000000	379043.157250	9999999.999960	639999999.997000	43723694.400100	142219674.146700
60507.712989	289640.000000	379043.156806	10000000.000110	640000000.001000	43723695.053700	142219674.141700
60507.713001	290695.000000	379043.156898	10000000.000020	639999999.999000	43723693.973300	142219674.151700
60507.713013	291751.000000	379043.157374	10000000.000020	640000000.005000	43723694.821900	142219674.152500
60507.713026	292809.000000	379043.156866	9999999.999960	639999999.995000	43723695.120000	142219674.154700
60507.713038	293865.000000	379043.157256	10000000.000050	639999999.999000	43723695.230600	142219674.158000
60507.713050	294920.000000	379043.156763	10000000.000060	639999999.998000	43723695.615900	142219674.163100
60507.713062	295977.000000	379043.157026	10000000.000020	640000000.002000	43723694.847400	142219674.143800
60507.713074	297031.000000	379043.157403	10000000.000020	639999999.998000	43723695.315800	142219674.166500
60507.713087	298086.000000	379043.156847	10000000.000040	639999999.999000	43723696.822700	142219674.148600
60507.713099	299143.000000	379043.156916	10000000.000080	639999999.999000	43723695.648100	142219674.152800
60507.713111	300200.000000	379043.157061	9999999.999830	639999999.998000	43723696.204700	142219674.159200
60507.713123	301257.000000	379043.157174	10000000.000010	640000000.004000	43723695.475900	142219674.165400
60507.713136	302315.000000	379043.157079	10000000.000110	640000000.001000	43723695.260700	142219674.154200
60507.713148	303372.000000	379043.156745	10000000.000040	640000000.001000	43723696.264600	142219674.153700
60507.713160	304428.000000	379043.156792	9999999.999970	640000000.004000	43723695.984400	142219674.165600
60507.713172	305483.000000	379043.157373	10000000.000000	639999999.999000	43723696.062700	142219674.156300
60507.713184	306540.000000	379043.156872	9999999.999990	640000000.002000	43723696.712400	142219674.172500
60507.713197	307597.000000	379043.157047	9999999.999950	640000000.000000	43723696.537400	142219674.148500
60507.713209	308654.000000	379043.157000	9999999.999990	640000000.002000	43723696.386900	142219674.147900
60507.713221	309710.000000	379043.157047	10000000.000220	639999999.999000	43723697.000900	142219674.139000
60507.713233	310765.000000	379043.157074	9999999.999870	639999999.998000	43723697.730500	142219674.162400
60507.713246	311819.000000	379043.156849	10000000.000130	640000000.002000	43723696.650400	142219674.159500
60507.713258	312876.000000	379043.157303	10000000.000080	640000000.000000	43723696.999500	142219674.148300
60507.713270	313930.000000	379043.156773	9999999.999990	640000000.000000	43723697.058900	142219674.172600
60507.713282	314986.000000	379043.156802	10000000.000120	640000000.002000	43723698.929600	142219674.150600
