02/04/2025	11:38:50	(analyzed:  2/4/2025)
MJD	timer	SDR:frep_ErYb	fo_ErYb	fb_Si_ErYb	fb_Yb_ErYb	fb_Al_ErYb
60710.776975	45.000000	NaN	NaN	NaN	NaN	NaN
60710.776987	1105.000000	113927.228121	105000000.001300	99999999.998300	28855038.000040	22737008.000020
60710.776999	2163.000000	113927.228442	104999999.999500	100000000.000800	28855038.000000	22737008.000060
60710.777011	3218.000000	113927.228276	105000000.000200	100000000.000400	28855037.999690	22737007.999860
60710.777023	4275.000000	113927.228593	105000000.001000	99999999.999700	28855038.000300	22737008.000150
60710.777036	5332.000000	113927.228355	105000000.001000	100000000.000700	28855037.999860	22737008.000030
60710.777048	6387.000000	113927.228459	105000000.000600	99999999.998600	28855037.999860	22737008.000040
60710.777060	7445.000000	113927.228118	105000000.000300	100000000.000600	28855037.999980	22737007.999910
60710.777072	8502.000000	113927.228273	104999999.999100	99999999.999600	28855038.000270	22737007.999960
60710.777085	9556.000000	113927.228664	105000000.000900	99999999.999900	28855037.999990	22737007.999850
60710.777097	10613.000000	113927.228225	105000000.001200	100000000.000500	28855038.000010	22737008.000020
60710.777109	11671.000000	113927.228518	104999999.999100	99999999.998600	28855038.000210	22737007.999980
60710.777121	12729.000000	113927.228461	105000000.000900	99999999.999900	28855038.000080	22737007.999890
60710.777134	13785.000000	113927.228211	105000000.000800	100000000.000400	28855037.999910	22737007.999970
60710.777146	14842.000000	113927.228539	105000000.001200	100000000.000300	28855037.999840	22737007.999870
60710.777158	15899.000000	113927.228496	104999999.999300	100000000.000700	28855038.000010	22737008.000140
60710.777170	16955.000000	113927.228206	104999999.999600	99999999.998700	28855037.999910	22737008.000010
60710.777183	18013.000000	113927.228506	105000000.001700	100000000.000300	28855037.999580	22737008.000070
60710.777195	19070.000000	113927.228238	104999999.999600	100000000.000500	28855037.999920	22737007.999880
60710.777207	20126.000000	113927.228342	105000000.000100	99999999.999400	28855038.000280	22737007.999980
60710.777219	21183.000000	113927.228478	104999999.999900	100000000.001100	28855038.000080	22737008.000070
60710.777231	22241.000000	113927.228225	105000000.000000	99999999.998500	28855037.999520	22737007.999920
60710.777244	23298.000000	113927.228538	105000000.000400	100000000.000400	28855038.000080	22737007.999920
60710.777256	24356.000000	113927.228637	105000000.001900	100000000.000300	28855038.000690	22737008.000060
60710.777268	25411.000000	113927.228444	104999999.999300	100000000.000000	28855037.999750	22737007.999930
60710.777280	26470.000000	113927.228045	105000000.001100	100000000.000800	28855037.999510	22737008.000000
60710.777293	27526.000000	113927.228572	105000000.000700	99999999.998200	28855037.999930	22737008.000160
60710.777305	28581.000000	113927.228590	105000000.000300	100000000.000200	28855038.000320	22737008.000030
60710.777317	29637.000000	113927.228427	104999999.999700	100000000.000900	28855037.999570	22737008.000190
60710.777329	30694.000000	113927.228229	105000000.001400	99999999.999700	28855038.000130	22737008.000010
60710.777342	31751.000000	113927.228308	105000000.001000	100000000.000600	28855037.999690	22737008.000060
60710.777354	32808.000000	113927.228599	105000000.000300	99999999.998400	28855037.999570	22737008.000060
60710.777366	33863.000000	113927.228248	104999999.998800	100000000.000800	28855037.999780	22737008.000000
60710.777378	34919.000000	113927.228341	105000000.001100	99999999.999700	28855037.999990	22737007.999850
60710.777390	35976.000000	113927.228358	104999999.999700	100000000.000100	28855037.999860	22737008.000110
60710.777403	37033.000000	113927.228427	105000000.001100	100000000.000700	28855037.999640	22737008.000030
60710.777415	38091.000000	113927.228472	105000000.000800	99999999.998000	28855038.000090	22737008.000040
60710.777427	39147.000000	113927.228459	104999999.999900	100000000.000700	28855038.000530	22737008.000110
60710.777439	40204.000000	113927.228478	104999999.999800	100000000.000400	28855037.999920	22737007.999920
60710.777452	41261.000000	113927.228177	105000000.000000	99999999.999800	28855038.000130	22737007.999960
60710.777464	42317.000000	113927.228542	105000000.002100	100000000.000500	28855037.999810	22737008.000070
60710.777476	43373.000000	113927.228389	104999999.999600	99999999.998300	28855037.999800	22737008.000140
60710.777488	44430.000000	113927.228545	105000000.001300	100000000.000100	28855038.000000	22737007.999940
60710.777500	45484.000000	113927.228536	105000000.001000	100000000.000600	28855038.000860	22737007.999920
60710.777513	46542.000000	113927.228177	105000000.000300	99999999.999900	28855037.999890	22737008.000040
60710.777525	47599.000000	113927.228386	105000000.000300	100000000.001200	28855038.000640	22737008.000080
60710.777537	48656.000000	113927.228351	105000000.000400	99999999.998100	28855037.999530	22737008.000060
60710.777549	49713.000000	113927.228493	104999999.998800	99999999.999600	28855037.999450	22737008.000130
