# Readme Information 
# Data taken on 250318, analyzed on 03-Apr-2025 by script Saveshifts_forTara_v3_250318.m.
# Gravitational Redshift Corrected to Marker on floor of 1G104 labeled 811G104 
# Frequencies units of Hz. Maser ST008 references all synthesizers.
# v_yb_ideal=2*v_comb+f_shift 
# f_shift includes: Blackbody radation based on real time temperature measurement (avg shift = -1.2244), 2nd order zeeman based on real time B field measurement by atoms (avg shift = -0.0609), background gas collisions (avg shift = -0.0016), lattice AC stark shift (avg shift = -0.0006), probe AC stark shift (avg shift = 0.0000), graviational red shift (avg shift = 0.0791), and AOMs between atoms and combs (shift of 63000000)
# Run Duration 1.177784e+04 s, uptime fraction 9.514954e-01. 
t_mjd	   f_shift [Hz]  	IS_GOOD
   6.0752876198509999e+04	   6.3000003585318744e+07	   1.0000000000000000e+00	
   6.0752876211570001e+04	   6.3000003586183287e+07	   1.0000000000000000e+00	
   6.0752876224619999e+04	   6.3000003590988278e+07	   1.0000000000000000e+00	
   6.0752876237700002e+04	   6.3000003591642700e+07	   1.0000000000000000e+00	
   6.0752876250759997e+04	   6.3000003592635751e+07	   1.0000000000000000e+00	
   6.0752876263830003e+04	   6.3000003595877968e+07	   1.0000000000000000e+00	
   6.0752876276889998e+04	   6.3000003596751966e+07	   1.0000000000000000e+00	
   6.0752876289959997e+04	   6.3000003598583788e+07	   1.0000000000000000e+00	
   6.0752876303030003e+04	   6.3000003603675395e+07	   1.0000000000000000e+00	
   6.0752876316100002e+04	   6.3000003601520129e+07	   1.0000000000000000e+00	
   6.0752876329170002e+04	   6.3000003599974766e+07	   1.0000000000000000e+00	
   6.0752876342230004e+04	   6.3000003591899447e+07	   1.0000000000000000e+00	
   6.0752876355300003e+04	   6.3000003583049387e+07	   1.0000000000000000e+00	
   6.0752876368359997e+04	   6.3000003577385999e+07	   1.0000000000000000e+00	
   6.0752876381440001e+04	   6.3000003571010396e+07	   1.0000000000000000e+00	
   6.0752876394500003e+04	   6.3000003560563967e+07	   1.0000000000000000e+00	
   6.0752876407570002e+04	   6.3000003551848784e+07	   1.0000000000000000e+00	
   6.0752876420649998e+04	   6.3000003548341222e+07	   1.0000000000000000e+00	
   6.0752876433719997e+04	   6.3000003543705076e+07	   1.0000000000000000e+00	
   6.0752876446759998e+04	   6.3000003538778134e+07	   1.0000000000000000e+00	
   6.0752876459840001e+04	   6.3000003535853222e+07	   1.0000000000000000e+00	
   6.0752876472900003e+04	   6.3000003532131538e+07	   1.0000000000000000e+00	
   6.0752876485979999e+04	   6.3000003526056528e+07	   1.0000000000000000e+00	
   6.0752876499040001e+04	   6.3000003521205284e+07	   1.0000000000000000e+00	
   6.0752876512110000e+04	   6.3000003520673849e+07	   1.0000000000000000e+00	
   6.0752876525180000e+04	   6.3000003517425448e+07	   1.0000000000000000e+00	
   6.0752876538249999e+04	   6.3000003513964295e+07	   1.0000000000000000e+00	
   6.0752876551310001e+04	   6.3000003507399693e+07	   1.0000000000000000e+00	
   6.0752876564370003e+04	   6.3000003503823563e+07	   1.0000000000000000e+00	
   6.0752876577440002e+04	   6.3000003507741265e+07	   1.0000000000000000e+00	
   6.0752876590510001e+04	   6.3000003511990704e+07	   1.0000000000000000e+00	
   6.0752876604199999e+04	   6.3000003513569012e+07	   1.0000000000000000e+00	
   6.0752876616640002e+04	   6.3000003518735602e+07	   1.0000000000000000e+00	
   6.0752876629699997e+04	   6.3000003526867874e+07	   1.0000000000000000e+00	
   6.0752876642800002e+04	   6.3000003535913154e+07	   1.0000000000000000e+00	
   6.0752876655840002e+04	   6.3000003545490853e+07	   1.0000000000000000e+00	
   6.0752876668919998e+04	   6.3000003558365025e+07	   1.0000000000000000e+00	
   6.0752876681980000e+04	   6.3000003569749773e+07	   1.0000000000000000e+00	
   6.0752876695059997e+04	   6.3000003578547992e+07	   1.0000000000000000e+00	
   6.0752876708110001e+04	   6.3000003584314130e+07	   1.0000000000000000e+00	
   6.0752876721180000e+04	   6.3000003586443849e+07	   1.0000000000000000e+00	
   6.0752876734250000e+04	   6.3000003588915087e+07	   1.0000000000000000e+00	
   6.0752876747310002e+04	   6.3000003586043388e+07	   1.0000000000000000e+00	
   6.0752876760389998e+04	   6.3000003575664729e+07	   1.0000000000000000e+00	
   6.0752876773450000e+04	   6.3000003565833539e+07	   1.0000000000000000e+00	
   6.0752876786519999e+04	   6.3000003561413839e+07	   1.0000000000000000e+00	
   6.0752876799580001e+04	   6.3000003558206744e+07	   1.0000000000000000e+00	
   6.0752876812650000e+04	   6.3000003561057411e+07	   1.0000000000000000e+00	
   6.0752876825740001e+04	   6.3000003572129019e+07	   1.0000000000000000e+00	
   6.0752876838780001e+04	   6.3000003586016834e+07	   1.0000000000000000e+00	
   6.0752876851850000e+04	   6.3000003601428434e+07	   1.0000000000000000e+00	
   6.0752876864929996e+04	   6.3000003612315789e+07	   1.0000000000000000e+00	
   6.0752876878000003e+04	   6.3000003614279464e+07	   1.0000000000000000e+00	
   6.0752876891050000e+04	   6.3000003606018558e+07	   1.0000000000000000e+00	
   6.0752876904119999e+04	   6.3000003599988356e+07	   1.0000000000000000e+00	
   6.0752876917189998e+04	   6.3000003588719614e+07	   1.0000000000000000e+00	
   6.0752876930250000e+04	   6.3000003579588808e+07	   1.0000000000000000e+00	
   6.0752876943320000e+04	   6.3000003566939130e+07	   1.0000000000000000e+00	
   6.0752876956400003e+04	   6.3000003556808934e+07	   1.0000000000000000e+00	
   6.0752876969459998e+04	   6.3000003553128392e+07	   1.0000000000000000e+00	
