03/18/2025	11:49:38	(analyzed:  3/18/2025)
MJD	timer	SDR:frep_ErYb	fo_ErYb	fb_Si_ErYb	fb_Yb_ErYb	fb_Al_ErYb
60752.742806	46.000000	NaN	NaN	NaN	NaN	NaN
60752.742818	1108.000000	113927.228189	105000000.001300	100000000.000000	28854962.000480	22737008.000060
60752.742830	2164.000000	113927.228125	105000000.000600	100000000.000800	28854962.000240	22737008.000030
60752.742842	3221.000000	113927.228187	104999999.999700	99999999.998700	28854961.999520	22737008.000090
60752.742855	4278.000000	113927.228065	104999999.999600	100000000.000200	28854961.999140	22737007.999940
60752.742867	5336.000000	113927.228368	105000000.000400	100000000.000300	28854961.999720	22737008.000290
60752.742879	6393.000000	113927.228229	105000000.000500	99999999.999900	28854961.999960	22737007.999940
60752.742891	7450.000000	113927.228275	105000000.001400	100000000.000700	28854961.999580	22737007.999970
60752.742904	8507.000000	113927.227935	104999999.999700	99999999.998700	28854962.001070	22737008.000080
60752.742916	9564.000000	113927.228186	104999999.999800	100000000.000400	28854962.000130	22737007.999850
60752.742928	10622.000000	113927.228364	104999999.999900	99999999.999600	28854962.000480	22737008.000070
60752.742940	11678.000000	113927.228466	105000000.002000	100000000.000000	28854962.000200	22737007.999910
60752.742952	12734.000000	113927.227904	105000000.000300	100000000.000700	28854962.000030	22737008.000010
60752.742965	13791.000000	113927.228217	105000000.000700	99999999.998700	28854962.000060	22737008.000080
60752.742977	14847.000000	113927.227922	105000000.000700	100000000.000500	28854961.999280	22737007.999920
60752.742989	15903.000000	113927.228401	104999999.999100	99999999.999600	28854962.000660	22737008.000120
60752.743001	16960.000000	113927.228110	105000000.000100	99999999.999700	28854961.999810	22737008.000040
60752.743014	18017.000000	113927.228385	105000000.001100	100000000.000700	28854962.000110	22737008.000090
60752.743026	19074.000000	113927.228126	104999999.999800	99999999.999500	28854962.000180	22737008.000010
60752.743038	20130.000000	113927.228205	105000000.001500	100000000.000400	28854961.999730	22737008.000020
60752.743050	21187.000000	113927.228011	104999999.999600	99999999.999200	28854961.999740	22737007.999880
60752.743063	22243.000000	113927.228258	105000000.001700	100000000.000000	28854961.999590	22737008.000140
60752.743075	23300.000000	113927.228186	105000000.001100	100000000.000900	28854961.999890	22737007.999910
60752.743087	24357.000000	113927.228113	105000000.000400	99999999.999300	28854961.999810	22737008.000160
60752.743099	25414.000000	113927.228322	105000000.001000	100000000.000600	28854962.000900	22737007.999930
60752.743111	26470.000000	113927.228463	104999999.999000	99999999.998300	28854961.999210	22737008.000130
60752.743124	27528.000000	113927.228109	104999999.999300	100000000.000200	28854961.999690	22737007.999950
60752.743136	28584.000000	113927.228153	105000000.001500	100000000.000400	28854962.000920	22737008.000080
60752.743148	29639.000000	113927.228125	104999999.999900	99999999.999500	28854961.999270	22737008.000020
60752.743160	30696.000000	113927.228169	104999999.999800	100000000.000600	NaN	22737007.999890
60752.743173	31752.000000	113927.228259	105000000.001300	99999999.998700	28854962.000220	22737008.000130
60752.743185	32808.000000	113927.228127	104999999.999400	100000000.000100	28854962.001510	22737008.000090
60752.743197	33866.000000	113927.228093	105000000.000000	100000000.000700	28854962.000320	22737008.000040
60752.743209	34922.000000	113927.228327	105000000.001100	99999999.999300	28854961.999000	22737008.000060
60752.743222	35979.000000	113927.228015	105000000.000600	100000000.000900	28854962.000070	22737007.999920
60752.743234	37036.000000	113927.228397	105000000.001000	99999999.998500	NaN	22737008.000010
60752.743246	38092.000000	113927.228230	105000000.000800	100000000.000400	28854962.000980	22737007.999940
