Al/Sr = 2.162887127516663703
offset = ( 2024ratio - 2020ratio ) / 2020ratio
mjd	offset from 2020 ratio
60424.740941	4.472001723841911e-16
60424.740953	1.302789450407088e-16
60424.740966	2.6892541532568655e-16
60424.740978	7.977425445423326e-16
60424.74099	-3.7852939135294395e-16
60424.741002	4.601910189935843e-17
60424.741014	-1.161316664450234e-16
60424.741027	1.4205520927288095e-16
60424.741039	1.3896755170899887e-15
60424.741051	6.37626143036618e-16
60424.741063	-5.422312827930798e-16
60424.741076	-1.9203535692506913e-15
60424.741088	-2.9086075212940263e-15
60424.7411	-1.8396579720590827e-15
60424.741112	-3.1549593335482214e-16
60424.741124	3.0017054031128496e-16
60424.741136	-2.9539900912100534e-16
60424.741149	-1.1626948033189148e-15
60424.741161	-1.5908192676839032e-15
60424.741173	-1.104140113066349e-15
60424.741185	7.016077082401096e-16
60424.741197	6.959635258176008e-16
60424.74121	1.0306354487528965e-15
60424.741222	2.1822759148043592e-16
60424.741234	-2.117429550287393e-16
60424.741246	-1.3994661911314554e-15
60424.741258	-1.134008886551156e-15
60424.741271	4.307834966639153e-16
60424.741283	2.0907395443108534e-16
60424.741295	-3.840640452651638e-16
60424.741307	-6.267892877181846e-16
60424.741319	3.1846255927920274e-16
60424.741332	4.396626024377102e-16
60424.741344	-2.6632382959034557e-15
60424.741356	-2.351323561322466e-15
60424.741368	-2.4552270070644667e-15
60424.74138	-2.0648981221982844e-15
60424.741393	-1.033160563570733e-15
60424.741405	9.16342754041718e-16
60424.741417	1.1267894849433022e-15
60424.741429	1.0687678401092109e-15
60424.741441	1.2885757212212765e-15
60424.741454	1.0576820666659477e-15
60424.741466	1.2927625025635823e-15
60424.741478	1.890179361378858e-15
60424.74149	1.7561649757919398e-15
60424.741502	1.5028059148310585e-15
60424.741515	4.2922817371839366e-16
60424.741527	-4.1175584111618817e-17
60424.741539	3.88224426814677e-16
60424.741551	1.4898423731291886e-16
60424.741563	-3.688611735449211e-16
60424.741576	-6.005783849739945e-16
60424.741588	-4.944731706822553e-16
60424.7416	-1.1770667087020174e-16
60424.741612	7.734703366605112e-16
60424.741625	1.08742248768221e-16
60424.741637	-6.170342119069817e-16
60424.741649	-6.193010576728212e-16
60424.741661	-1.3127697671209725e-15
60424.741673	-2.723254625618285e-16
60424.741686	-4.6227477383342874e-18
60424.741698	-2.481359207626359e-16
60424.74171	-3.9298785382477217e-16
60424.741722	8.707863989677795e-16
60424.741734	1.0755799355651197e-15
60424.741747	9.958114365888963e-16
60424.741759	1.7999878372478804e-16
60424.741771	-7.716396542482736e-16
60424.741783	-1.0457466509609037e-15
60424.741795	-1.2990239030947089e-16
60424.741808	-1.6388989562344556e-16
60424.74182	-2.9475683325277373e-16
60424.741832	-3.2806159881060796e-17
60424.741844	-3.3634273559723487e-16
60424.741856	-6.82458585741723e-16
60424.741869	7.446353236255929e-16
60424.741881	7.083401659716042e-16
60424.741893	4.315016694119234e-16
60424.741905	-2.4854366441914956e-16
60424.741918	-7.76106756293073e-16
60424.74193	-6.643488740273755e-16
60424.741942	-9.771609942718645e-16
60424.741954	-2.63685515683761e-16
60424.741966	8.944218911474823e-16
60424.741979	1.2283317869057555e-15
60424.741991	8.222129512222079e-16
60424.742003	8.820011563716251e-16
60424.742015	1.3576548840408116e-15
60424.742027	1.015309880961914e-15
60424.74204	1.6706672365866029e-15
60424.742052	1.3325757801486544e-15
60424.742064	4.015337458289575e-16
60424.742076	-1.0950494468656698e-16
60424.742088	-1.792827857297017e-15
60424.742101	-2.718380221866988e-15
60424.742113	-1.8918792051942038e-15
60424.742125	-1.887389034345968e-15
60424.742137	-1.504108364348262e-15
60424.742149	-1.2732117228002613e-15
60424.742162	-8.356992086726792e-16
