Al/Sr = 2.611701431781463025
offset = ( 2024ratio - 2020ratio ) / 2020ratio
mjd	offset from 2020 ratio
60426.738117	nan
60426.738129	nan
60426.738141	nan
60426.738153	nan
60426.738166	nan
60426.738178	nan
60426.73819	nan
60426.738202	nan
60426.738215	nan
60426.738227	nan
60426.738239	nan
60426.738251	nan
60426.738263	nan
60426.738276	nan
60426.738288	nan
60426.7383	nan
60426.738312	nan
60426.738324	nan
60426.738337	nan
60426.738349	nan
60426.738361	nan
60426.738373	nan
60426.738385	nan
60426.738398	nan
60426.73841	nan
60426.738422	nan
60426.738434	nan
60426.738446	nan
60426.738459	nan
60426.738471	nan
60426.738483	nan
60426.738495	nan
60426.738508	nan
60426.73852	nan
60426.738532	nan
60426.738545	nan
60426.738557	nan
60426.738569	nan
60426.738581	nan
60426.738593	nan
60426.738606	nan
60426.738618	nan
60426.73863	nan
60426.738642	nan
60426.738655	nan
60426.738667	nan
60426.738679	nan
60426.738691	nan
60426.738703	nan
60426.738715	nan
60426.738728	nan
60426.73874	nan
60426.738752	nan
60426.738764	nan
60426.738777	nan
60426.738789	nan
60426.738801	nan
60426.738813	nan
60426.738825	nan
60426.738838	nan
60426.73885	nan
60426.738862	nan
60426.738874	nan
60426.738886	nan
60426.738899	nan
60426.738911	nan
60426.738923	nan
60426.738935	nan
60426.738947	nan
60426.73896	nan
60426.738972	nan
60426.738984	nan
60426.738997	nan
60426.739009	nan
60426.739021	nan
60426.739033	nan
60426.739046	nan
60426.739058	nan
60426.73907	nan
60426.739082	nan
60426.739094	nan
60426.739107	nan
60426.739119	nan
60426.739132	nan
60426.739144	nan
60426.739156	nan
60426.739168	nan
60426.73918	nan
60426.739193	nan
60426.739205	nan
60426.739217	nan
60426.739229	nan
60426.739241	nan
60426.739254	nan
60426.739266	nan
60426.739278	nan
60426.73929	nan
60426.739302	nan
60426.739315	nan
60426.739327	nan
60426.739339	nan
60426.739351	nan
60426.739365	nan
60426.739377	nan
60426.739389	nan
60426.739401	nan
60426.739413	nan
60426.739426	nan
60426.739438	nan
60426.73945	nan
60426.739462	nan
60426.739474	nan
60426.739487	nan
60426.739499	nan
60426.739511	nan
60426.739523	nan
60426.739536	nan
60426.739548	nan
60426.73956	nan
60426.739572	nan
60426.739584	nan
