Al/Sr = 2.611701431781463025
offset = ( 2024ratio - 2020ratio ) / 2020ratio
mjd	offset from 2020 ratio
60424.741478	1.802614212235856e-15
60424.74149	1.723797937632602e-15
60424.741502	1.2923926501256502e-15
60424.741515	5.009471848704318e-16
60424.741527	1.646816025584616e-16
60424.741539	4.3546923393353874e-16
60424.741551	1.5933764508378198e-16
60424.741563	-1.7775233286729135e-16
60424.741576	-6.097731956832874e-16
60424.741588	-3.5735141332230754e-16
60424.7416	2.1473967561194359e-16
60424.741612	7.66740071615338e-16
60424.741625	-1.8460601166004308e-16
60424.741637	-8.286555157094588e-16
60424.741649	-8.145927397144448e-16
60424.741661	-1.1605292716612558e-15
60424.741673	-8.781276414060271e-16
60424.741686	-2.515511851911307e-17
60424.741698	-2.5541891424893107e-16
60424.74171	-4.216142875435458e-16
60424.741722	1.7212147088512026e-16
60424.741734	4.81250205502499e-16
60424.741747	2.546108736581042e-17
60424.741759	-3.8872549538041947e-16
60424.741771	-1.0464184850068578e-15
60424.741783	-1.3064796293692556e-15
60424.741795	-6.26983387220511e-16
60424.741808	-4.285585457643751e-16
60424.74182	-6.95152456348202e-16
60424.741832	-1.815149728978162e-16
60424.741844	-4.4023607722791487e-16
60424.741856	-6.32851984913757e-16
60424.741869	6.193656116969018e-16
60424.741881	6.360487176135224e-16
60424.741893	2.4303204317771016e-16
60424.741905	-3.778376128790098e-16
60424.741918	-9.922052297870907e-16
60424.74193	-9.896133826763805e-16
60424.741942	-1.0971637497688407e-15
60424.741954	-2.2261514106358605e-16
60424.741966	9.808582549019154e-16
60424.741979	1.2642066623633402e-15
60424.741991	1.0186479328972594e-15
60424.742003	1.1155616898389752e-15
60424.742015	1.1364853493388765e-15
60424.742027	1.0622449596666376e-15
60424.74204	1.0166307215292638e-15
60424.742052	1.0163589654336538e-15
60424.742064	3.1179350630234614e-16
60424.742076	-7.188678846721631e-17
60424.742088	-1.4791725794291535e-15
60424.742101	-2.6200318546046475e-15
60424.742113	-1.7017759518952168e-15
60424.742125	-1.473601824051853e-15
60424.742137	-1.068837748833298e-15
60424.742149	-1.1978495515431391e-15
60424.742162	-7.327874179743303e-16
60424.742174	-1.6777394301848543e-16
60424.742186	-1.5905760165113696e-16
60424.742198	-4.884839180931122e-16
60424.74221	4.957902769214198e-16
60424.742223	8.940663560391182e-16
60424.742235	-3.029182886500017e-17
60424.742247	-3.6163099075600223e-16
60424.742259	-7.393557690531513e-16
60424.742271	-1.6033333872937079e-15
60424.742284	-7.486729750886061e-16
60424.742296	-1.2897687784749288e-15
60424.742308	-1.0115141250257788e-15
60424.74232	-3.5891130112051623e-16
60424.742332	1.0672915846830392e-15
60424.742345	2.8493052894289178e-15
60424.742357	2.0884961869881202e-15
60424.742369	2.2748474855601866e-15
60424.742381	2.0582412790340736e-15
60424.742393	1.982474318607811e-15
60424.742406	2.550972747950954e-15
60424.742418	1.9549129717126185e-15
60424.74243	1.4033016918143931e-15
60424.742442	1.1371850645313414e-15
60424.742454	1.0691780049748256e-15
60424.742467	7.90007997528121e-16
60424.742479	-2.252990133621967e-16
60424.742491	-3.963085381892183e-16
60424.742503	-2.260145160702246e-16
60424.742516	-1.5701781520584402e-15
60424.742528	-8.917373789849335e-16
60424.74254	6.958350002134033e-16
60424.742552	-9.344609303251377e-16
60424.742564	-2.32283945228071e-16
60424.742577	2.5691367785571024e-18
60424.742589	-5.721998166588464e-16
60424.742601	-1.6836855067596974e-15
60424.742613	-2.6457914481459774e-15
60424.742625	-2.5678698601391946e-15
60424.742638	-1.293306826270345e-15
60424.74265	-1.111092898667069e-15
60424.742662	-6.081240947487054e-16
60424.742674	6.188978444402262e-16
60424.742686	2.039753782738195e-15
60424.742699	1.0979837613777247e-15
60424.742711	6.528551515381154e-16
60424.742723	1.0928472105443281e-15
60424.742735	1.076894559957626e-15
60424.742747	3.9963040488555124e-16
60424.74276	8.014048448379977e-16
60424.742772	7.710505996944688e-16
60424.742784	1.057694629484028e-15
60424.742796	8.804387713076111e-16
60424.742808	5.173346125955858e-16
60424.742821	3.251838389105975e-16
60424.742833	1.6030252443612092e-15
60424.742853	1.3400609773942387e-15
60424.742865	7.370610852355175e-16
60424.742878	3.0953454091786273e-16
60424.74289	-3.20552720200849e-17
60424.742902	3.435286955243641e-16
60424.742914	-6.949516410618075e-17
60424.742927	9.742504412387632e-16
60424.742939	9.34292501859063e-16
60424.742951	1.7118178331358726e-16
60424.742963	-1.3418453770650008e-16
60424.742975	-6.813549113139595e-17
60424.742988	-5.650525118843236e-17
60424.743	1.3879994647042523e-16
60424.743012	-4.262945163029497e-16
60424.743024	-3.3848601455718455e-16
60424.743036	-8.558493201098168e-17
60424.743049	1.5767455199161437e-16
60424.743061	4.626470741047959e-16
60424.743073	8.497704552645458e-18
60424.743085	1.966901725081966e-16
60424.743098	-1.511177446844639e-16
60424.74311	-8.237251395112818e-16
60424.743122	-1.0097647117002733e-15
60424.743134	-9.702477649302124e-16
60424.743146	-1.428974992604853e-15
