08/13/2024	10:22:34	(analyzed:  8/14/2024)
MJD	timer	SDR:frep_ErYb	fo_ErYb	fb_Si_ErYb	fb_Al_ErYb	fb_Yb_ErYb
60535.682590	21179.000000	113927.229510	105000000.000900	99999999.998500	22737007.998630	28855374.100360
60535.682602	22232.000000	113927.229388	104999999.999100	99999999.999500	22737007.999290	28855374.100100
60535.682615	23286.000000	113927.229185	104999999.999800	100000000.000800	22737007.999860	28855374.099360
60535.682627	24339.000000	113927.229099	104999999.999900	99999999.998800	22737008.000770	28855374.099690
60535.682639	25392.000000	113927.229728	105000000.001800	100000000.000000	22737008.001550	28855374.100140
60535.682651	26448.000000	113927.229366	104999999.999500	99999999.999200	22737008.001370	28855374.100020
60535.682663	27501.000000	113927.229065	105000000.000100	100000000.000700	22737008.001480	28855374.099490
60535.682676	28554.000000	113927.229202	105000000.000200	100000000.000600	22737008.000470	28855374.099960
60535.682688	29610.000000	113927.229580	105000000.000200	99999999.998300	22737007.999140	28855374.099820
60535.682700	30663.000000	113927.229529	105000000.001000	100000000.000000	22737007.998800	28855374.100030
60535.682712	31721.000000	113927.228926	105000000.000900	99999999.999800	22737007.998670	28855374.099450
60535.682725	32777.000000	113927.229489	105000000.000600	99999999.999800	22737007.998520	28855374.099850
60535.682737	33831.000000	113927.229302	104999999.999100	100000000.000600	22737007.999570	28855374.099780
60535.682749	34885.000000	113927.229408	105000000.000100	99999999.998600	22737008.000320	28855374.100790
60535.682761	35940.000000	113927.229199	105000000.001100	99999999.999500	22737008.000950	28855374.100470
60535.682773	36993.000000	113927.229587	104999999.999500	100000000.000500	22737008.001330	28855374.099980
60535.682786	38047.000000	113927.229261	105000000.001500	100000000.000500	22737008.001430	28855374.100200
60535.682798	39102.000000	113927.229191	104999999.999900	100000000.001300	22737008.001180	28855374.099710
60535.682810	40156.000000	113927.229626	105000000.000700	99999999.996600	22737008.000090	28855374.100080
60535.682822	41210.000000	113927.229324	104999999.999800	100000000.001400	22737007.999210	28855374.099810
60535.682834	42266.000000	113927.229220	105000000.001400	99999999.999200	22737007.998730	28855374.100500
60535.682847	43319.000000	113927.229133	104999999.999900	99999999.999900	22737007.998630	28855374.100040
60535.682859	44372.000000	113927.229282	105000000.001000	100000000.001400	22737007.999150	28855374.099920
60535.682871	45430.000000	113927.229583	104999999.999700	99999999.998600	22737007.999590	28855374.099710
60535.682883	46484.000000	113927.229319	105000000.001700	100000000.000100	22737008.000320	28855374.099910
60535.682895	47540.000000	113927.229037	105000000.000400	100000000.000200	22737008.001050	28855374.100410
60535.682908	48596.000000	113927.229534	104999999.999500	100000000.000200	22737008.001410	28855374.100200
60535.682920	49649.000000	113927.229301	105000000.001300	99999999.999700	22737008.001420	28855374.100280
60535.682932	50702.000000	113927.229403	105000000.000800	99999999.999000	22737008.000810	28855374.099940
60535.682944	51757.000000	113927.229308	105000000.001000	100000000.000000	22737007.999830	28855374.100200
60535.682957	52826.000000	113927.229226	104999999.999500	100000000.001300	22737007.999030	28855374.099120
60535.682969	53881.000000	113927.229662	105000000.001000	99999999.999900	22737007.998770	28855374.099960
60535.682981	54936.000000	113927.229246	104999999.999500	100000000.001300	22737007.998690	28855374.100340
60535.682993	55991.000000	113927.229125	105000000.001800	99999999.999700	22737007.999150	28855374.100150
60535.683005	57046.000000	113927.229632	104999999.999600	99999999.999800	22737007.999510	28855374.100030
60535.683018	58099.000000	113927.229113	105000000.000300	100000000.000400	22737008.000120	28855374.099480
60535.683030	59154.000000	113927.229312	105000000.001600	99999999.999100	22737008.001360	28855374.100370
60535.683042	60209.000000	113927.229397	105000000.000300	100000000.000000	22737008.001330	28855374.099730
60535.683054	61264.000000	113927.229417	104999999.999900	99999999.999800	22737008.001330	28855374.099630
60535.683066	62319.000000	113927.229291	105000000.000300	100000000.000500	22737008.000630	28855374.100240
60535.683079	63375.000000	113927.229547	105000000.000600	100000000.000500	22737007.999570	28855374.099450
60535.683091	64428.000000	113927.229286	105000000.000300	99999999.998600	22737007.998670	28855374.100160
60535.683103	65483.000000	113927.229281	105000000.000600	99999999.999900	22737007.998740	28855374.099790
60535.683115	66538.000000	113927.229323	105000000.001500	99999999.999300	22737007.998790	28855374.100230
60535.683128	67594.000000	113927.229068	104999999.998800	99999999.999700	22737007.999130	28855374.100270
60535.683140	68646.000000	113927.229550	104999999.999900	100000000.000100	22737007.999820	28855374.099780
60535.683152	69702.000000	113927.229273	104999999.999900	99999999.998500	22737008.000720	28855374.099860
60535.683164	70755.000000	113927.229321	105000000.001200	100000000.000000	22737008.001580	28855374.100720
60535.683176	71809.000000	113927.229227	104999999.999800	100000000.000800	22737008.001370	28855374.100030
60535.683189	72865.000000	113927.229537	105000000.001900	99999999.999400	22737008.001290	28855374.099310
60535.683201	73921.000000	113927.229203	104999999.999800	100000000.000900	22737008.000520	28855374.099680
60535.683213	74975.000000	113927.229048	105000000.001500	99999999.998000	22737007.999640	28855374.100130
60535.683225	76030.000000	113927.229693	104999999.999300	100000000.000000	22737007.998570	28855374.100300
60535.683237	77083.000000	113927.229035	105000000.001300	100000000.000900	22737007.998510	28855374.100140
60535.683250	78138.000000	113927.229488	104999999.999400	99999999.999900	22737007.998690	28855374.100130
60535.683262	79194.000000	113927.229014	104999999.999800	100000000.000500	22737007.999290	28855374.099750
60535.683274	80249.000000	113927.229428	105000000.001400	99999999.998300	22737008.000040	28855374.099770
60535.683286	81303.000000	113927.229308	105000000.000800	99999999.999300	22737008.000990	28855374.099590
60535.683298	82360.000000	113927.229525	105000000.000500	100000000.001000	22737008.001380	28855374.100060
60535.683311	83432.000000	113927.229322	104999999.999800	99999999.999000	22737008.001360	28855374.099710
60535.683323	84488.000000	113927.229268	105000000.000100	100000000.000200	22737008.001230	28855374.100080
60535.683335	85542.000000	113927.229154	105000000.001600	99999999.998700	22737008.000340	28855374.100410
60535.683347	86598.000000	113927.229550	105000000.001100	99999999.999800	22737007.999220	28855374.100120
60535.683360	87654.000000	113927.229389	105000000.000600	100000000.001300	22737007.998640	28855374.099670
60535.683372	88709.000000	113927.229224	105000000.000500	99999999.999700	22737007.998710	28855374.099890
60535.683384	89761.000000	113927.229363	105000000.000900	100000000.001300	22737007.998690	28855374.100030
60535.683396	90817.000000	113927.229365	104999999.998400	99999999.999500	22737007.999090	28855374.100500
60535.683408	91870.000000	113927.229298	105000000.000900	99999999.999400	22737008.000120	28855374.100290
60535.683421	92927.000000	113927.229593	105000000.000800	100000000.001100	22737008.000780	28855374.099720
60535.683433	93982.000000	113927.229103	104999999.999800	99999999.998600	22737008.001120	28855374.100030
60535.683445	95036.000000	113927.229278	104999999.999800	100000000.000400	22737008.001380	28855374.100010
60535.683457	96090.000000	113927.229345	105000000.000000	99999999.999600	22737008.001530	28855374.099920
60535.683470	97144.000000	113927.229404	105000000.001700	99999999.999600	22737008.000230	28855374.099600
60535.683482	98198.000000	113927.229184	104999999.999000	100000000.000900	22737007.999000	28855374.099570
60535.683494	99251.000000	113927.229490	105000000.000200	99999999.998800	22737007.998600	28855374.099550
60535.683506	100306.000000	113927.229147	104999999.999900	99999999.999800	22737007.998590	28855374.099660
60535.683518	101360.000000	113927.229501	105000000.001500	100000000.000500	22737007.999010	28855374.100470
60535.683531	102413.000000	113927.229536	104999999.999400	100000000.000200	22737007.999420	28855374.100190
60535.683543	103467.000000	113927.229099	105000000.001000	100000000.000400	22737008.000360	28855374.099950
60535.683555	104520.000000	113927.229388	105000000.000700	99999999.996700	22737008.001020	28855374.100080
60535.683567	105574.000000	113927.229477	105000000.000900	100000000.001000	22737008.001250	28855374.099750
60535.683579	106629.000000	113927.229407	105000000.000000	100000000.000300	22737008.001070	28855374.100190
60535.683592	107683.000000	113927.229047	104999999.999100	99999999.999600	22737008.001230	28855374.099890
60535.683604	108739.000000	113927.229132	105000000.000800	100000000.000800	22737007.999730	28855374.100220
60535.683616	109795.000000	113927.229811	105000000.000000	99999999.998900	22737007.998900	28855374.100130
60535.683628	110849.000000	113927.229144	105000000.001400	100000000.000300	22737007.998710	28855374.100180
60535.683640	111902.000000	113927.229371	105000000.000600	100000000.000100	22737007.998540	28855374.099970
60535.683653	112956.000000	113927.229463	105000000.001100	99999999.999800	22737007.999070	28855374.100040
60535.683665	114010.000000	113927.229206	105000000.000700	100000000.001500	22737007.999710	28855374.099940
60535.683677	115064.000000	113927.229451	104999999.999200	99999999.998800	22737008.000380	28855374.099740
60535.683689	116122.000000	113927.229035	105000000.001200	99999999.999400	22737008.001220	28855374.100250
60535.683701	117180.000000	113927.229648	105000000.000500	100000000.000000	22737008.001420	28855374.100410
60535.683714	118234.000000	113927.229324	105000000.000200	99999999.999900	22737008.001350	28855374.099720
60535.683726	119290.000000	113927.228928	104999999.999800	100000000.001000	22737008.000680	28855374.099650
60535.683738	120345.000000	113927.229540	105000000.001200	99999999.999000	22737007.999610	28855374.100300
60535.683750	121398.000000	113927.229330	104999999.999400	100000000.000000	22737007.998670	28855374.099830
60535.683762	122452.000000	113927.229412	105000000.001100	100000000.001100	22737007.998800	28855374.100310
60535.683775	123507.000000	113927.229047	104999999.999500	99999999.999500	22737007.998480	28855374.100010
60535.683787	124560.000000	113927.229360	105000000.000200	100000000.000500	22737007.999030	28855374.100070
60535.683799	125615.000000	113927.229425	104999999.999900	99999999.998200	22737008.000120	28855374.100570
60535.683811	126670.000000	113927.229314	105000000.000300	100000000.000100	22737008.000650	28855374.099980
60535.683823	127724.000000	113927.229291	104999999.999900	100000000.001200	22737008.001230	28855374.100100
60535.683836	128778.000000	113927.229562	105000000.001400	99999999.999000	22737008.001190	28855374.099970
60535.683848	129831.000000	113927.229087	104999999.999800	99999999.999800	22737008.001140	28855374.099980
60535.683860	130883.000000	113927.229327	105000000.001600	99999999.999500	22737008.000360	28855374.099950
60535.683872	131935.000000	113927.229495	104999999.999300	99999999.998400	22737007.999330	28855374.099980
60535.683884	132989.000000	113927.229665	105000000.001500	100000000.000900	22737007.998730	28855374.099910
60535.683897	134043.000000	113927.229317	104999999.999400	99999999.998200	22737007.998970	28855374.099930
60535.683909	135099.000000	113927.229468	105000000.001700	100000000.000400	22737007.998860	28855374.100350
60535.683921	136153.000000	113927.229463	104999999.999400	99999999.999900	22737007.999320	28855374.099700
60535.683933	137208.000000	113927.229256	105000000.000200	99999999.999700	22737008.000310	28855374.100430
60535.683945	138262.000000	113927.229469	104999999.999500	100000000.000600	22737008.000760	28855374.099810
60535.683958	139315.000000	113927.229356	105000000.000500	99999999.998400	22737008.001300	28855374.100180
60535.683970	140368.000000	113927.229356	105000000.000900	99999999.999200	22737008.001410	28855374.099730
60535.683982	141421.000000	113927.229212	105000000.000500	100000000.000300	22737008.001060	28855374.100240
60535.683994	142477.000000	113927.229374	104999999.999700	100000000.000300	22737007.999890	28855374.100630
60535.684006	143532.000000	113927.229231	105000000.000000	100000000.001300	22737007.998900	28855374.100060
60535.684019	144586.000000	113927.229430	105000000.000200	99999999.999000	22737007.998590	28855374.099810
60535.684031	145641.000000	113927.229401	105000000.001400	99999999.999700	22737007.998720	28855374.099950
60535.684043	146696.000000	113927.229440	105000000.000900	100000000.000400	22737007.999090	28855374.099850
60535.684055	147749.000000	113927.229262	105000000.000500	99999999.998000	22737007.999540	28855374.099900
60535.684067	148804.000000	113927.229106	105000000.000300	99999999.999900	22737008.000640	28855374.100240
60535.684080	149858.000000	113927.229347	104999999.999400	99999999.998900	22737008.001250	28855374.099960
60535.684092	150912.000000	113927.229587	104999999.999900	100000000.000900	22737008.001280	28855374.100230
60535.684104	151968.000000	113927.229278	104999999.999900	100000000.000200	22737008.001210	28855374.099750
60535.684116	153023.000000	113927.229157	105000000.001200	99999999.999300	22737008.000490	28855374.099860
60535.684128	154075.000000	113927.229316	104999999.999600	100000000.001000	22737007.999650	28855374.100380
60535.684141	155131.000000	113927.229285	105000000.001700	99999999.999200	22737007.998770	28855374.100110
60535.684153	156186.000000	113927.229294	104999999.999400	100000000.000100	22737007.998670	28855374.099150
60535.684165	157239.000000	113927.229240	104999999.999900	100000000.000200	22737007.998710	28855374.099460
60535.684177	158295.000000	113927.229333	105000000.001400	99999999.999800	22737007.999280	28855374.100120
60535.684190	159350.000000	113927.229138	104999999.998900	99999999.999700	22737008.000300	28855374.099730
60535.684202	160403.000000	113927.229521	104999999.999800	100000000.000600	22737008.000970	28855374.099970
60535.684214	161458.000000	113927.229469	105000000.001300	100000000.000700	22737008.001440	28855374.100070
60535.684226	162513.000000	113927.229428	105000000.001400	100000000.000300	22737008.001300	28855374.099790
60535.684238	163566.000000	113927.228971	105000000.000700	99999999.998000	22737008.001530	28855374.100150
60535.684251	164621.000000	113927.229573	105000000.000000	99999999.999100	22737008.000130	28855374.099660
60535.684263	165677.000000	113927.229202	105000000.000500	100000000.001100	22737007.999000	28855374.100550
60535.684275	166731.000000	113927.229235	105000000.001300	99999999.999500	22737007.998590	28855374.099740
60535.684287	167785.000000	113927.229440	105000000.000700	100000000.000600	22737007.998810	28855374.100030
60535.684299	168840.000000	113927.229473	104999999.999900	99999999.998700	22737007.998820	28855374.100400
60535.684312	169894.000000	113927.229136	105000000.001200	100000000.000800	22737007.999410	28855374.100310
60535.684324	170947.000000	113927.229483	104999999.999300	100000000.000400	22737008.000490	28855374.100080
60535.684336	172001.000000	113927.229278	104999999.999800	99999999.999900	22737008.001190	28855374.099640
60535.684348	173056.000000	113927.229032	105000000.000300	100000000.000400	22737008.001360	28855374.100140
60535.684360	174112.000000	113927.229507	104999999.999600	99999999.998300	22737008.001310	28855374.099820
60535.684373	175166.000000	113927.229618	105000000.000300	100000000.000400	22737008.000850	28855374.099870
60535.684385	176221.000000	113927.229373	105000000.000200	100000000.000600	22737007.999870	28855374.099990
60535.684397	177274.000000	113927.229324	105000000.000300	99999999.999000	22737007.998800	28855374.100120
60535.684409	178329.000000	113927.229449	105000000.001600	99999999.999500	22737007.998700	28855374.100120
60535.684421	179382.000000	113927.229216	105000000.001100	99999999.998900	22737007.998430	28855374.099890
