"","method","parameter","estimate","ci.lb","ci.ub","inInt","bad.rhat","min.neff","num.Divergent","tree.Depth.Ex","min.bfmi","rsession","simulation","N","mu","tau","num.iters","alpha","nu","tdf","maxtree","adaptDelta","Iteration","lb","ub"
"1","DL","tau",0.219594762264447,0,1.83988603222501,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,1,0.1,1
"2","SJ","tau",0.453534430716296,0,1.83988603222501,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,1,0.1,1
"3","REML","tau",0.334012920642721,0,1.83988603222501,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,1,0.1,1
"4","PM","tau",0.189353209301864,0,1.83987862146834,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,1,0.1,1
"5","DL","mu",9.36471649594032,8.79717116999243,9.93226182188821,FALSE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,1,0.1,1
"6","SJ","mu",9.280402519391,8.58538212345182,9.97542291533017,FALSE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,1,0.1,1
"7","REML","mu",9.32187169819195,8.69695411854682,9.94678927783708,FALSE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,1,0.1,1
"8","PM","mu",9.37539000792624,8.82055379125999,9.93022622459249,FALSE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,1,0.1,1
"9","GaussGauss","tau",0.62752047264442,0.0264333769544456,1.98289683232478,TRUE,0,1719.50197261852,1,0,0.757164896885845,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,1,0.1,1
"10","GaussGauss","mu",9.25713198081117,8.18516965991656,10.0705792025013,TRUE,0,1719.50197261852,1,0,0.757164896885845,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,1,0.1,1
