"","method","parameter","estimate","ci.lb","ci.ub","inInt","bad.rhat","min.neff","num.Divergent","tree.Depth.Ex","min.bfmi","rsession","simulation","N","mu","tau","num.iters","alpha","nu","tdf","maxtree","adaptDelta","Iteration","lb","ub"
"30","GaussGauss","mu",9.43490764294571,8.86753154932406,10.0837112425494,TRUE,0,1640.58195680422,0,0,0.620149537884639,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,3,0.1,1
"31","DL","tau",0.9980524207431,0.484744279456888,1.72306436877478,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,4,0.1,1
"32","SJ","tau",0.854249762523008,0.484744279456888,1.72306436877478,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,4,0.1,1
"33","REML","tau",0.831300957812852,0.484744279456888,1.72306436877478,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,4,0.1,1
"34","PM","tau",0.823751618269,0.484721681269128,1.72305779523339,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,4,0.1,1
"35","DL","mu",10.3114749876428,9.61891265905335,11.0040373162322,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,4,0.1,1
"36","SJ","mu",10.3197201815295,9.70903770684226,10.9304026562167,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,4,0.1,1
"37","REML","mu",10.3211951899466,9.72348326677528,10.9189071131178,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,4,0.1,1
"38","PM","mu",10.3216911499942,9.72824007313818,10.9151422268502,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,4,0.1,1
"39","GaussGauss","tau",1.00301030768255,0.535926433777571,1.85036202468733,TRUE,0,1490.79248289846,0,0,0.743355617448911,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,4,0.1,1
"40","GaussGauss","mu",10.3266606604908,9.57089003549894,11.0648838577147,TRUE,0,1490.79248289846,0,0,0.743355617448911,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,4,0.1,1
"41","DL","tau",0.79102435852033,0.494153914034183,1.77085423532797,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,5,0.1,1
"42","SJ","tau",0.887235479056908,0.494153914034183,1.77085423532797,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,5,0.1,1
"43","REML","tau",0.88334459538102,0.494153914034183,1.77085423532797,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,5,0.1,1
"44","PM","tau",0.864530911014212,0.494146715754936,1.77085723898773,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,5,0.1,1
"45","DL","mu",9.59654943942891,9.01108293318834,10.1820159456695,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,5,0.1,1
"46","SJ","mu",9.60361159615094,8.9645159129461,10.2427072793558,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,5,0.1,1
"47","REML","mu",9.60335944723094,8.96644226033378,10.2402766341281,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,5,0.1,1
"48","PM","mu",9.60210392849816,8.97570896855728,10.228498888439,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,5,0.1,1
"49","GaussGauss","tau",1.04258848040572,0.534252092710769,1.86444994069216,TRUE,0,1847.43494603553,0,0,0.704094242368376,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,5,0.1,1
"50","GaussGauss","mu",9.60016969151062,8.8085633260348,10.3749186874965,TRUE,0,1847.43494603553,0,0,0.704094242368376,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,5,0.1,1
"51","DL","tau",1.03168585491055,0.790924262478993,2.98479143639638,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,6,0.1,1
"52","SJ","tau",1.49762327695923,0.790924262478993,2.98479143639638,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,6,0.1,1
"53","REML","tau",1.36765084948437,0.790924262478993,2.98479143639638,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,6,0.1,1
"54","PM","tau",1.46079233056161,0.790916770078801,2.98478700994408,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,6,0.1,1
"55","DL","mu",10.1053901657833,9.33224256876868,10.8785377627979,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,6,0.1,1
"56","SJ","mu",10.0781650871947,9.04925409734603,11.1070760770433,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,6,0.1,1
"57","REML","mu",10.0842176562651,9.12820903966333,11.0402262728668,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,6,0.1,1
"58","PM","mu",10.0797802597908,9.07162866931472,11.0879318502669,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,6,0.1,1
"59","GaussGauss","tau",1.59278598427462,0.727229749877168,3.00391930336237,TRUE,0,1415.32890628833,0,0,0.681407643120738,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,6,0.1,1
"60","GaussGauss","mu",10.0888283972142,8.87429024797983,11.2689636397225,TRUE,0,1415.32890628833,0,0,0.681407643120738,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,6,0.1,1
"61","DL","tau",0.918754056606186,0.906791767201058,2.91971111197527,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,7,0.1,1
"62","SJ","tau",1.50366112571666,0.906791767201058,2.91971111197527,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,7,0.1,1
"63","REML","tau",1.42742884920982,0.906791767201058,2.91971111197527,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,7,0.1,1
"64","PM","tau",1.49277315625446,0.906782197670989,2.91971223638113,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,7,0.1,1
"65","DL","mu",9.39468368958033,8.74612211720402,10.0432452619566,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,7,0.1,1
"66","SJ","mu",9.43598376196829,8.44825172052198,10.4237158034146,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,7,0.1,1
