# Readme Information 
# Data taken on 250227, analyzed on 27-Feb-2025 by script Saveshifts_forTara_v3_250227.m.
# Gravitational Redshift Corrected to Marker on floor of 1G104 labeled 811G104 
# Frequencies units of Hz. Maser ST008 references all synthesizers.
# v_yb_ideal=2*v_comb+f_shift 
# f_shift includes: Blackbody radation based on real time temperature measurement (avg shift = -1.2102), 2nd order zeeman based on real time B field measurement by atoms (avg shift = -0.0612), background gas collisions (avg shift = -0.0016), lattice AC stark shift (avg shift = -0.0007), probe AC stark shift (avg shift = 0.0000), graviational red shift (avg shift = 0.0803), and AOMs between atoms and combs (shift of 63000000)
# Run Duration 1.833241e+04 s, uptime fraction 9.049156e-01. 
t_mjd	   f_shift [Hz]  	IS_GOOD
   6.0733791780020001e+04	   6.3000001129923381e+07	   1.0000000000000000e+00	
   6.0733791791240001e+04	   6.3000001129959092e+07	   1.0000000000000000e+00	
   6.0733791802460000e+04	   6.3000001126855604e+07	   1.0000000000000000e+00	
   6.0733791813700002e+04	   6.3000001128578022e+07	   1.0000000000000000e+00	
   6.0733791824929998e+04	   6.3000001136317916e+07	   1.0000000000000000e+00	
   6.0733791836160002e+04	   6.3000001145192988e+07	   1.0000000000000000e+00	
   6.0733791847380002e+04	   6.3000001155515105e+07	   1.0000000000000000e+00	
   6.0733791858630000e+04	   6.3000001162519857e+07	   1.0000000000000000e+00	
   6.0733791869850000e+04	   6.3000001175101914e+07	   1.0000000000000000e+00	
   6.0733791881060002e+04	   6.3000001184566587e+07	   1.0000000000000000e+00	
   6.0733791892289999e+04	   6.3000001199065030e+07	   1.0000000000000000e+00	
   6.0733791903509999e+04	   6.3000001206364967e+07	   1.0000000000000000e+00	
   6.0733791914729998e+04	   6.3000001205367021e+07	   1.0000000000000000e+00	
   6.0733791925969999e+04	   6.3000001206099473e+07	   1.0000000000000000e+00	
   6.0733791937189999e+04	   6.3000001205575913e+07	   1.0000000000000000e+00	
   6.0733791948430000e+04	   6.3000001203097254e+07	   1.0000000000000000e+00	
   6.0733791959650000e+04	   6.3000001197840467e+07	   1.0000000000000000e+00	
   6.0733791970879996e+04	   6.3000001200675428e+07	   1.0000000000000000e+00	
   6.0733791982110000e+04	   6.3000001203902662e+07	   1.0000000000000000e+00	
   6.0733791993330000e+04	   6.3000001208437771e+07	   1.0000000000000000e+00	
   6.0733792004550000e+04	   6.3000001206260554e+07	   1.0000000000000000e+00	
   6.0733792015790001e+04	   6.3000001201773316e+07	   1.0000000000000000e+00	
   6.0733792027019997e+04	   6.3000001193127699e+07	   1.0000000000000000e+00	
   6.0733792038239997e+04	   6.3000001182198659e+07	   1.0000000000000000e+00	
   6.0733792049459997e+04	   6.3000001162503511e+07	   1.0000000000000000e+00	
   6.0733792060690001e+04	   6.3000001146203928e+07	   1.0000000000000000e+00	
   6.0733792071919997e+04	   6.3000001129313715e+07	   1.0000000000000000e+00	
   6.0733792083150001e+04	   6.3000001119462080e+07	   1.0000000000000000e+00	
   6.0733792094379998e+04	   6.3000001117759980e+07	   1.0000000000000000e+00	
   6.0733792105599998e+04	   6.3000001115511127e+07	   1.0000000000000000e+00	
   6.0733792116839999e+04	   6.3000001113561563e+07	   1.0000000000000000e+00	
   6.0733792128059999e+04	   6.3000001118540980e+07	   1.0000000000000000e+00	
   6.0733792139290003e+04	   6.3000001121302240e+07	   1.0000000000000000e+00	
   6.0733792150510002e+04	   6.3000001121096544e+07	   1.0000000000000000e+00	
   6.0733792161730002e+04	   6.3000001121881425e+07	   1.0000000000000000e+00	
   6.0733792172959998e+04	   6.3000001123624705e+07	   1.0000000000000000e+00	
