02/27/2025	12:41:24	(analyzed:  2/27/2025)
MJD	timer	SDR:frep_ErYb	fo_ErYb	fb_Si_ErYb	fb_Yb_ErYb	fb_Al_ErYb
60733.778191	34.000000	113927.228137	105000000.000900	100000000.000100	28854994.000310	22737008.000000
60733.778204	1096.000000	113927.228411	105000000.000800	100000000.000100	28854993.999980	22737008.000010
60733.778216	2153.000000	113927.228349	105000000.000000	100000000.000100	28854993.999970	22737008.000140
60733.778228	3209.000000	113927.228131	104999999.999900	100000000.001100	28854994.000290	22737008.000130
60733.778240	4265.000000	113927.228451	104999999.999700	99999999.998100	28854993.999730	22737007.999920
60733.778252	5323.000000	113927.228335	104999999.999600	99999999.999800	NaN	22737007.999790
60733.778265	6380.000000	113927.227912	105000000.001800	100000000.000300	28854993.999520	22737008.000010
60733.778277	7437.000000	113927.228429	105000000.000800	100000000.000100	28854994.000430	22737008.000110
60733.778289	8494.000000	113927.228412	105000000.000700	100000000.000800	28854993.999890	22737007.999900
60733.778301	9548.000000	113927.228060	105000000.000300	99999999.998700	28854993.999520	22737007.999690
60733.778314	10606.000000	113927.228440	105000000.000400	100000000.000500	28854993.999860	22737008.000040
60733.778326	11662.000000	113927.227975	105000000.000900	100000000.000500	28854993.999540	22737008.000200
60733.778338	12720.000000	113927.228286	105000000.000900	100000000.000100	28854994.000150	22737008.000240
60733.778350	13776.000000	113927.228411	105000000.000900	100000000.000500	28854994.000650	22737008.000040
60733.778363	14835.000000	113927.228260	104999999.999800	99999999.998800	28854994.000210	22737007.999940
60733.778375	15892.000000	113927.228279	105000000.000900	100000000.000100	28854993.999640	22737007.999830
60733.778387	16948.000000	113927.228256	104999999.999700	99999999.999400	28854993.999770	22737007.999870
60733.778399	18006.000000	113927.228480	104999999.999700	99999999.999600	28854993.999990	22737008.000100
60733.778411	19063.000000	113927.228277	105000000.001400	100000000.000700	28854993.999740	22737007.999890
60733.778424	20120.000000	113927.228111	105000000.001200	99999999.998900	28854994.000360	22737007.999820
60733.778436	21178.000000	113927.228472	105000000.000800	100000000.000200	28854993.999910	22737007.999780
60733.778448	22234.000000	113927.228388	105000000.000800	99999999.999600	28854994.000390	22737008.000110
60733.778460	23289.000000	113927.228134	105000000.000700	99999999.999300	28854994.000390	22737007.999830
60733.778473	24346.000000	113927.228038	104999999.999400	100000000.000600	28854993.999870	22737007.999920
60733.778485	25402.000000	113927.228223	105000000.001100	99999999.998900	28854994.000340	22737008.000110
60733.778497	26459.000000	113927.228305	105000000.001200	100000000.000600	28854993.999970	22737007.999920
60733.778509	27516.000000	113927.228257	104999999.999600	99999999.999700	28854994.000250	22737008.000130
60733.778522	28570.000000	113927.228037	105000000.000700	100000000.000100	28854993.999710	22737007.999930
60733.778534	29628.000000	113927.228399	104999999.999900	100000000.000800	28854994.000080	22737008.000240
60733.778546	30684.000000	113927.228398	105000000.002000	99999999.998700	28854993.999880	22737008.000210
60733.778558	31740.000000	113927.228178	105000000.000700	100000000.000400	28854994.000370	22737007.999960
60733.778570	32797.000000	113927.228563	105000000.000200	99999999.999500	28854994.000360	22737008.000100
60733.778583	33853.000000	113927.228235	105000000.000000	99999999.999800	28854993.999700	22737008.000020
60733.778595	34911.000000	113927.227938	104999999.999900	100000000.000600	28854993.999900	22737007.999850
60733.778607	35968.000000	113927.228319	105000000.001500	99999999.999000	28854993.999920	22737007.999980
60733.778619	37023.000000	113927.227812	104999999.999100	100000000.000300	28854994.000060	22737008.000100
60733.778632	38080.000000	113927.228562	105000000.001000	99999999.999700	28854994.000060	22737008.000090
60733.778644	39136.000000	113927.228408	104999999.999400	99999999.999800	28854994.000230	22737007.999970
60733.778656	40193.000000	113927.228096	105000000.000600	100000000.000700	28854993.999630	22737008.000370
60733.778668	41250.000000	113927.228090	105000000.000200	99999999.998700	28854994.000040	22737008.000210
60733.778681	42307.000000	113927.228512	105000000.001800	100000000.000600	28854994.000010	22737007.999850
60733.778693	43365.000000	113927.228261	105000000.000400	99999999.999100	28854993.999790	22737008.000050
60733.778705	44421.000000	113927.228228	104999999.999200	100000000.000300	28854994.000100	22737008.000040
60733.778717	45478.000000	113927.228595	104999999.999900	100000000.000600	28854994.000130	22737008.000030
60733.778729	46535.000000	113927.228047	105000000.000200	99999999.999600	28854993.999710	22737008.000040
60733.778742	47590.000000	113927.228416	105000000.001500	100000000.000500	28854994.000140	22737008.000050
60733.778754	48647.000000	113927.228230	105000000.000400	99999999.999400	28854993.999800	22737008.000130
60733.778766	49704.000000	113927.228475	105000000.000500	100000000.000200	28854993.999830	22737008.000110
60733.778778	50760.000000	113927.227915	104999999.999100	100000000.000800	28854993.999870	22737008.000150
60733.778791	51818.000000	113927.228242	105000000.001000	99999999.998900	28854993.999530	22737008.000030
60733.778803	52873.000000	113927.228027	105000000.000800	100000000.000700	28854994.000040	22737008.000060
60733.778815	53929.000000	113927.228335	104999999.999100	99999999.998900	28854993.999860	22737007.999980
60733.778827	54985.000000	113927.228501	105000000.001700	99999999.999900	28854993.999970	22737007.999980
60733.778839	56041.000000	113927.228200	104999999.999100	100000000.000900	28854994.000000	22737008.000140
60733.778852	57099.000000	113927.228295	105000000.000200	99999999.999400	28854994.000140	22737008.000010
60733.778864	58157.000000	113927.228350	105000000.000200	100000000.000600	28854993.999770	22737007.999980
60733.778876	59214.000000	113927.228325	105000000.000200	99999999.999000	28854994.000010	22737007.999860
60733.778888	60271.000000	113927.228202	105000000.001600	100000000.000000	28854993.999880	22737008.000100
60733.778901	61327.000000	113927.228143	105000000.000900	100000000.001000	28854994.000080	22737008.000010
60733.778913	62382.000000	113927.228376	105000000.000300	99999999.998900	28854994.000010	22737008.000000
60733.778925	63439.000000	113927.228632	104999999.999300	100000000.000900	28854994.000070	22737007.999680
60733.778937	64495.000000	113927.227962	105000000.000600	99999999.998900	28854994.000320	22737008.000150
60733.778950	65553.000000	113927.228409	104999999.999800	100000000.000100	28854994.000360	22737008.000030
60733.778962	66610.000000	113927.228497	105000000.001500	100000000.001100	28854993.999980	22737008.000000
