,Timestamp + left,Timestamp + right,Timestamp - left,Timestamp - right,probe frequency,splitting,density + servo shift,Z2 shift,Z2 shift uncertainty
0,1740764845.391462,1740764848.555384,1740764843.78932,1740764846.958902,-235611462.18726677,-44.68415108323097,0.0478275661877144,-0.24538364512978889,0.0002841555693729628
1,1740764851.71761,1740764854.89691,1740764850.137771,1740764853.286481,-235611462.17860004,-44.6880983710289,0.029339164792638008,-0.24499051347232623,0.00028370775405137517
2,1740764858.056895,1740764861.221067,1740764856.457212,1740764859.624358,-235611462.15289265,-44.695748686790466,0.008153553765828206,-0.2454521229569193,0.000284233572279621
3,1740764864.38825,1740764867.570686,1740764862.794232,1740764865.959319,-235611462.1393556,-44.70030781626701,-0.015931986290795758,-0.2450875906006285,0.0002838183343927633
4,1740764870.721291,1740764873.886221,1740764869.128836,1740764872.312254,-235611462.1369794,-44.70247423648834,-0.000462196361961598,-0.24545300052785368,0.00028423457191824574
5,1740764877.064615,1740764880.217963,1740764875.463589,1740764878.629908,-235611462.14117888,-44.70371466875076,-0.039087858949443374,-0.24501835487914297,0.0002837394681373617
6,1740764883.391803,1740764886.565641,1740764881.791993,1740764884.954178,-235611462.144277,-44.70152682065964,0.025715360204680838,-0.24393873940611094,0.0002825096797441981
7,1740764889.71815,1740764892.891413,1740764888.128898,1740764891.294662,-235611462.14585936,-44.65222606062889,0.036740875856306976,-0.24592767000575316,0.00028477526645968534
8,1740764896.074806,1740764899.226935,1740764894.481112,1740764897.641048,-235611462.13156766,-44.656712144613266,-0.005561821819941781,-0.24608133772090332,0.00028495030881781254
9,1740764902.406409,1740764905.574741,1740764900.816651,1740764903.956645,-235611462.1245747,-44.736728608608246,0.0018720801495075714,-0.2450410790339755,0.00028376535317197615
10,1740764908.745864,1740764911.906987,1740764907.125073,1740764910.305904,-235611462.12778726,-44.74599236249924,-0.03465245833665381,-0.24491844641040927,0.0002836256626130306
11,1740764915.068464,1740764918.2308,1740764913.479676,1740764916.653194,-235611462.14005607,-44.696933537721634,-0.01548161265710319,-0.24496362917563627,0.00028367713020647996
12,1740764921.409701,1740764924.577835,1740764919.810428,1740764922.975767,-235611462.16145164,-44.670376896858215,-0.04100397683790998,-0.2452749769978166,0.00028403178578667435
13,1740764927.731613,1740764930.907465,1740764926.135905,1740764929.301379,-235611462.1786584,-44.67781847715378,0.0112053925059452,-0.245891988908956,0.00028473462224240775
14,1740764934.070437,1740764937.238807,1740764932.465286,1740764935.630219,-235611462.1851471,-44.71755516529083,0.04106382190411952,-0.24494670352168516,0.00028365785022975133
15,1740764940.400039,1740764943.564138,1740764938.795879,1740764941.970808,-235611462.16528267,-44.72751644253731,-0.014658633578390829,-0.24551150379199954,0.0002843012128223768
16,1740764946.744186,1740764949.910521,1740764945.140431,1740764948.308084,-235611462.1573111,-44.70928794145584,-0.0445493329634527,-0.24443642819721711,0.0002830765965050617
17,1740764953.064691,1740764956.239244,1740764951.482639,1740764954.658146,-235611462.18460694,-44.6821683049202,0.028571132973634453,-0.2453052034006059,0.0002840662166049815
18,1740764959.400424,1740764962.581354,1740764957.810446,1740764960.971051,-235611462.19340837,-44.66744315624237,0.002536525154758265,-0.24508020049525467,0.0002838099163405725
19,1740764965.733694,1740764968.904945,1740764964.136678,1740764967.305137,-235611462.18249267,-44.68543788790703,0.01098040995017715,-0.24495466832361645,0.0002836669229188851
20,1740764972.070601,1740764975.250422,1740764970.481206,1740764973.660616,-235611462.18112242,-44.68603244423866,-0.001348762589827918,-0.24527953111548062,0.00028403697337056453
21,1740764978.401469,1740764981.571513,1740764976.808544,1740764979.991704,-235611462.18109322,-44.68847307562828,0.05394515901571241,-0.2460519734003091,0.00028491686002507234
22,1740764984.756833,1740764987.909362,1740764983.161509,1740764986.324284,-235611462.16664696,-44.72446891665459,-0.01013057543243204,-0.24589744253277493,0.00028474083444705373
23,1740764991.077176,1740764994.243368,1740764989.494311,1740764992.64637,-235611462.15908808,-44.76115810871124,-0.014060723565527013,-0.24593759154000142,0.0002847865680456606
24,1740764997.421188,1740765000.587004,1740764995.814269,1740764998.994048,-235611462.1623219,-44.769626796245575,-0.0002537068911146924,-0.24569227025296017,0.00028450712336270897
25,1740765003.735734,1740765006.90925,1740765002.167855,1740765005.325817,-235611462.15307286,-44.76267558336258,0.024825216718046758,-0.24600351507720264,0.0002848616613197831
26,1740765010.067611,1740765013.246857,1740765008.473401,1740765011.645828,-235611462.14274997,-44.75966230034828,-0.04767057957121996,-0.24517988402226212,0.0002839234656129484
27,1740765016.426123,1740765019.580872,1740765014.835264,1740765017.996631,-235611462.152476,-44.74448490142822,-0.03370408442396929,-0.2456758529097326,0.0002844884224174314
28,1740765022.756385,1740765025.929695,1740765021.151045,1740765024.31348,-235611462.17706615,-44.72818949818611,0.015589348864812506,-0.24522085884987052,0.00028397013993939805
29,1740765029.07221,1740765032.24444,1740765027.488185,1740765030.663715,-235611462.18532333,-44.7230561375618,-0.000507718468218121,-0.24526265007424972,0.0002840177442191404
30,1740765035.407512,1740765038.578715,1740765033.823658,1740765037.001149,-235611462.19058883,-44.71270930767059,-0.011274938522961011,-0.24524278484855827,0.0002839951157902538
31,1740765041.764116,1740765044.927582,1740765040.161576,1740765043.314275,-235611462.1984582,-44.70958808064461,0.036479499424795,-0.246203489140871,0.00028508945105205517
32,1740765048.07441,1740765051.244408,1740765046.505974,1740765049.665011,-235611462.18890056,-44.73905676603317,0.01078226579472021,-0.2451585274658297,0.00028389913841059115
33,1740765054.4302,1740765057.601666,1740765052.839422,1740765055.989108,-235611462.17928794,-44.75054770708084,-0.02423319658900956,-0.24543511025528167,0.0002842141931580283
34,1740765060.743291,1740765063.931515,1740765059.160629,1740765062.326606,-235611462.18529475,-44.7241393327713,-0.010738827876732521,-0.24543365405510278,0.0002842125344043963
35,1740765067.093249,1740765070.253806,1740765065.503583,1740765068.657269,-235611462.19890517,-44.71935644745827,-0.007795365710971765,-0.24483523818500055,0.0002835308802902745
36,1740765073.42128,1740765076.585697,1740765071.819425,1740765075.008285,-235611462.2132937,-44.70355802774429,0.06569424801824818,-0.24517667016887357,0.00028391980472027803
37,1740765079.756285,1740765082.925924,1740765078.162303,1740765081.340622,-235611462.1967809,-44.68585413694382,0.043677510525200997,-0.24494343695314658,0.0002836541292883728
38,1740765086.096876,1740765089.257902,1740765084.508634,1740765087.674047,-235611462.16629595,-44.68309533596039,0.0034032859449309736,-0.24534741339632124,0.0002841142979014035
39,1740765092.417281,1740765095.588081,1740765090.826906,1740765094.004361,-235611462.15893897,-44.6910759806633,-0.003654332835964418,-0.2456813791750071,0.00028449471736928224
40,1740765098.760208,1740765101.921518,1740765097.155068,1740765100.347843,-235611462.1606608,-44.719198018312454,0.025706912264467183,-0.24530780948777592,0.00028406918519217206
41,1740765105.09438,1740765108.278473,1740765103.500771,1740765106.660231,-235611462.14946193,-44.730626821517944,-0.10069888456610719,-0.24560391205611093,0.0002844064748077194
42,1740765111.445994,1740765114.595771,1740765109.841933,1740765113.016234,-235611462.17381173,-44.73060259222984,-0.05192063946172195,-0.2454258444486784,0.0002842036385030786
43,1740765117.763312,1740765120.948523,1740765116.162853,1740765119.325364,-235611462.2271787,-44.73277032375336,-0.016837430755706335,-0.24550268515548568,0.00028429116753854173
44,1740765124.095948,1740765127.276757,1740765122.499419,1740765125.677132,-235611462.24341765,-44.73061841726303,0.04951287796956133,-0.24531628387189974,0.0002840788383412632
45,1740765130.442747,1740765133.590919,1740765128.828984,1740765132.012161,-235611462.2220539,-44.72540357708931,-0.0031469532003039996,-0.2453010377680861,0.00028406147154367667
46,1740765136.762542,1740765139.933695,1740765135.166001,1740765138.330424,-235611462.20361078,-44.715049147605896,-0.04788520528542931,-0.24454390624362798,0.00028319902458747933
47,1740765143.096763,1740765146.266883,1740765141.511499,1740765144.674452,-235611462.22526485,-44.687533140182495,0.049327610124243956,-0.2455273577689374,0.00028431927204227277
48,1740765149.431324,1740765152.600156,1740765147.840638,1740765151.001688,-235611462.2234814,-44.68333977460861,0.023502910014488603,-0.245427719707535,0.0002842057746053204
49,1740765155.766273,1740765158.925416,1740765154.186764,1740765157.355155,-235611462.19723928,-44.71416100859642,-0.02765368760761331,-0.24531685519682847,0.0002840794891360121
50,1740765162.096137,1740765165.272042,1740765160.502169,1740765163.672299,-235611462.204508,-44.72482419013977,0.037110561683064244,-0.24547711375663564,0.0002842620392300775
51,1740765168.434958,1740765171.611048,1740765166.849307,1740765170.015213,-235611462.20713884,-44.72199919819832,-0.018764341841438666,-0.24545180762336938,0.000284233213084046
52,1740765174.784851,1740765177.95198,1740765173.168616,1740765176.349752,-235611462.21293923,-44.72385531663895,0.0008153760754618034,-0.24544078954191986,0.00028422066241784287
53,1740765181.122685,1740765184.273163,1740765179.530118,1740765182.670338,-235611462.22041997,-44.72727507352829,0.07405060877834554,-0.24474177222980367,0.00028342441339713093
54,1740765187.460525,1740765190.621172,1740765185.846613,1740765189.013502,-235611462.18743974,-44.705015152692795,0.034416437712863575,-0.2448402414722273,0.0002835365795249838
55,1740765193.76661,1740765196.943118,1740765192.177305,1740765195.341106,-235611462.15978566,-44.67477822303772,-0.042497712915480775,-0.24436111048841724,0.0002829908022060948
56,1740765200.116703,1740765203.27215,1740765198.510881,1740765201.682209,-235611462.16363186,-44.651705622673035,0.055818839302424705,-0.24555803968292542,0.00028435422172201717
57,1740765206.459161,1740765209.614322,1740765204.86323,1740765208.017447,-235611462.15465102,-44.66854685544968,0.011733559420864625,-0.24584300768580428,0.00028467882789324556
58,1740765212.780401,1740765215.942483,1740765211.180164,1740765214.349651,-235611462.13783717,-44.72698521614075,-0.049172849032243955,-0.24546072102644562,0.00028424336631679964
59,1740765219.105456,1740765222.287431,1740765217.517053,1740765220.683354,-235611462.14969426,-44.750325083732605,-0.027833290769610095,-0.2452365019692291,0.00028398795897801996
60,1740765225.440804,1740765228.631151,1740765223.864458,1740765227.02671,-235611462.17552727,-44.73323035240173,0.06950018681028429,-0.245686975363968,0.0002845010919709493
61,1740765231.784361,1740765234.959476,1740765230.193577,1740765233.372233,-235611462.16547763,-44.726494908332825,-0.05596657077609209,-0.2446085507857284,0.0002832726610815969
62,1740765238.110242,1740765241.286373,1740765236.524446,1740765239.693251,-235611462.15886742,-44.70692729949951,-0.05227137829372882,-0.24557021615697183,0.00028436809190814625
63,1740765244.448861,1740765247.634934,1740765242.865578,1740765246.022328,-235611462.19311598,-44.6956632733345,0.006732054322720963,-0.24579484735695675,0.0002846239686190031
64,1740765250.797971,1740765253.954231,1740765249.200885,1740765252.352589,-235611462.20893365,-44.72989046573639,0.056110089328940335,-0.2451863378660795,0.0002839308171708877
65,1740765257.127869,1740765260.295638,1740765255.528801,1740765258.692657,-235611462.1893793,-44.73741668462753,0.08314603050147078,-0.24563402677678015,0.00028444077839617104
66,1740765263.444033,1740765266.634585,1740765261.864378,1740765265.034494,-235611462.1482383,-44.72925332188606,0.018663901235167108,-0.24611188082583213,0.00028498510035838384
67,1740765269.804323,1740765272.955986,1740765268.205945,1740765271.36221,-235611462.12549052,-44.752473175525665,-0.012158934072546286,-0.24587593248637551,0.00028471633242493997
68,1740765276.116598,1740765279.290535,1740765274.540013,1740765277.690021,-235611462.1345942,-44.772658348083496,-0.029977505122631892,-0.24521370231282943,0.00028396198794562396
