# Readme Information 
# Data taken on 240426, analyzed on 30-Apr-2024 by  SaveShifts_forTara_v3_240429.m.
# Gravitational Redshift Corrected to Marker on floor of 1G104 labeled 811G104 
# Frhy778 zers.
# v_yb_ideal=2*v_comb+f_shift 
# f_shift includes: Blackbody radation based on real time temperature measurement (avg shift = -1.2130), 2nd order zeeman based on real time B field measurement by atoms (avg shift = -0.0620), background gas collisions (avg shift = -0.0016), lattice AC stark shift (avg shift = -0.0007), probe AC stark shift (avg shift = 0.0000), graviational red shift (avg shift = 0.0803), and AOMs between atoms and combs (shift of 63000000)
# Run Duration 1.234323e+04 s, uptime fraction 9.346147e-01. 
 t_mjd	   f_shift[Hz]  	IS_GOOD
   6.0426719409140002e+04	   6.3000001181444757e+07	   0.0000000000000000e+00	
   6.0426719427750002e+04	   6.3000001181399778e+07	   0.0000000000000000e+00	
   6.0426719446349998e+04	   6.3000001181386955e+07	   0.0000000000000000e+00	
   6.0426719464950002e+04	   6.3000001181383215e+07	   0.0000000000000000e+00	
   6.0426719483549998e+04	   6.3000001181390785e+07	   0.0000000000000000e+00	
   6.0426719502150001e+04	   6.3000001181388274e+07	   0.0000000000000000e+00	
   6.0426719520719998e+04	   6.3000001181410529e+07	   0.0000000000000000e+00	
   6.0426719539320002e+04	   6.3000001181439020e+07	   0.0000000000000000e+00	
   6.0426719557919998e+04	   6.3000001181448326e+07	   0.0000000000000000e+00	
   6.0426719576529998e+04	   6.3000001181468755e+07	   0.0000000000000000e+00	
   6.0426719595130002e+04	   6.3000001181469709e+07	   0.0000000000000000e+00	
   6.0426719613729998e+04	   6.3000001181434959e+07	   0.0000000000000000e+00	
   6.0426719632319997e+04	   6.3000001181412257e+07	   0.0000000000000000e+00	
   6.0426719650940002e+04	   6.3000001181395642e+07	   0.0000000000000000e+00	
   6.0426719669530001e+04	   6.3000001181358814e+07	   0.0000000000000000e+00	
   6.0426719688129997e+04	   6.3000001181351490e+07	   0.0000000000000000e+00	
   6.0426719706720003e+04	   6.3000001181339025e+07	   0.0000000000000000e+00	
   6.0426719725329996e+04	   6.3000001181332812e+07	   0.0000000000000000e+00	
   6.0426719743909998e+04	   6.3000001181353457e+07	   0.0000000000000000e+00	
   6.0426719762510002e+04	   6.3000001181388497e+07	   0.0000000000000000e+00	
   6.0426719781100001e+04	   6.3000001181744769e+07	   0.0000000000000000e+00	
   6.0426719799699997e+04	   6.3000001181754567e+07	   0.0000000000000000e+00	
   6.0426719818320002e+04	   6.3000001181767188e+07	   0.0000000000000000e+00	
   6.0426719836900003e+04	   6.3000001181768075e+07	   0.0000000000000000e+00	
   6.0426719855500000e+04	   6.3000001181775250e+07	   0.0000000000000000e+00	
   6.0426719874110000e+04	   6.3000001181761347e+07	   0.0000000000000000e+00	
   6.0426719892710003e+04	   6.3000001181759715e+07	   0.0000000000000000e+00	
   6.0426719911300002e+04	   6.3000001181751296e+07	   0.0000000000000000e+00	
   6.0426719929899999e+04	   6.3000001181734152e+07	   0.0000000000000000e+00	
   6.0426719948489997e+04	   6.3000001181710795e+07	   0.0000000000000000e+00	
   6.0426719967099998e+04	   6.3000001181701981e+07	   0.0000000000000000e+00	
   6.0426719985700001e+04	   6.3000001181708738e+07	   0.0000000000000000e+00	
   6.0426720004299998e+04	   6.3000001181707233e+07	   0.0000000000000000e+00	
   6.0426720022900001e+04	   6.3000001181710511e+07	   0.0000000000000000e+00	
   6.0426720041499997e+04	   6.3000001181719273e+07	   0.0000000000000000e+00	
   6.0426720060100000e+04	   6.3000001181763440e+07	   0.0000000000000000e+00	
   6.0426720078699997e+04	   6.3000001181803383e+07	   0.0000000000000000e+00	
   6.0426720097300000e+04	   6.3000001181856185e+07	   0.0000000000000000e+00	
   6.0426720115889999e+04	   6.3000001181875691e+07	   0.0000000000000000e+00	
   6.0426720134490002e+04	   6.3000001181863323e+07	   0.0000000000000000e+00	
   6.0426720153089998e+04	   6.3000001181857534e+07	   0.0000000000000000e+00	
   6.0426720171679997e+04	   6.3000001181849189e+07	   0.0000000000000000e+00	
   6.0426720190280001e+04	   6.3000001181798816e+07	   0.0000000000000000e+00	
   6.0426720208879997e+04	   6.3000001181717634e+07	   0.0000000000000000e+00	
   6.0426720227480000e+04	   6.3000001181648366e+07	   0.0000000000000000e+00	
   6.0426720246080004e+04	   6.3000001181620769e+07	   0.0000000000000000e+00	
   6.0426720264689997e+04	   6.3000001181644730e+07	   0.0000000000000000e+00	
   6.0426720283280003e+04	   6.3000001181715667e+07	   0.0000000000000000e+00	
   6.0426720301879999e+04	   6.3000001181787722e+07	   0.0000000000000000e+00	
   6.0426720320480003e+04	   6.3000001181844115e+07	   0.0000000000000000e+00	
   6.0426720339079999e+04	   6.3000001181862347e+07	   0.0000000000000000e+00	
   6.0426720357669998e+04	   6.3000001181855418e+07	   0.0000000000000000e+00	
   6.0426720376249999e+04	   6.3000001181850024e+07	   0.0000000000000000e+00	
   6.0426720394850003e+04	   6.3000001181856610e+07	   0.0000000000000000e+00	
   6.0426720413460003e+04	   6.3000001181846917e+07	   0.0000000000000000e+00	
   6.0426720432069997e+04	   6.3000001181791000e+07	   0.0000000000000000e+00	
   6.0426720450649998e+04	   6.3000001181745052e+07	   0.0000000000000000e+00	
   6.0426720469270003e+04	   6.3000001181708977e+07	   0.0000000000000000e+00	
   6.0426720487869999e+04	   6.3000001181699261e+07	   0.0000000000000000e+00	
   6.0426720506459998e+04	   6.3000001181734793e+07	   0.0000000000000000e+00	
   6.0426720525049997e+04	   6.3000001181758910e+07	   0.0000000000000000e+00	
   6.0426720543659998e+04	   6.3000001181780070e+07	   0.0000000000000000e+00	
   6.0426720562249997e+04	   6.3000001181790352e+07	   0.0000000000000000e+00	
   6.0426720580850000e+04	   6.3000001181803420e+07	   0.0000000000000000e+00	
   6.0426720599439999e+04	   6.3000001181818359e+07	   0.0000000000000000e+00	
   6.0426720618050000e+04	   6.3000001181828246e+07	   0.0000000000000000e+00	
   6.0426720636650003e+04	   6.3000001181800187e+07	   0.0000000000000000e+00	
   6.0426720655240002e+04	   6.3000001181732573e+07	   0.0000000000000000e+00	
   6.0426720673869997e+04	   6.3000001181672238e+07	   0.0000000000000000e+00	
   6.0426720692440002e+04	   6.3000001181655787e+07	   0.0000000000000000e+00	
   6.0426720711039998e+04	   6.3000001181663878e+07	   0.0000000000000000e+00	
   6.0426720729649998e+04	   6.3000001181689493e+07	   0.0000000000000000e+00	
   6.0426720748239997e+04	   6.3000001181705698e+07	   0.0000000000000000e+00	
   6.0426720766840001e+04	   6.3000001181725621e+07	   0.0000000000000000e+00	
   6.0426720785430000e+04	   6.3000001181738734e+07	   0.0000000000000000e+00	
   6.0426720804030003e+04	   6.3000001181765541e+07	   0.0000000000000000e+00	
   6.0426720822620002e+04	   6.3000001181795202e+07	   0.0000000000000000e+00	
   6.0426720841219998e+04	   6.3000001181814946e+07	   0.0000000000000000e+00	
   6.0426720859829999e+04	   6.3000001181802534e+07	   0.0000000000000000e+00	
   6.0426720878430002e+04	   6.3000001181772262e+07	   0.0000000000000000e+00	
   6.0426720897020001e+04	   6.3000001181742676e+07	   0.0000000000000000e+00	
   6.0426720915639999e+04	   6.3000001181719869e+07	   0.0000000000000000e+00	
   6.0426720934220000e+04	   6.3000001181697436e+07	   0.0000000000000000e+00	
   6.0426720952830001e+04	   6.3000001181673720e+07	   0.0000000000000000e+00	
   6.0426720971429997e+04	   6.3000001181656890e+07	   0.0000000000000000e+00	
   6.0426720990020003e+04	   6.3000001181901567e+07	   0.0000000000000000e+00	
   6.0426721008629997e+04	   6.3000001181908406e+07	   0.0000000000000000e+00	
   6.0426721027220003e+04	   6.3000001181941032e+07	   0.0000000000000000e+00	
   6.0426721045799997e+04	   6.3000001181983694e+07	   0.0000000000000000e+00	
   6.0426721064409998e+04	   6.3000001182034954e+07	   0.0000000000000000e+00	
   6.0426721083019998e+04	   6.3000001182069734e+07	   0.0000000000000000e+00	
   6.0426721101609997e+04	   6.3000001182106487e+07	   0.0000000000000000e+00	
   6.0426721120210001e+04	   6.3000001182116225e+07	   0.0000000000000000e+00	
   6.0426721138809997e+04	   6.3000001182120770e+07	   0.0000000000000000e+00	
   6.0426721157410000e+04	   6.3000001182077222e+07	   0.0000000000000000e+00	
   6.0426721175999999e+04	   6.3000001181987621e+07	   0.0000000000000000e+00	
   6.0426721194600002e+04	   6.3000001181899443e+07	   0.0000000000000000e+00	
   6.0426721213210003e+04	   6.3000001181821592e+07	   0.0000000000000000e+00	
   6.0426721231800002e+04	   6.3000001181782529e+07	   0.0000000000000000e+00	
   6.0426721250399998e+04	   6.3000001181788616e+07	   0.0000000000000000e+00	
   6.0426721269000001e+04	   6.3000001181802012e+07	   0.0000000000000000e+00	
   6.0426721287590000e+04	   6.3000001181811951e+07	   0.0000000000000000e+00	
   6.0426721306189997e+04	   6.3000001181863964e+07	   0.0000000000000000e+00	
   6.0426721324799997e+04	   6.3000001181963056e+07	   0.0000000000000000e+00	
   6.0426721343400000e+04	   6.3000001182052903e+07	   0.0000000000000000e+00	
   6.0426721361989999e+04	   6.3000001182128623e+07	   0.0000000000000000e+00	
   6.0426721380590003e+04	   6.3000001182161264e+07	   0.0000000000000000e+00	
   6.0426721399200003e+04	   6.3000001182139419e+07	   0.0000000000000000e+00	
   6.0426721417799999e+04	   6.3000001182116292e+07	   0.0000000000000000e+00	
   6.0426721436380001e+04	   6.3000001182094008e+07	   0.0000000000000000e+00	
   6.0426721454970000e+04	   6.3000001182060100e+07	   0.0000000000000000e+00	
   6.0426721473580001e+04	   6.3000001182006650e+07	   0.0000000000000000e+00	
   6.0426721492190001e+04	   6.3000001181952134e+07	   0.0000000000000000e+00	
   6.0426721510789997e+04	   6.3000001181897186e+07	   0.0000000000000000e+00	
   6.0426721529380004e+04	   6.3000001181888551e+07	   0.0000000000000000e+00	
   6.0426721547989997e+04	   6.3000001181933567e+07	   0.0000000000000000e+00	
   6.0426721566580003e+04	   6.3000001181965828e+07	   0.0000000000000000e+00	
   6.0426721585189996e+04	   6.3000001181993105e+07	   0.0000000000000000e+00	
   6.0426721603769998e+04	   6.3000001182030745e+07	   0.0000000000000000e+00	
   6.0426721622370002e+04	   6.3000001182067536e+07	   0.0000000000000000e+00	
   6.0426721640989999e+04	   6.3000001182112865e+07	   0.0000000000000000e+00	
   6.0426721659579998e+04	   6.3000001182160772e+07	   0.0000000000000000e+00	
   6.0426721678160000e+04	   6.3000001182160556e+07	   0.0000000000000000e+00	
   6.0426721696779998e+04	   6.3000001182118036e+07	   0.0000000000000000e+00	
   6.0426721715369997e+04	   6.3000001182091773e+07	   0.0000000000000000e+00	
   6.0426721733970000e+04	   6.3000001182091258e+07	   0.0000000000000000e+00	
   6.0426721752559999e+04	   6.3000001182067372e+07	   0.0000000000000000e+00	
   6.0426721771179997e+04	   6.3000001182039075e+07	   0.0000000000000000e+00	
   6.0426721789759999e+04	   6.3000001182012036e+07	   0.0000000000000000e+00	
   6.0426721808349997e+04	   6.3000001182004102e+07	   0.0000000000000000e+00	
   6.0426721826959998e+04	   6.3000001182002440e+07	   0.0000000000000000e+00	
   6.0426721845560001e+04	   6.3000001182028010e+07	   0.0000000000000000e+00	
   6.0426721864159997e+04	   6.3000001182048865e+07	   0.0000000000000000e+00	
   6.0426721882749996e+04	   6.3000001182079822e+07	   0.0000000000000000e+00	
   6.0426721901350000e+04	   6.3000001182101846e+07	   0.0000000000000000e+00	
   6.0426721919950003e+04	   6.3000001182108551e+07	   0.0000000000000000e+00	
   6.0426721938549999e+04	   6.3000001182116553e+07	   0.0000000000000000e+00	
   6.0426721957150003e+04	   6.3000001182132304e+07	   0.0000000000000000e+00	
   6.0426721975749999e+04	   6.3000001182124011e+07	   0.0000000000000000e+00	
   6.0426721994339998e+04	   6.3000001182083517e+07	   0.0000000000000000e+00	
   6.0426722012940001e+04	   6.3000001182051212e+07	   0.0000000000000000e+00	
   6.0426722031539997e+04	   6.3000001182029873e+07	   0.0000000000000000e+00	
   6.0426722050140001e+04	   6.3000001182013772e+07	   0.0000000000000000e+00	
   6.0426722068750001e+04	   6.3000001182000294e+07	   0.0000000000000000e+00	
   6.0426722087330003e+04	   6.3000001181991868e+07	   0.0000000000000000e+00	
   6.0426722105929999e+04	   6.3000001181979716e+07	   0.0000000000000000e+00	
   6.0426722124540000e+04	   6.3000001181953385e+07	   0.0000000000000000e+00	
   6.0426722143129999e+04	   6.3000001181916073e+07	   0.0000000000000000e+00	
   6.0426722161730002e+04	   6.3000001181888215e+07	   0.0000000000000000e+00	
   6.0426722180329998e+04	   6.3000001182254791e+07	   0.0000000000000000e+00	
   6.0426722198939999e+04	   6.3000001182259612e+07	   0.0000000000000000e+00	
   6.0426722217540002e+04	   6.3000001182274044e+07	   0.0000000000000000e+00	
   6.0426722236130001e+04	   6.3000001182281494e+07	   0.0000000000000000e+00	
   6.0426722254729997e+04	   6.3000001182290882e+07	   0.0000000000000000e+00	
   6.0426722273320003e+04	   6.3000001182296827e+07	   0.0000000000000000e+00	
   6.0426722291910002e+04	   6.3000001182320036e+07	   0.0000000000000000e+00	
   6.0426722310509998e+04	   6.3000001182351664e+07	   0.0000000000000000e+00	
   6.0426722329110002e+04	   6.3000001182374686e+07	   0.0000000000000000e+00	
   6.0426722347709998e+04	   6.3000001182400912e+07	   0.0000000000000000e+00	
   6.0426722366340000e+04	   6.3000001182427421e+07	   0.0000000000000000e+00	
   6.0426722384929999e+04	   6.3000001182467997e+07	   0.0000000000000000e+00	
   6.0426722403519998e+04	   6.3000001182507694e+07	   0.0000000000000000e+00	
   6.0426722422109997e+04	   6.3000001182520911e+07	   0.0000000000000000e+00	
   6.0426722440710000e+04	   6.3000001182525851e+07	   0.0000000000000000e+00	
   6.0426722459310004e+04	   6.3000001182516001e+07	   0.0000000000000000e+00	
   6.0426722477910000e+04	   6.3000001182520837e+07	   0.0000000000000000e+00	
   6.0426722496510003e+04	   6.3000001182486698e+07	   0.0000000000000000e+00	
   6.0426722515100002e+04	   6.3000001182433292e+07	   0.0000000000000000e+00	
   6.0426722533690001e+04	   6.3000001182376646e+07	   0.0000000000000000e+00	
   6.0426722552300002e+04	   6.3000001182345428e+07	   0.0000000000000000e+00	
   6.0426722570910002e+04	   6.3000001182339713e+07	   0.0000000000000000e+00	
   6.0426722589500001e+04	   6.3000001182369128e+07	   0.0000000000000000e+00	
   6.0426722608110002e+04	   6.3000001182382435e+07	   0.0000000000000000e+00	
   6.0426722626709998e+04	   6.3000001182368375e+07	   0.0000000000000000e+00	
   6.0426722645310001e+04	   6.3000001182373531e+07	   0.0000000000000000e+00	
   6.0426722663900000e+04	   6.3000001182412416e+07	   0.0000000000000000e+00	
   6.0426722682500003e+04	   6.3000001182431132e+07	   0.0000000000000000e+00	
   6.0426722701100000e+04	   6.3000001182433791e+07	   0.0000000000000000e+00	
   6.0426722719689998e+04	   6.3000001182429887e+07	   0.0000000000000000e+00	
   6.0426722738290002e+04	   6.3000001182395704e+07	   0.0000000000000000e+00	
   6.0426722756880001e+04	   6.3000001182373881e+07	   0.0000000000000000e+00	
   6.0426722775479997e+04	   6.3000001182366312e+07	   0.0000000000000000e+00	
   6.0426722794080000e+04	   6.3000001182347231e+07	   0.0000000000000000e+00	
   6.0426722812679996e+04	   6.3000001182305656e+07	   0.0000000000000000e+00	
   6.0426722831280000e+04	   6.3000001182268493e+07	   0.0000000000000000e+00	
   6.0426722849890000e+04	   6.3000001182235956e+07	   0.0000000000000000e+00	
   6.0426722868489996e+04	   6.3000001182216816e+07	   0.0000000000000000e+00	
   6.0426722887080003e+04	   6.3000001182226256e+07	   0.0000000000000000e+00	
   6.0426722905690003e+04	   6.3000001182227962e+07	   0.0000000000000000e+00	
   6.0426722924289999e+04	   6.3000001182224408e+07	   0.0000000000000000e+00	
   6.0426722942870001e+04	   6.3000001182252795e+07	   0.0000000000000000e+00	
   6.0426722961480002e+04	   6.3000001182317674e+07	   0.0000000000000000e+00	
   6.0426722980070001e+04	   6.3000001182383850e+07	   0.0000000000000000e+00	
   6.0426722998660000e+04	   6.3000001182444051e+07	   0.0000000000000000e+00	
   6.0426723017260003e+04	   6.3000001182484709e+07	   0.0000000000000000e+00	
   6.0426723035859999e+04	   6.3000001182495333e+07	   0.0000000000000000e+00	
   6.0426723054479997e+04	   6.3000001182507701e+07	   0.0000000000000000e+00	
   6.0426723073059999e+04	   6.3000001182521276e+07	   0.0000000000000000e+00	
   6.0426723091669999e+04	   6.3000001182496049e+07	   0.0000000000000000e+00	
   6.0426723110270003e+04	   6.3000001182433538e+07	   0.0000000000000000e+00	
   6.0426723128860001e+04	   6.3000001182379186e+07	   0.0000000000000000e+00	
   6.0426723147450000e+04	   6.3000001182352439e+07	   0.0000000000000000e+00	
   6.0426723166060001e+04	   6.3000001182361953e+07	   0.0000000000000000e+00	
   6.0426723184659997e+04	   6.3000001182400644e+07	   0.0000000000000000e+00	
   6.0426723203260000e+04	   6.3000001182415664e+07	   0.0000000000000000e+00	
   6.0426723221890003e+04	   6.3000001182401761e+07	   0.0000000000000000e+00	
   6.0426723240450003e+04	   6.3000001182361044e+07	   0.0000000000000000e+00	
   6.0426723259049999e+04	   6.3000001182318263e+07	   0.0000000000000000e+00	
   6.0426723277659999e+04	   6.3000001182289280e+07	   0.0000000000000000e+00	
   6.0426723296260003e+04	   6.3000001182297736e+07	   0.0000000000000000e+00	
   6.0426723314850002e+04	   6.3000001182321295e+07	   0.0000000000000000e+00	
   6.0426723333449998e+04	   6.3000001182377987e+07	   0.0000000000000000e+00	
   6.0426723352050001e+04	   6.3000001182426259e+07	   0.0000000000000000e+00	
   6.0426723370640000e+04	   6.3000001182464093e+07	   0.0000000000000000e+00	
   6.0426723389240004e+04	   6.3000001182739273e+07	   0.0000000000000000e+00	
   6.0426723407840000e+04	   6.3000001182715006e+07	   0.0000000000000000e+00	
   6.0426723426429999e+04	   6.3000001182699390e+07	   0.0000000000000000e+00	
   6.0426723445039999e+04	   6.3000001182690389e+07	   0.0000000000000000e+00	
   6.0426723463650000e+04	   6.3000001182676673e+07	   0.0000000000000000e+00	
   6.0426723482250003e+04	   6.3000001182650797e+07	   0.0000000000000000e+00	
   6.0426723500849999e+04	   6.3000001182602987e+07	   0.0000000000000000e+00	
   6.0426723519439998e+04	   6.3000001182547919e+07	   0.0000000000000000e+00	
   6.0426723538040002e+04	   6.3000001182521246e+07	   0.0000000000000000e+00	
   6.0426723556650002e+04	   6.3000001182521917e+07	   0.0000000000000000e+00	
   6.0426723575240001e+04	   6.3000001182527557e+07	   0.0000000000000000e+00	
   6.0426723593820003e+04	   6.3000001182522371e+07	   0.0000000000000000e+00	
   6.0426723612419999e+04	   6.3000001182537951e+07	   0.0000000000000000e+00	
   6.0426723631009998e+04	   6.3000001182592340e+07	   0.0000000000000000e+00	
   6.0426723649619998e+04	   6.3000001182638563e+07	   0.0000000000000000e+00	
   6.0426723668220002e+04	   6.3000001182695948e+07	   0.0000000000000000e+00	
   6.0426723686819998e+04	   6.3000001182724275e+07	   0.0000000000000000e+00	
   6.0426723705420001e+04	   6.3000001182751417e+07	   0.0000000000000000e+00	
   6.0426723724039999e+04	   6.3000001182732999e+07	   0.0000000000000000e+00	
   6.0426723742620001e+04	   6.3000001182711802e+07	   0.0000000000000000e+00	
   6.0426723761210000e+04	   6.3000001182646662e+07	   0.0000000000000000e+00	
   6.0426723779820000e+04	   6.3000001182569772e+07	   0.0000000000000000e+00	
   6.0426723798400002e+04	   6.3000001182485200e+07	   0.0000000000000000e+00	
   6.0426723816999998e+04	   6.3000001182418019e+07	   0.0000000000000000e+00	
