#Frequency shifts file for ErYb measurement of Al+ frequency
#  Data recorded on 04-26-2024, analyzed on 04-26-2024.
#
#  All shifts are in Hz as referenced to the Al+ resonance near 267.4 nm.
#
#  To calculate the clock frequency use: f_atom = (M/N)*f_comb + f_shift.
#    - Here, M = 4, N = 1, f_comb is the frequency measured at the comb and f_shift is given in the data columns.
#    - Frequencies are not corrected for maser offsets.
#    - Data taken using maser ST008 to reference all synthesizers.
#
#  Static shifts are compiled in static_shifts_MgAl.m for reference.
#
#  First 120 seconds and last 60 seconds of lock times removed.
#
#  Gravitational redshift of the atoms with respect to geodetic marker 1H116 included.
#
#  Total lock duration: 17040.856 s
#
#  2nd-order Zeeman shifts calculated based on real-time B-field calibration.
#  - Delta_ZS2 = -0.7365+/-0.00025 Hz
#
t_mjd	f_shift[Hz]	IS_GOOD
60426.6962105	204500000.589480	1
60426.6962730	204500000.589474	1
60426.6963300	204500000.589447	1
60426.6963864	204500000.589464	1
60426.6964509	204500000.589454	1
60426.6965136	204500000.589460	1
60426.6965679	204500000.589464	1
60426.6966242	204500000.589431	1
60426.6966848	204500000.589440	1
60426.6967441	204500000.589458	1
60426.6968029	204500000.589423	1
60426.6968607	204500000.589395	1
60426.6969138	204500000.589426	1
60426.6969668	204500000.589388	1
60426.6970197	204500000.589404	1
60426.6970747	204500000.589366	1
60426.6971313	204500000.589380	1
60426.6971929	204500000.589346	1
60426.6972569	204500000.589344	1
60426.6973138	204500000.589305	1
60426.6973694	204500000.589275	1
60426.6974257	204500000.589287	1
60426.6974822	204500000.589308	1
60426.6975402	204500000.589302	1
60426.6975948	204500000.589333	1
60426.6976514	204500000.589356	1
60426.6977092	204500000.589343	1
60426.6977648	204500000.589331	1
60426.6978248	204500000.589323	1
60426.6978797	204500000.589334	1
60426.6979411	204500000.589377	1
60426.6979969	204500000.589366	1
60426.6980559	204500000.589310	1
60426.6981195	204500000.589335	1
60426.6981812	204500000.589337	1
60426.6982501	204500000.589305	1
60426.6983210	204500000.589321	1
60426.6983863	204500000.589348	1
60426.6984428	204500000.589371	1
60426.6985007	204500000.589392	1
60426.6985572	204500000.589352	1
60426.6986175	204500000.589320	1
60426.6986858	204500000.589346	1
60426.6987827	204500000.589323	1
60426.6988457	204500000.589380	1
60426.6989042	204500000.589368	1
60426.6989623	204500000.589388	1
60426.6990207	204500000.589423	1
60426.6990769	204500000.589405	1
60426.6991401	204500000.589371	1
60426.6992001	204500000.589358	1
60426.6992609	204500000.589384	1
60426.6993230	204500000.589392	1
60426.6993898	204500000.589398	1
60426.6994428	204500000.589388	1
60426.6994990	204500000.589360	1
60426.6995542	204500000.589328	1
60426.6996190	204500000.589345	1
60426.6996730	204500000.589354	1
60426.6997328	204500000.589392	1
60426.6997937	204500000.589368	1
60426.6998476	204500000.589402	1
60426.6999041	204500000.589436	1
60426.6999591	204500000.589427	1
60426.7000163	204500000.589438	1
60426.7000734	204500000.589462	1
60426.7001289	204500000.589525	1
60426.7001821	204500000.589513	1
60426.7002426	204500000.589480	1
60426.7002969	204500000.589463	1
60426.7003527	204500000.589470	1
60426.7004076	204500000.589463	1
60426.7004685	204500000.589440	1
60426.7005230	204500000.589410	1
60426.7005778	204500000.589380	1
60426.7006325	204500000.589433	1
60426.7006902	204500000.589456	1
60426.7007489	204500000.589469	1
60426.7008029	204500000.589454	1
60426.7008649	204500000.589410	1
60426.7009294	204500000.589356	1
60426.7009899	204500000.589291	1
60426.7010524	204500000.589319	1
60426.7011188	204500000.589360	1
60426.7011805	204500000.589362	1
60426.7012355	204500000.589321	1
60426.7012921	204500000.589303	1
60426.7013491	204500000.589279	1
60426.7014024	204500000.589214	1
60426.7014606	204500000.589197	1
60426.7015237	204500000.589178	1
60426.7015806	204500000.589162	1
60426.7016354	204500000.589174	1
60426.7016926	204500000.589210	1
60426.7017537	204500000.589219	1
60426.7018079	204500000.589233	1
60426.7018753	204500000.589321	1
60426.7019339	204500000.589317	1
60426.7019982	204500000.589311	1
60426.7020558	204500000.589310	1
60426.7021159	204500000.589333	1
60426.7021735	204500000.589338	1
60426.7022331	204500000.589324	1
60426.7022884	204500000.589343	1
60426.7023424	204500000.589381	1
60426.7024055	204500000.589350	1
60426.7024695	204500000.589289	1
60426.7025347	204500000.589328	1
60426.7025894	204500000.589385	1
60426.7026520	204500000.589351	1
